ทวีปแอฟริกา	Afriko
ประเทศโซมาเลีย	Somalio
ไนโอเบียม	Niobio
ชวาหระลาล เนห์รู	Jawaharlal Nehru
จูเลียส ซีซาร์	Julio Cezaro
ประเทศซูดาน	Sudano
ประเทศสวาซิแลนด์	Svazilando
รุ้งกินน้ำ	Ĉielarko
โมลิบดีนัม	Molibdeno
เทคนีเชียม	Teknecio
ฮัมบูร์ก	Hamburgo
เมแทบอลิซึม	Metabolo
นเรนทระ โมที	Narendra Modi
ระบบภูมิคุ้มกัน	Imuna sistemo
รัฐคุชราต	Guĝaratio
ทะเลสาบออนแทรีโอ	Ontario (lago)
วิวัฒนาการ	Evoluismo
สหประชาชาติ	Unuiĝintaj Nacioj
ทะเลสาบสุพีเรีย	Supra Lago
ดันเต อาลีกีเอรี	Dante Alighieri
ธรณีวิทยา	Geologio
อัห์มดาบาด	Ahmadabado
ภูมิศาสตร์	Geografio
หัวใจ	Koro
สมอง	Cerbo
ผิวหนัง	Haŭto
สี	Koloro
เบรกกิงแบด	Breaking Bad
คำนาม	Substantivo
ปราก	Prago
รูทีเนียม	Rutenio
โรเดียม	Rodio
สีน้ำเงิน	Blua
แพลเลเดียม	Paladio
เงิน (โลหะ)	Arĝento
แคดเมียม	Kadmio
สตาร์ เทรค	Star Trek
จังหวัดลิมบูร์ก (เนเธอร์แลนด์)	Limburgo (Nederlando)
อินเดียม	Indio
มณฑลลิมเบิร์ก (เบลเยียม)	Limburgo (Belgio)
ดีบุก	Stano
ยูเรเนียม	Uranio
พลวง	Antimono
เทลลูเรียม	Teluro
จังหวัดนอร์ทบราแบนต์	Norda Brabanto
พลูโทเนียม	Plutonio
ไอโอดีน	Jodo
เฮเมอร์	Hemer
เนปทูเนียม	Neptunio
ซีนอน	Ksenono
อะนิเมะ	Animeo
ซีเซียม	Cezio
โพรแทกทิเนียม	Protaktinio
ประจุไฟฟ้า	Elektra ŝargo
แบเรียม	Bario
จังหวัดฟลานเดอร์ตะวันตก	Okcidenta Flandrio
จังหวัดฟลานเดอร์ตะวันออก	Orienta Flandrio
ทอเรียม	Torio
มณฑลแอนต์เวิร์ป	Antverpeno (provinco)
มณฑลเฟลมิชบราบันต์	Flandra Brabanto
แฮฟเนียม	Hafnio
แอกทิเนียม	Aktinio
มณฑลวัลลูนบราบันต์	Valona Brabanto
แทนทาลัม	Tantalo
บิล คลินตัน	William J. Clinton
มณฑลนามูร์	Namuro (provinco)
มณฑลลักเซมเบิร์ก	Luksemburgo (Belgio)
มณฑลลีแยฌ	Lieĝo (provinco)
เรเดียม	Radiumo
มณฑลแอโน	Henegovio
เรดอน	Radono
แคว้นลอแรน	Loreno
แคว้นอาลซัส	Alzaco
อินทิรา คานธี	Indira Gandhi
เมอร์คิวรี (เทพปกรณัม)	Merkuro (dio)
แอ็กตอร์ แบร์ลีโยซ	Louis Hector Berlioz
แคว้นโอแวร์ญ	Aŭvernjo
บุสโตอาร์ซีซีโอ	Busto Arsizio
มุมไบ	Mumbajo
สหพันธ์สมาคมกรีฑานานาชาติ	Internacia Asocio de Atletikaj Federacioj
รัฐอานธรประเทศ	Andra-Pradeŝo
รัฐอรุณาจัลประเทศ	Arunaĉal-Pradeŝo
รัฐอัสสัม	Asamo
รัฐพิหาร	Biharo
รัฐมิชิแกน	Miĉigano
รัฐฉัตติสครห์	Ĉhatisgaro
ทะเลสาบมิชิแกน	Miĉigano (lago)
รัฐกัว	Goao
แคว้นบูร์กอญ	Burgonjo
รัฐหรยาณา	Harjano
รัฐหิมาจัลประเทศ	Himaĉal-Pradeŝo
แคว้นอากีแตน	Akvitanio
รัฐชัมมูและกัศมีร์	Ĝamuo kaj Kaŝmiro
เปอร์โตริโก	Porto-Riko
รัฐฌารขัณฑ์	Ĝharkhando
รัฐกรณาฏกะ	Karnatako
รัฐเกรละ	Keralao
รัฐมัธยประเทศ	Madhja-Pradeŝo
ยูเซน โบลต์	Usain Bolt
แคว้นลีมูแซ็ง	Limoĝio
รัฐมหาราษฏระ	Maharaŝtro
ฌ็อง-บาติสต์ ลูว์ลี	Jean-Baptiste Lully
รัฐมณีปุระ	Manipuro
รัฐชเลสวิก-โฮลชไตน์	Ŝlesvigo-Holstinio
รัฐเมฆาลัย	Meghalajo
รัฐเมคเลนบูร์ก-ฟอร์พอมเมิร์น	Meklenburgo-Antaŭpomerio
รัฐโลว์เออร์แซกโซนี	Malsupra Saksio
รัฐนอร์ดไรน์-เวสท์ฟาเลิน	Nordrejn-Vestfalio
รัฐเฮสเซิน	Hesio
รัฐไรน์ลันด์-พฟัลซ์	Rejnlando-Palatinato
รัฐซาร์ลันด์	Sarlando
รัฐซัคเซิน	Saksio
จอห์น เลนนอน	John Lennon
รัฐอิลลินอยส์	Ilinojso
รัฐเทือริงเงิน	Turingio
รัฐแซกโซนี-อันฮัลต์	Saksio-Anhalto
รัฐนอร์ทดาโคตา	Norda Dakoto
รัฐบรันเดนบูร์ก	Brandenburgio
รัฐเบรเมิน	Libera hansa urbo Bremeno
แคว้นลอมบาร์เดีย	Lombardujo
รัฐเซาท์ดาโคตา	Suda Dakoto
รัฐมอนแทนา	Montano
รัฐไวโอมิง	Vajomingo
แคว้นปีเอมอนเต	Piemonto
เยรูซาเลม	Jerusalemo
จอร์โจ นาโปลีตาโน	Giorgio Napolitano
รัฐไอดาโฮ	Idaho
แคว้นปกครองตนเองวัลเลดาออสตา	Aosta Valo
รัฐวอชิงตัน	Vaŝingtonio
บรูซ สปริงส์ทีน	Bruce Springsteen
รัทเทอร์ฟอร์เดียม	Ruterfordio
รัฐเนวาดา	Nevado
แม่น้ำดอน	Don (rivero)
ดุบเนียม	Dubnio
ซีบอร์เกียม	Seborgio
แคว้นปกครองตนเองเตรนตีโน-อัลโตอาดีเจ	Trentino-Alto Adige
มหาสมุทรอินเดีย	Hinda Oceano
แคว้นเวเนโต	Veneto
ประเทศคอซอวอ	Kosovo
ทะเลแคริบเบียน	Kariba Maro
โบห์เรียม	Borio
แคว้นปกครองตนเองฟรีอูลี-เวเนเซียจูเลีย	Friulo-Venecio Julia
ฮัสเซียม	Hasio
พัน กี-มุน	Ban Ki-moon
โคฟี แอนนัน	Kofi Annan
แคว้นลิกูเรีย	Ligurio
ไมต์เนเรียม	Mejtnerio
รัฐโคโลราโด	Koloradio
แคว้นเอมีเลีย-โรมัญญา	Emilio-Romanjo
อู ถั่น	U Thant
แม่น้ำโคโลราโด	Kolorado (rivero)
ดาร์มสตัดเทียม	Darmŝtatio
เฟรเดริก ชอแป็ง	Frédéric Chopin
ทรีฟ ลี	Trygve Lie
เรินต์เกเนียม	Rentgenio
แคว้นทัสกานี	Toskanio
โคเปอร์นิเซียม	Kopernicio
แคว้นมาร์เก	Markio (Italio)
แคว้นอุมเบรีย	Umbrio
หมวดหมู่:หมวดหมู่	Kategorio:Ĉio
แคว้นลาซีโอ	Latio
แคว้นอาบรุซโซ	Abruco
เทือกเขาแอเพนไนน์	Apeninoj
เทือกเขาแอลป์	Alpoj
เทือกเขาคาร์เพเทียน	Karpatoj
แบลซ ปัสกาล	Blaise Pascal
หมากฮอส	Damludo
ดอร์ทมุนด์	Dortmund
เกนต์	Gento (urbo)
ชิคาโก	Ĉikago
เดอะบีเทิลส์	The Beatles
อูนอูนเทรียม	Ununtrio
ฟลีโรเวียม	Flerovio
อูนอูนเพนเทียม	Ununpentio
ลิเวอร์มอเรียม	Livermorumo
อูนอูนเซปเทียม	Ununseptio
อูนอูนออกเทียม	Ununoktio
มาสทริชท์	Maastricht
อาร์เนม	Arnhem
ฤดูหนาว	Vintro
ฤดูใบไม้ผลิ	Printempo
ฤดูร้อน	Somero
ฤดูใบไม้ร่วง	Aŭtuno
วิษุวัต	Ekvinokso
ซัดดัม ฮุสเซน	Saddam Hussein
อุซามะฮ์ บิน ลาดิน	Usama bin Laden
ภาษาสเปน	Hispana lingvo
มอนเตวิเดโอ	Montevideo
โยฮันน์ เซบาสเตียน บาค	Johann Sebastian Bach
อันโตนีโอ วีวัลดี	Antonio Vivaldi
พิตต์สเบิร์ก	Pittsburgh (Pensilvanio)
อุปรากร	Opero
ฟิลาเดลเฟีย	Filadelfio (Pensilvanio)
โกลกาตา	Kolkato
เจนไน	Ĉenajo
เดลี	Delhio
ธากา	Dako
บังคาลอร์	Bengaluro
รัฐเบงกอลตะวันตก	Okcident-Bengalo
แมงมุม	Araneuloj
แมง	Araneedoj
เชลิเซอราตา	Chelicerata
สัตว์ขาปล้อง	Artropodoj
ไฮเดอราบาด (ประเทศอินเดีย)	Hajderabado
อิสลามาบัด	Islamabado
รัฐตริปุระ	Tripuro
ผลไม้	Frukto
ลิง	Simio
เงิน	Mono
รัฐเวอร์จิเนีย	Virginio (ŝtato)
รัฐเวสต์เวอร์จิเนีย	Okcidenta Virginio
ยอดเขามัทเทอร์ฮอร์น	Materhorno
ทะเลสาบฮูรอน	Lago Hurono
รัฐนิวยอร์ก	Nov-Jorkio
ซีเรียม	Cerio
เพรซีโอดิเมียม	Prazeodimo
รัฐโรดไอแลนด์	Rod-Insulo
นีโอดิเมียม	Neodimo
แมลง	Insekto
รัฐแมริแลนด์	Marilando
รัฐเดลาแวร์	Delavaro
วลาดีมีร์ เลนิน	Lenin
ยูโรเพียม	Eŭropio
รัฐโอไฮโอ	Ohio
เวอร์จิล	Vergilio
นิกโกเลาะ มาเกียเวลลี	Makiavelo
รัฐเพนซิลเวเนีย	Pensilvanio
เปตราก	Francesco Petrarca
โจวันนี บอกกัชโช	Giovanni Boccaccio
อือแทร์เซิน	Uetersen
จักรพรรดิออกัสตัส	Aŭgusto Cezaro
ไมโครซอฟท์ วินโดวส์	Microsoft Windows
จักรพรรดิไทบีเรียส	Tiberio
รัฐนิวเจอร์ซีย์	Nov-Ĵerzejo
คาลิกูลา	Kaligulo
ยิบรอลตาร์	Ĝibraltaro
จักรพรรดิคลอเดียส	Klaŭdio
ภาษาฟินแลนด์	Finna lingvo
จักรพรรดินีโร	Nerono
จักรพรรดิกาลบา	Galbo
รัฐอินดีแอนา	Indianio
จักรพรรดิโอโธ	Oto
จักรพรรดิไวเทลเลียส	Vitelio
โนเกีย	Nokia (kompanio)
จักรพรรดิเวสเปเชียน	Vespasiano
รถยนต์	Aŭtomobilo
จักรพรรดิไททัส	Tito (imperiestro)
สโมสรฟุตบอลยูเวนตุส	Juventus Football Club
จักรพรรดิโดมิเชียน	Domiciano
จักรพรรดิเนอร์วา	Nerva
