افریقہ	Afriko
سین-تروپے	Saint-Tropez
سمارئیم	Samario (kemio)
آچے	Aceho
کیلننگراڈ	Kaliningrado
گیڈولنیئم	Gadolinio
زین الدین یزید زیدان	Zinedine Zidane
ٹربیئم	Terbio
لکسمبرگ (شہر)	Luksemburgo
ڈسپروزیئم	Disprozio
واڈوز	Vaduzo
کتاب مقدس	Biblio
ہولمیئم	Holmio
سان مارینو شہر	San-Marino (urbo)
عیربیئم	Erbio
پنوم پن	Pnom-Peno
آرخانگلسک	Arĥangelsko
تھلیئم	Tulio
ہو چی من	Ho-Ĉi-Min-urbo
یٹّربیئم	Iterbio
لوٹیٹیئم	Lutecio
ہنوئی	Hanojo
کلیسائے عیسوی حقیقی	Vera Eklezio de Jesuo
انگریزی زبان	Angla lingvo
بنکاک	Bankoko
انڈورا لا ویلا	Andoro Malnova
کوالالمپور	Kuala-Lumpuro
جزائر بانگکا بیلیٹنگ	Bangka-Belitungo
تائپے	Tajpeo
امریکیئم	Americio
اودیسا	Odesa
آرخانگلسک اوبلاست	Arĥangelska provinco
کیوریئم	Kuriumo
دونگ ہوئی	Dong Hoi
کونسیپشیون	Koncepciono
برکیلیئم	Berkelio
کیلیفورنیئم	Kaliforniumo
سفارت کاری	Diplomatio
بنگکولو	Bengkuluo
بلونیا	Bolonjo
آئنسٹائنیئم	Ejnŝtejnio
پیٹروزاودسک	Petrozavodsk
Fermium	Fermio
Mendelevium	Mendelevio
کیف	Kievo
Nobelium	Nobelio
انٹاریو	Ontario
Lawrencium	Laŭrencio (elemento)
جمہوریہ کریلیا	Karelio (respubliko)
فرانک ریبری	Franck Ribéry
اوٹاوا	Otavo
خلائی دوڑ	Kosmokonkuro
ایرک ابیدال	Éric Abidal
جوبا	Ĵubo
مانیٹوبا	Manitobo
البرٹا	Alberto
نووا سکوشیا	Nov-Skotio
یریوان	Erevano
کونسکوولا	Końskowola
دارالسلام	Daresalamo
خرطوم	Ĥartumo
نیو برنزویک	Nov-Brunsviko
فورملا ون	Formulo 1
برٹش کولمبیا	Brita Kolumbio
پرنس ایڈورڈ آئی لینڈ	Insulo de Princo Eduardo
2000ء	2000
2003ء	2003
2002ء	2002
2001ء	2001
ساسکچیوان	Saskaĉevano
2012ء	2012
2011ء	2011
2010ء	2010
2009ء	2009
کاربن دو اکسید	Karbona dioksido
2013ء	2013
2014ء	2014
2015ء	2015
نیو فاؤنڈ لینڈ اور لیبراڈور	Novlando kaj Labradoro
2008ء	2008
جاوا سکرپٹ	JavaScript
شمال مغربی علاقہ جات، کینیڈا	Nordokcidentaj Teritorioj
يوكون	Jukonio
2004ء	2004
ولوگدا اوبلاست	Vologda provinco
2005ء	2005
2006ء	2006
نناوت	Nunavuto
2007ء	2007
Carbon monoxide	Karbona monooksido
اکالوئٹ	Ikaluito
1900ء	1900
1901ء	1901
جسیپی فارینہ	Giuseppe Farina
چارلس ڈیگال	Charles de Gaulle
1902ء	1902
فلورنس	Florenco
1903ء	1903
1904ء	1904
1905ء	1905
1907ء	1907
1906ء	1906
جامبی	Ĝambio
1908ء	1908
1909ء	1909
وائٹ ہارس (یوکون)	Whitehorse
1992ء	1992
یلوکنیفے	Yellowknife
1991ء	1991
1990ء	1990
1993ء	1993
ایسین	Essen
1994ء	1994
1995ء	1995
یوآن مینوعل فانگیو	Juan Manuel Fangio
1996ء	1996
کومی جمہوریہ	Komiio
1910ء	1910
1911ء	1911
1912ء	1912
پیمانی سمتیہ تخطیط	Streka Vari-skala Grafiko
لائپزش	Leipzig
1913ء	1913
سینٹ جانز، نیوفنلینڈ اور لیبراڈار	St. John's
1914ء	1914
1915ء	1915
ایلبرٹو اسکاری	Alberto Ascari
1916ء	1916
1997ء	1997
1998ء	1998
نورنبرگ	Nurenbergo
1999ء	1999
1917ء	1917
1918ء	1918
غذا	Manĝaĵo
ایڈمنٹن	Edmontono
بنیادی بار	Elementa elektra ŝargo
سانپ	Serpento
مائیک ہوتھورن	Mike Hawthorn
لامپونگ	Lampungo
روشنی کی رفتار	Lumrapido
توسیعی مارک اپ زبان	XML
دہنی جماع	Buŝa seksumado
ریجینا، ساسکچیوان	Regina
جسکا د ایستاں	Valéry Giscard d’Estaing
جیک بریبیم	Jack Brabham
نیوٹرینو	Neŭtrino
شارلٹٹاؤن	Ĉarlotaŭno
وکٹوریا، برٹش کولمبیا	Viktorio
ونی پیگ	Vinipego
فریڈریکٹن (نیو برنزوک)	Frederiktono
شمالی سماٹرا	Norda Sumatro
ہیلی فیکس (نووا سکوشیا)	Halifakso
سیکتیوکار	Siktivkar
کیوبک شہر	Kebeko
متناسق عالمی وقت−12:00	UTC-12:00
1 جنوری	1-a de januaro
2 جنوری	2-a de januaro
سبھاش چندر بوس	Subhas Chandra Bose
متناسق عالمی وقت−11:00	UTC-11:00
1920ء	1920
3 جنوری	3-a de januaro
1919ء	1919
1921ء	1921
متناسق عالمی وقت−10:00	UTC-10:00
نینیتس خود مختار آکرگ	Nenecio
1922ء	1922
لونڈ	Lund
4 جنوری	4-a de januaro
1923ء	1923
1924ء	1924
ناریان-مار	Narjan-Mar
ریاو	Riauo
متناسق عالمی وقت−09:00	UTC-09:00
روسی سوویت وفاقی اشتراکی جمہوریہ	Rusia Soveta Federacia Socialisma Respubliko
لیننگراڈ اوبلاست	Leningrada provinco
مشترکہ گروہ برائے عکسیہ ماہران	JPEG
بونا سیارہ	Nanoplanedo
5 جنوری	5-a de januaro
متناسق عالمی وقت−08:00	UTC-08:00
مالمو	Malmö
متناسق عالمی وقت−07:00	UTC-07:00
پسکوف اوبلاست	Pskova provinco
6 جنوری	6-a de januaro
ریاو جزائر صوبہ	Riau-insuloj
برقیہ	Elektrono
دریائے سلیو	Rivero de la Sklavoj
7 جنوری	7-a de januaro
8 جنوری	8-a de januaro
9 جنوری	9-a de januaro
نووگورود اوبلاست	Novgoroda provinco
10 جنوری	10-a de januaro
نزہنی نووگورود اوبلاست	Niĵnij-Novgoroda provinco
11 جنوری	11-a de januaro
12 جنوری	12-a de januaro
کولمبیا دریا	Kolumbio (rivero)
13 جنوری	13-a de januaro
برمنگھم	Birmingham
14 جنوری	14-a de januaro
15 جنوری	15-a de januaro
16 جنوری	16-a de januaro
17 جنوری	17-a de januaro
18 جنوری	18-a de januaro
19 جنوری	19-a de januaro
20 جنوری	20-a de januaro
صنعتی انقلاب	Industria revolucio
بنزین	Benzeno
جنوبی سماٹرا	Suda Sumatro
21 جنوری	21-a de januaro
22 جنوری	22-a de januaro
23 جنوری	23-a de januaro
رومی سلطنت	Romia Imperio
24 جنوری	24-a de januaro
25 جنوری	25-a de januaro
منسک	Minsko
لارڈ ساؤرن	Saŭrono
26 جنوری	26-a de januaro
مائیکروسافٹ	Microsoft
27 جنوری	27-a de januaro
28 جنوری	28-a de januaro
29 جنوری	29-a de januaro
30 جنوری	30-a de januaro
31 جنوری	31-a de januaro
توور اوبلاست	Tverja provinco
اولیہ (جوہر)	Protono
2 دسمبر	2-a de decembro
1 دسمبر	1-a de decembro
3 دسمبر	3-a de decembro
7 دسمبر	7-a de decembro
5 دسمبر	5-a de decembro
8 دسمبر	8-a de decembro
10 دسمبر	10-a de decembro
6 دسمبر	6-a de decembro
9 دسمبر	9-a de decembro
4 دسمبر	4-a de decembro
1 فروری	1-a de februaro
2 فروری	2-a de februaro
3 فروری	3-a de februaro
کوروف	Kurów
4 فروری	4-a de februaro
5 فروری	5-a de februaro
6 فروری	6-a de februaro
7 فروری	7-a de februaro
8 فروری	8-a de februaro
9 فروری	9-a de februaro
10 فروری	10-a de februaro
کیمیاء	Kemio
14 فروری	14-a de februaro
13 فروری	13-a de februaro
15 فروری	15-a de februaro
11 فروری	11-a de februaro
12 فروری	12-a de februaro
سمولنسک	Smolensk
روبن وین پرسی	Robin van Persie
19 فروری	19-a de februaro
17 فروری	17-a de februaro
16 فروری	16-a de februaro
18 فروری	18-a de februaro
20 فروری	20-a de februaro
تحلیلی کیمیاء	Analiza kemio
سمولنسک اوبلاست	Smolenska provinco
نیوٹرون	Neŭtrono
21 فروری	21-a de februaro
22 فروری	22-a de februaro
23 فروری	23-a de februaro
24 فروری	24-a de februaro
25 فروری	25-a de februaro
26 فروری	26-a de februaro
27ء	27
27 فروری	27-a de februaro
28 فروری	28-a de februaro
11 دسمبر	11-a de decembro
29 فروری	29-a de februaro
12 دسمبر	12-a de decembro
13 دسمبر	13-a de decembro
14 دسمبر	14-a de decembro
15 دسمبر	15-a de decembro
2 مارچ	2-a de marto
3 مارچ	3-a de marto
5 مارچ	5-a de marto
1 مارچ	1-a de marto
7 مارچ	7-a de marto
8 مارچ	8-a de marto
4 مارچ	4-a de marto
10 مارچ	10-a de marto
11 مارچ	11-a de marto
6 مارچ	6-a de marto
13 مارچ	13-a de marto
9 مارچ	9-a de marto
12 مارچ	12-a de marto
15 مارچ	15-a de marto
14 مارچ	14-a de marto
16 دسمبر	16-a de decembro
17 دسمبر	17-a de decembro
16 مارچ	16-a de marto
17 مارچ	17-a de marto
18 مارچ	18-a de marto
یاروسلاول	Jaroslavl
19 مارچ	19-a de marto
1989ء	1989
1988ء	1988
20 مارچ	20-a de marto
1987ء	1987
1986ء	1986
1985ء	1985
1984ء	1984
21 مارچ	21-a de marto
1983ء	1983
22 مارچ	22-a de marto
1982ء	1982
1981ء	1981
18 دسمبر	18-a de decembro
1980ء	1980
23 مارچ	23-a de marto
یاروسلاول اوبلاست	Jaroslavla provinco
موغادیشو	Mogadiŝo
19 دسمبر	19-a de decembro
24 مارچ	24-a de marto
25 مارچ	25-a de marto
20 دسمبر	20-a de decembro
26 مارچ	26-a de marto
27 مارچ	27-a de marto
28 مارچ	28-a de marto
29 مارچ	29-a de marto
30 مارچ	30-a de marto
31 مارچ	31-a de marto
نساؤ	Nasaŭo (Bahamoj)
اینڈرومیڈا	Andromeda galaksio
صنعاء	Sanao
1970ء	1970
1971ء	1971
1972ء	1972
1973ء	1973
1974ء	1974
1975ء	1975
1976ء	1976
1977ء	1977
1978ء	1978
1979ء	1979
1969ء	1969
جنگ سی سالہ	Tridekjara milito
کونارڈ ایڈنائر	Konrad Adenauer
بطریق اعظم بینیڈکٹ شانزدہم	Benedikto la 16-a
15 اپریل	15-a de aprilo
13 اپریل	13-a de aprilo
12 اپریل	12-a de aprilo
14 اپریل	14-a de aprilo
11 اپریل	11-a de aprilo
10 اپریل	10-a de aprilo
8 اپریل	8-a de aprilo
9 اپریل	9-a de aprilo
7 اپریل	7-a de aprilo
6 اپریل	6-a de aprilo
5 اپریل	5-a de aprilo
4 اپریل	4-a de aprilo
3 اپریل	3-a de aprilo
1 اپریل	1-a de aprilo
2 اپریل	2-a de aprilo
ہبل خلائی دوربین	Kosmoteleskopo Hubble
16 اپریل	16-a de aprilo
17 اپریل	17-a de aprilo
18 اپریل	18-a de aprilo
19 اپریل	19-a de aprilo
20 اپریل	20-a de aprilo
21 اپریل	21-a de aprilo
22 اپریل	22-a de aprilo
23 اپریل	23-a de aprilo
24 اپریل	24-a de aprilo
25 اپریل	25-a de aprilo
26 اپریل	26-a de aprilo
27 اپریل	27-a de aprilo
28 اپریل	28-a de aprilo
29 اپریل	29-a de aprilo
30 اپریل	30-a de aprilo
قدرتی سیارچہ	Natura satelito
جواشم گاک	Joachim Gauck
کرسچن وولف	Christian Wulff
ہورسٹ کوہلر	Horst Köhler
1 مئی	1-a de majo
2 مئی	2-a de majo
3 مئی	3-a de majo
4 مئی	4-a de majo
5 مئی	5-a de majo
جوہانس را	Johannes Rau
6 مئی	6-a de majo
7 مئی	7-a de majo
8 مئی	8-a de majo
9 مئی	9-a de majo
10 مئی	10-a de majo
11 مئی	11-a de majo
12 مئی	12-a de majo
13 مئی	13-a de majo
14 مئی	14-a de majo
15 مئی	15-a de majo
رومن ہرزوگ	Roman Herzog
رچرڈ وون وائسزاکر	Richard von Weizsäcker
کارل کارسٹنس	Karl Carstens
والٹر شیل	Walter Scheel
گستاو ہائنمین	Gustav Heinemann
16 مئی	16-a de majo
17 مئی	17-a de majo
18 مئی	18-a de majo
19 مئی	19-a de majo
20 مئی	20-a de majo
21 مئی	21-a de majo
22 مئی	22-a de majo
ہائنرک لبکے	Heinrich Lübke
23 مئی	23-a de majo
24 مئی	24-a de majo
25 مئی	25-a de majo
26 مئی	26-a de majo
27 مئی	27-a de majo
28 مئی	28-a de majo
29 مئی	29-a de majo
30 مئی	30-a de majo
31 مئی	31-a de majo
کوستروما اوبلاست	Kostroma provinco
واٹفورڈ	Watford
21 دسمبر	21-a de decembro
14 جون	14-a de junio
15 جون	15-a de junio
13 جون	13-a de junio
10 جون	10-a de junio
7 جون	7-a de junio
11 جون	11-a de junio
9 جون	9-a de junio
12 جون	12-a de junio
6 جون	6-a de junio
8 جون	8-a de junio
5 جون	5-a de junio
3 جون	3-a de junio
2 جون	2-a de junio
1 جون	1-a de junio
4 جون	4-a de junio
ناپولی	Napolo
22 دسمبر	22-a de decembro
1968ء	1968
1967ء	1967
1966ء	1966
1965ء	1965
1964ء	1964
16 جون	16-a de junio
ایوانوو اوبلاست	Ivanova provinco
پالیرمو	Palermo
30 جون	30-a de junio
29 جون	29-a de junio
28 جون	28-a de junio
26 جون	26-a de junio
25 جون	25-a de junio
22 جون	22-a de junio
27 جون	27-a de junio
24 جون	24-a de junio
20 جون	20-a de junio
23 جون	23-a de junio
19 جون	19-a de junio
18 جون	18-a de junio
21 جون	21-a de junio
17 جون	17-a de junio
23 دسمبر	23-a de decembro
گومل	Gomel
پارما	Parmo
15 جولائی	15-a de julio
13 جولائی	13-a de julio
12 جولائی	12-a de julio
10 جولائی	10-a de julio
9 جولائی	9-a de julio
14 جولائی	14-a de julio
8 جولائی	8-a de julio
7 جولائی	7-a de julio
6 جولائی	6-a de julio
5 جولائی	5-a de julio
2 جولائی	2-a de julio
4 جولائی	4-a de julio
3 جولائی	3-a de julio
1 جولائی	1-a de julio
11 جولائی	11-a de julio
ولادیمیر اوبلاست	Vladimira provinco
24 دسمبر	24-a de decembro
31 جولائی	31-a de julio
30 جولائی	30-a de julio
29 جولائی	29-a de julio
28 جولائی	28-a de julio
27 جولائی	27-a de julio
25 جولائی	25-a de julio
24 جولائی	24-a de julio
23 جولائی	23-a de julio
26 جولائی	26-a de julio
22 جولائی	22-a de julio
19 جولائی	19-a de julio
21 جولائی	21-a de julio
20 جولائی	20-a de julio
17 جولائی	17-a de julio
18 جولائی	18-a de julio
16 جولائی	16-a de julio
فٹبال	Futbalo
25 دسمبر	25-a de decembro
ریازان	Rjazan
ریازان اوبلاست	Rjazanja provinco
1963ء	1963
26 دسمبر	26-a de decembro
مرگ انبوہ	Holokaŭsto
1962ء	1962
مغربی سماٹرا	Okcidenta Sumatro
برانشویگ	Braunschweig
14 اگست	14-a de aŭgusto
15 اگست	15-a de aŭgusto
13 اگست	13-a de aŭgusto
12 اگست	12-a de aŭgusto
11 اگست	11-a de aŭgusto
10 اگست	10-a de aŭgusto
8 اگست	8-a de aŭgusto
7 اگست	7-a de aŭgusto
9 اگست	9-a de aŭgusto
5 اگست	5-a de aŭgusto
4 اگست	4-a de aŭgusto
2 اگست	2-a de aŭgusto
3 اگست	3-a de aŭgusto
6 اگست	6-a de aŭgusto
1 اگست	1-a de aŭgusto
تولا اوبلاست	Tula provinco
گرم برادران	Fratoj Grimm
آئی پیڈ	IPad
27 دسمبر	27-a de decembro
بریانسک	Brjansk
میدرد	Madrido
بریانسک اوبلاست	Brjanska provinco
آبدوز	Submarŝipo
16 اگست	16-a de aŭgusto
کوکا کولا مشروب	Koka-kolao
29 اگست	29-a de aŭgusto
28 اگست	28-a de aŭgusto
30 اگست	30-a de aŭgusto
25 اگست	25-a de aŭgusto
26 اگست	26-a de aŭgusto
23 اگست	23-a de aŭgusto
27 اگست	27-a de aŭgusto
21 اگست	21-a de aŭgusto
20 اگست	20-a de aŭgusto
24 اگست	24-a de aŭgusto
18 اگست	18-a de aŭgusto
17 اگست	17-a de aŭgusto
22 اگست	22-a de aŭgusto
19 اگست	19-a de aŭgusto
31 اگست	31-a de aŭgusto
مائیکل جیکسن	Michael Jackson
28 دسمبر	28-a de decembro
فری برگ	Freiburg
عدمِ کلام	Afazio
نزلہ	Gripo
بوگوتا	Bogoto
کالوگا اوبلاست	Kaluga provinco
براسیلیا	Braziljo
15 ستمبر	15-a de septembro
14 ستمبر	14-a de septembro
13 ستمبر	13-a de septembro
12 ستمبر	12-a de septembro
8 ستمبر	8-a de septembro
11 ستمبر	11-a de septembro
7 ستمبر	7-a de septembro
10 ستمبر	10-a de septembro
5 ستمبر	5-a de septembro
4 ستمبر	4-a de septembro
9 ستمبر	9-a de septembro
2 ستمبر	2-a de septembro
6 ستمبر	6-a de septembro
1 ستمبر	1-a de septembro
3 ستمبر	3-a de septembro
29 دسمبر	29-a de decembro
لیما	Limo
کینیڈا کے صوبے اور علاقہ جات	Provincoj kaj teritorioj de Kanado
30 ستمبر	30-a de septembro
29 ستمبر	29-a de septembro
28 ستمبر	28-a de septembro
27 ستمبر	27-a de septembro
26 ستمبر	26-a de septembro
25 ستمبر	25-a de septembro
سینٹیاگو، چلی	Santiago de Ĉilio
23 ستمبر	23-a de septembro
22 ستمبر	22-a de septembro
24 ستمبر	24-a de septembro
21 ستمبر	21-a de septembro
20 ستمبر	20-a de septembro
18 ستمبر	18-a de septembro
17 ستمبر	17-a de septembro
بیلاروسی سوویت اشتراکی جمہوریہ	Belorusa Soveta Socialisma Respubliko
19 ستمبر	19-a de septembro
16 ستمبر	16-a de septembro
کیٹو	Kito
30 دسمبر	30-a de decembro
سکرے	Sukro
31 دسمبر	31-a de decembro
1 اکتوبر	1-a de oktobro
15 اکتوبر	15-a de oktobro
12 اکتوبر	12-a de oktobro
10 اکتوبر	10-a de oktobro
14 اکتوبر	14-a de oktobro
9 اکتوبر	9-a de oktobro
8 اکتوبر	8-a de oktobro
13 اکتوبر	13-a de oktobro
7 اکتوبر	7-a de oktobro
11 اکتوبر	11-a de oktobro
6 اکتوبر	6-a de oktobro
4 اکتوبر	4-a de oktobro
5 اکتوبر	5-a de oktobro
3 اکتوبر	3-a de oktobro
2 اکتوبر	2-a de oktobro
اسونسیون	Asunciono
بکری	Hejma kapro
31 اکتوبر	31-a de oktobro
30 اکتوبر	30-a de oktobro
29 اکتوبر	29-a de oktobro
28 اکتوبر	28-a de oktobro
26 اکتوبر	26-a de oktobro
25 اکتوبر	25-a de oktobro
24 اکتوبر	24-a de oktobro
27 اکتوبر	27-a de oktobro
22 اکتوبر	22-a de oktobro
23 اکتوبر	23-a de oktobro
20 اکتوبر	20-a de oktobro
21 اکتوبر	21-a de oktobro
19 اکتوبر	19-a de oktobro
17 اکتوبر	17-a de oktobro
16 اکتوبر	16-a de oktobro
18 اکتوبر	18-a de oktobro
ہائیڈل برگ	Heidelberg
حریت	Libereco
15 نومبر	15-a de novembro
14 نومبر	14-a de novembro
13 نومبر	13-a de novembro
12 نومبر	12-a de novembro
11 نومبر	11-a de novembro
10 نومبر	10-a de novembro
7 نومبر	7-a de novembro
8 نومبر	8-a de novembro
9 نومبر	9-a de novembro
6 نومبر	6-a de novembro
5 نومبر	5-a de novembro
4 نومبر	4-a de novembro
3 نومبر	3-a de novembro
2 نومبر	2-a de novembro
1 نومبر	1-a de novembro
پاراماریبو	Paramaribo
ضلع پنبرگ	Distrikto Pinneberg
30 نومبر	30-a de novembro
29 نومبر	29-a de novembro
28 نومبر	28-a de novembro
27 نومبر	27-a de novembro
26 نومبر	26-a de novembro
25 نومبر	25-a de novembro
23 نومبر	23-a de novembro
24 نومبر	24-a de novembro
21 نومبر	21-a de novembro
20 نومبر	20-a de novembro
22 نومبر	22-a de novembro
19 نومبر	19-a de novembro
18 نومبر	18-a de novembro
17 نومبر	17-a de novembro
16 نومبر	16-a de novembro
لڑکی	Knabino
کھٹمنڈو	Katmanduo
خلیج ہڈسن	Hudsona Golfo
بلموپان	Belmopano
شارلیمین	Karolo la Granda
سان ہوزے, کوسٹاریکا	San-Joseo (Kostariko)
سان سلواڈور	San-Salvadoro
کینبرا	Kanbero
اوریول اوبلاست	Orjola provinco
سڈنی	Sidnejo
سبز	Verdo
ملبورن	Melburno
سرخ	Ruĝa
کورسک	Kursk
گانیمید (چاند)	Ganimedo (luno)
کورسک اوبلاست	Kurska provinco
پرتھ	Perto
آگ	Fajro
نوریہ	Fotono
مغربی آسٹریلیا	Okcidenta Aŭstralio
نیو ساؤتھ ویلز	Novsudkimrio
مثبرقیہ	Pozitrono
زمینی کرۂ ہوا	Atmosfero (tero)
شمالی علاقہ (آسٹریلیا)	Norda Teritorio
ٹیگوسیگلپا	Tegucigalpo
آسٹریلوی دارالحکومت علاقہ	Aŭstralia Ĉefurba Teritorio
ماناگوا	Managvo
گلواون	Gluono
پاناما شہر	Panamurbo
ٹیٹانیہ	Titanjo (luno)
بلگورود	Belgorodo
بلگورود اوبلاست	Belgoroda provinco
اوبیرون	Oberono (luno)
جارج اورول	George Orwell
امبریل	Umbrielo (luno)
ایریل	Arielo (luno)
میرانڈہ	Mirando (luno)
امیلیا ایرہارٹ	Amelia Earhart
زدار	Zadar
دریائے نیل	Nilo
ہارٹفورڈشائر	Hertfordshire
انکونا	Ankono
ورونیش	Voroneĵ
ورونیش اوبلاست	Voroneĵa provinco
جن	Ĝino (spirito)
سماٹرا	Sumatro
دریائے کانگو	Kongo (rivero)
سگروں مس	Sagron Mis
لیپٹسک اوبلاست	Lipecka provinco
بانٹین	Provinco Banteno
