Aphrika	Afriko
Halifax (Nova Scotia)	Halifakso
Quebec llaqta	Kebeko
1 ñiqin qhulla puquy killapi	1-a de januaro
2 ñiqin qhulla puquy killapi	2-a de januaro
1920	1920
3 ñiqin qhulla puquy killapi	3-a de januaro
1919	1919
1921	1921
1922	1922
Mawlli suyu	Maule (Ĉilio)
4 ñiqin qhulla puquy killapi	4-a de januaro
1923	1923
Biyubiyu suyu	Biobío
1924	1924
Arawkaniya suyu	Araŭkanio
Quchakuna suyu	Los Lagos
Aisén suyu	Aisén del General Carlos Ibáñez del Campo
Georges Pompidou	Georges Pompidou
Magallanes Antartika suyu	Magallanes y de la Antártica Chilena
Sit'i pachahina	Nanoplanedo
5 ñiqin qhulla puquy killapi	5-a de januaro
Arika	Arica (Ĉilia urbo)
6 ñiqin qhulla puquy killapi	6-a de januaro
Iliktrun	Elektrono
7 ñiqin qhulla puquy killapi	7-a de januaro
8 ñiqin qhulla puquy killapi	8-a de januaro
Velikiy Novgorod	Velikij Novgorod
9 ñiqin qhulla puquy killapi	9-a de januaro
10 ñiqin qhulla puquy killapi	10-a de januaro
11 ñiqin qhulla puquy killapi	11-a de januaro
12 ñiqin qhulla puquy killapi	12-a de januaro
13 ñiqin qhulla puquy killapi	13-a de januaro
Birmingham	Birmingham
14 ñiqin qhulla puquy killapi	14-a de januaro
15 ñiqin qhulla puquy killapi	15-a de januaro
16 ñiqin qhulla puquy killapi	16-a de januaro
17 ñiqin qhulla puquy killapi	17-a de januaro
18 ñiqin qhulla puquy killapi	18-a de januaro
19 ñiqin qhulla puquy killapi	19-a de januaro
20 ñiqin qhulla puquy killapi	20-a de januaro
21 ñiqin qhulla puquy killapi	21-a de januaro
22 ñiqin qhulla puquy killapi	22-a de januaro
23 ñiqin qhulla puquy killapi	23-a de januaro
Rumaki qhapaq llaqta	Romia Imperio
24 ñiqin qhulla puquy killapi	24-a de januaro
25 ñiqin qhulla puquy killapi	25-a de januaro
Minsk	Minsko
26 ñiqin qhulla puquy killapi	26-a de januaro
Microsoft	Microsoft
27 ñiqin qhulla puquy killapi	27-a de januaro
28 ñiqin qhulla puquy killapi	28-a de januaro
29 ñiqin qhulla puquy killapi	29-a de januaro
30 ñiqin qhulla puquy killapi	30-a de januaro
31 ñiqin qhulla puquy killapi	31-a de januaro
Prutun	Protono
2 ñiqin qhapaq raymi killapi	2-a de decembro
1 ñiqin qhapaq raymi killapi	1-a de decembro
3 ñiqin qhapaq raymi killapi	3-a de decembro
7 ñiqin qhapaq raymi killapi	7-a de decembro
5 ñiqin qhapaq raymi killapi	5-a de decembro
8 ñiqin qhapaq raymi killapi	8-a de decembro
10 ñiqin qhapaq raymi killapi	10-a de decembro
6 ñiqin qhapaq raymi killapi	6-a de decembro
9 ñiqin qhapaq raymi killapi	9-a de decembro
Pink Floyd	Pink Floyd
4 ñiqin qhapaq raymi killapi	4-a de decembro
1 ñiqin hatun puquy killapi	1-a de februaro
2 ñiqin hatun puquy killapi	2-a de februaro
Yanuna kachi	Natria klorido
3 ñiqin hatun puquy killapi	3-a de februaro
Kurów	Kurów
4 ñiqin hatun puquy killapi	4-a de februaro
5 ñiqin hatun puquy killapi	5-a de februaro
6 ñiqin hatun puquy killapi	6-a de februaro
7 ñiqin hatun puquy killapi	7-a de februaro
8 ñiqin hatun puquy killapi	8-a de februaro
9 ñiqin hatun puquy killapi	9-a de februaro
10 ñiqin hatun puquy killapi	10-a de februaro
Chaqllisinchi	Kemio
14 ñiqin hatun puquy killapi	14-a de februaro
13 ñiqin hatun puquy killapi	13-a de februaro
15 ñiqin hatun puquy killapi	15-a de februaro
11 ñiqin hatun puquy killapi	11-a de februaro
12 ñiqin hatun puquy killapi	12-a de februaro
Robin van Persie	Robin van Persie
19 ñiqin hatun puquy killapi	19-a de februaro
17 ñiqin hatun puquy killapi	17-a de februaro
16 ñiqin hatun puquy killapi	16-a de februaro
18 ñiqin hatun puquy killapi	18-a de februaro
20 ñiqin hatun puquy killapi	20-a de februaro
Niwtrun	Neŭtrono
21 ñiqin hatun puquy killapi	21-a de februaro
22 ñiqin hatun puquy killapi	22-a de februaro
23 ñiqin hatun puquy killapi	23-a de februaro
24 ñiqin hatun puquy killapi	24-a de februaro
25 ñiqin hatun puquy killapi	25-a de februaro
26 ñiqin hatun puquy killapi	26-a de februaro
27	27
27 ñiqin hatun puquy killapi	27-a de februaro
28 ñiqin hatun puquy killapi	28-a de februaro
11 ñiqin qhapaq raymi killapi	11-a de decembro
29 ñiqin hatun puquy killapi	29-a de februaro
12 ñiqin qhapaq raymi killapi	12-a de decembro
13 ñiqin qhapaq raymi killapi	13-a de decembro
14 ñiqin qhapaq raymi killapi	14-a de decembro
15 ñiqin qhapaq raymi killapi	15-a de decembro
2 ñiqin pawqar waray killapi	2-a de marto
3 ñiqin pawqar waray killapi	3-a de marto
5 ñiqin pawqar waray killapi	5-a de marto
1 ñiqin pawqar waray killapi	1-a de marto
7 ñiqin pawqar waray killapi	7-a de marto
8 ñiqin pawqar waray killapi	8-a de marto
4 ñiqin pawqar waray killapi	4-a de marto
10 ñiqin pawqar waray killapi	10-a de marto
11 ñiqin pawqar waray killapi	11-a de marto
6 ñiqin pawqar waray killapi	6-a de marto
13 ñiqin pawqar waray killapi	13-a de marto
9 ñiqin pawqar waray killapi	9-a de marto
12 ñiqin pawqar waray killapi	12-a de marto
15 ñiqin pawqar waray killapi	15-a de marto
14 ñiqin pawqar waray killapi	14-a de marto
16 ñiqin qhapaq raymi killapi	16-a de decembro
17 ñiqin qhapaq raymi killapi	17-a de decembro
16 ñiqin pawqar waray killapi	16-a de marto
17 ñiqin pawqar waray killapi	17-a de marto
18 ñiqin pawqar waray killapi	18-a de marto
Jaroslavl	Jaroslavl
19 ñiqin pawqar waray killapi	19-a de marto
1989	1989
1988	1988
20 ñiqin pawqar waray killapi	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
21 ñiqin pawqar waray killapi	21-a de marto
1983	1983
22 ñiqin pawqar waray killapi	22-a de marto
1982	1982
1981	1981
18 ñiqin qhapaq raymi killapi	18-a de decembro
1980	1980
23 ñiqin pawqar waray killapi	23-a de marto
Mugadishu	Mogadiŝo
19 ñiqin qhapaq raymi killapi	19-a de decembro
24 ñiqin pawqar waray killapi	24-a de marto
25 ñiqin pawqar waray killapi	25-a de marto
20 ñiqin qhapaq raymi killapi	20-a de decembro
26 ñiqin pawqar waray killapi	26-a de marto
27 ñiqin pawqar waray killapi	27-a de marto
28 ñiqin pawqar waray killapi	28-a de marto
29 ñiqin pawqar waray killapi	29-a de marto
30 ñiqin pawqar waray killapi	30-a de marto
31 ñiqin pawqar waray killapi	31-a de marto
Nassau	Nasaŭo (Bahamoj)
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Konrad Adenauer	Konrad Adenauer
Binidiktu XVI	Benedikto la 16-a
15 ñiqin ayriway killapi	15-a de aprilo
13 ñiqin ayriway killapi	13-a de aprilo
12 ñiqin ayriway killapi	12-a de aprilo
14 ñiqin ayriway killapi	14-a de aprilo
11 ñiqin ayriway killapi	11-a de aprilo
10 ñiqin ayriway killapi	10-a de aprilo
8 ñiqin ayriway killapi	8-a de aprilo
9 ñiqin ayriway killapi	9-a de aprilo
7 ñiqin ayriway killapi	7-a de aprilo
6 ñiqin ayriway killapi	6-a de aprilo
5 ñiqin ayriway killapi	5-a de aprilo
4 ñiqin ayriway killapi	4-a de aprilo
3 ñiqin ayriway killapi	3-a de aprilo
1 ñiqin ayriway killapi	1-a de aprilo
2 ñiqin ayriway killapi	2-a de aprilo
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16 ñiqin ayriway killapi	16-a de aprilo
17 ñiqin ayriway killapi	17-a de aprilo
18 ñiqin ayriway killapi	18-a de aprilo
19 ñiqin ayriway killapi	19-a de aprilo
20 ñiqin ayriway killapi	20-a de aprilo
21 ñiqin ayriway killapi	21-a de aprilo
22 ñiqin ayriway killapi	22-a de aprilo
23 ñiqin ayriway killapi	23-a de aprilo
24 ñiqin ayriway killapi	24-a de aprilo
Gerhard Schröder	Gerhard Schröder
25 ñiqin ayriway killapi	25-a de aprilo
26 ñiqin ayriway killapi	26-a de aprilo
27 ñiqin ayriway killapi	27-a de aprilo
28 ñiqin ayriway killapi	28-a de aprilo
29 ñiqin ayriway killapi	29-a de aprilo
30 ñiqin ayriway killapi	30-a de aprilo
Killa Satiliti	Natura satelito
Joachim Gauck	Joachim Gauck
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1 ñiqin aymuray killapi	1-a de majo
2 ñiqin aymuray killapi	2-a de majo
3 ñiqin aymuray killapi	3-a de majo
4 ñiqin aymuray killapi	4-a de majo
5 ñiqin aymuray killapi	5-a de majo
6 ñiqin aymuray killapi	6-a de majo
7 ñiqin aymuray killapi	7-a de majo
8 ñiqin aymuray killapi	8-a de majo
9 ñiqin aymuray killapi	9-a de majo
10 ñiqin aymuray killapi	10-a de majo
11 ñiqin aymuray killapi	11-a de majo
12 ñiqin aymuray killapi	12-a de majo
13 ñiqin aymuray killapi	13-a de majo
14 ñiqin aymuray killapi	14-a de majo
15 ñiqin aymuray killapi	15-a de majo
16 ñiqin aymuray killapi	16-a de majo
17 ñiqin aymuray killapi	17-a de majo
18 ñiqin aymuray killapi	18-a de majo
19 ñiqin aymuray killapi	19-a de majo
20 ñiqin aymuray killapi	20-a de majo
21 ñiqin aymuray killapi	21-a de majo
22 ñiqin aymuray killapi	22-a de majo
23 ñiqin aymuray killapi	23-a de majo
24 ñiqin aymuray killapi	24-a de majo
25 ñiqin aymuray killapi	25-a de majo
26 ñiqin aymuray killapi	26-a de majo
27 ñiqin aymuray killapi	27-a de majo
28 ñiqin aymuray killapi	28-a de majo
29 ñiqin aymuray killapi	29-a de majo
30 ñiqin aymuray killapi	30-a de majo
31 ñiqin aymuray killapi	31-a de majo
Paul MacCartney	Paul McCartney
21 ñiqin qhapaq raymi killapi	21-a de decembro
Piyu XII	Pio la 12-a
Erich Honecker	Erich Honecker
SS Lazio	Società Sportiva Lazio
14 ñiqin inti raymi killapi	14-a de junio
15 ñiqin inti raymi killapi	15-a de junio
13 ñiqin inti raymi killapi	13-a de junio
10 ñiqin inti raymi killapi	10-a de junio
7 ñiqin inti raymi killapi	7-a de junio
11 ñiqin inti raymi killapi	11-a de junio
9 ñiqin inti raymi killapi	9-a de junio
12 ñiqin inti raymi killapi	12-a de junio
6 ñiqin inti raymi killapi	6-a de junio
8 ñiqin inti raymi killapi	8-a de junio
5 ñiqin inti raymi killapi	5-a de junio
3 ñiqin inti raymi killapi	3-a de junio
2 ñiqin inti raymi killapi	2-a de junio
1 ñiqin inti raymi killapi	1-a de junio
4 ñiqin inti raymi killapi	4-a de junio
Napoli	Napolo
22 ñiqin qhapaq raymi killapi	22-a de decembro
SSC Napoli	SSC Napoli
George Harrison	George Harrison
1968	1968
Friedrich Ebert	Friedrich Ebert
1967	1967
1966	1966
1965	1965
1964	1964
16 ñiqin inti raymi killapi	16-a de junio
Palermo	Palermo
30 ñiqin inti raymi killapi	30-a de junio
29 ñiqin inti raymi killapi	29-a de junio
28 ñiqin inti raymi killapi	28-a de junio
26 ñiqin inti raymi killapi	26-a de junio
25 ñiqin inti raymi killapi	25-a de junio
22 ñiqin inti raymi killapi	22-a de junio
27 ñiqin inti raymi killapi	27-a de junio
24 ñiqin inti raymi killapi	24-a de junio
20 ñiqin inti raymi killapi	20-a de junio
Paul von Hindenburg	Paul von Hindenburg
23 ñiqin inti raymi killapi	23-a de junio
19 ñiqin inti raymi killapi	19-a de junio
18 ñiqin inti raymi killapi	18-a de junio
21 ñiqin inti raymi killapi	21-a de junio
17 ñiqin inti raymi killapi	17-a de junio
23 ñiqin qhapaq raymi killapi	23-a de decembro
Wilhelm II	Vilhelmo la 2-a (Germana Regno)
Parma	Parmo
Vladimir	Vladimir (urbo)
15 ñiqin anta situwa killapi	15-a de julio
13 ñiqin anta situwa killapi	13-a de julio
12 ñiqin anta situwa killapi	12-a de julio
10 ñiqin anta situwa killapi	10-a de julio
9 ñiqin anta situwa killapi	9-a de julio
14 ñiqin anta situwa killapi	14-a de julio
8 ñiqin anta situwa killapi	8-a de julio
Parma FC	Parma FC
7 ñiqin anta situwa killapi	7-a de julio
6 ñiqin anta situwa killapi	6-a de julio
5 ñiqin anta situwa killapi	5-a de julio
2 ñiqin anta situwa killapi	2-a de julio
4 ñiqin anta situwa killapi	4-a de julio
3 ñiqin anta situwa killapi	3-a de julio
1 ñiqin anta situwa killapi	1-a de julio
11 ñiqin anta situwa killapi	11-a de julio
24 ñiqin qhapaq raymi killapi	24-a de decembro
31 ñiqin anta situwa killapi	31-a de julio
30 ñiqin anta situwa killapi	30-a de julio
29 ñiqin anta situwa killapi	29-a de julio
28 ñiqin anta situwa killapi	28-a de julio
27 ñiqin anta situwa killapi	27-a de julio
25 ñiqin anta situwa killapi	25-a de julio
24 ñiqin anta situwa killapi	24-a de julio
23 ñiqin anta situwa killapi	23-a de julio
26 ñiqin anta situwa killapi	26-a de julio
22 ñiqin anta situwa killapi	22-a de julio
19 ñiqin anta situwa killapi	19-a de julio
21 ñiqin anta situwa killapi	21-a de julio
20 ñiqin anta situwa killapi	20-a de julio
17 ñiqin anta situwa killapi	17-a de julio
18 ñiqin anta situwa killapi	18-a de julio
16 ñiqin anta situwa killapi	16-a de julio
Piluta hayt'ay	Futbalo
AS Roma	AS Roma
25 ñiqin qhapaq raymi killapi	25-a de decembro
Siena	Sieno
1963	1963
Lech Kaczyński	Lech Kaczyński
26 ñiqin qhapaq raymi killapi	26-a de decembro
Ulukawstu	Holokaŭsto
1962	1962
14 ñiqin chakra yapuy killapi	14-a de aŭgusto
15 ñiqin chakra yapuy killapi	15-a de aŭgusto
13 ñiqin chakra yapuy killapi	13-a de aŭgusto
12 ñiqin chakra yapuy killapi	12-a de aŭgusto
11 ñiqin chakra yapuy killapi	11-a de aŭgusto
10 ñiqin chakra yapuy killapi	10-a de aŭgusto
8 ñiqin chakra yapuy killapi	8-a de aŭgusto
7 ñiqin chakra yapuy killapi	7-a de aŭgusto
9 ñiqin chakra yapuy killapi	9-a de aŭgusto
5 ñiqin chakra yapuy killapi	5-a de aŭgusto
4 ñiqin chakra yapuy killapi	4-a de aŭgusto
2 ñiqin chakra yapuy killapi	2-a de aŭgusto
3 ñiqin chakra yapuy killapi	3-a de aŭgusto
6 ñiqin chakra yapuy killapi	6-a de aŭgusto
1 ñiqin chakra yapuy killapi	1-a de aŭgusto
Grimm wawqikuna	Fratoj Grimm
27 ñiqin qhapaq raymi killapi	27-a de decembro
Madrid	Madrido
Elton John	Elton John
16 ñiqin chakra yapuy killapi	16-a de aŭgusto
29 ñiqin chakra yapuy killapi	29-a de aŭgusto
28 ñiqin chakra yapuy killapi	28-a de aŭgusto
30 ñiqin chakra yapuy killapi	30-a de aŭgusto
25 ñiqin chakra yapuy killapi	25-a de aŭgusto
26 ñiqin chakra yapuy killapi	26-a de aŭgusto
23 ñiqin chakra yapuy killapi	23-a de aŭgusto
27 ñiqin chakra yapuy killapi	27-a de aŭgusto
21 ñiqin chakra yapuy killapi	21-a de aŭgusto
20 ñiqin chakra yapuy killapi	20-a de aŭgusto
24 ñiqin chakra yapuy killapi	24-a de aŭgusto
18 ñiqin chakra yapuy killapi	18-a de aŭgusto
17 ñiqin chakra yapuy killapi	17-a de aŭgusto
22 ñiqin chakra yapuy killapi	22-a de aŭgusto
19 ñiqin chakra yapuy killapi	19-a de aŭgusto
31 ñiqin chakra yapuy killapi	31-a de aŭgusto
Michael Jackson	Michael Jackson
28 ñiqin qhapaq raymi killapi	28-a de decembro
Chhulli	Gripo
Bogotá	Bogoto
Brasilia	Braziljo
15 ñiqin tarpuy killapi	15-a de septembro
14 ñiqin tarpuy killapi	14-a de septembro
13 ñiqin tarpuy killapi	13-a de septembro
12 ñiqin tarpuy killapi	12-a de septembro
8 ñiqin tarpuy killapi	8-a de septembro
11 ñiqin tarpuy killapi	11-a de septembro
7 ñiqin tarpuy killapi	7-a de septembro
10 ñiqin tarpuy killapi	10-a de septembro
5 ñiqin tarpuy killapi	5-a de septembro
4 ñiqin tarpuy killapi	4-a de septembro
9 ñiqin tarpuy killapi	9-a de septembro
2 ñiqin tarpuy killapi	2-a de septembro
6 ñiqin tarpuy killapi	6-a de septembro
1 ñiqin tarpuy killapi	1-a de septembro
3 ñiqin tarpuy killapi	3-a de septembro
29 ñiqin qhapaq raymi killapi	29-a de decembro
Aleksandr Lukașenko	Aleksandro Lukaŝenko
Limaq	Limo
30 ñiqin tarpuy killapi	30-a de septembro
29 ñiqin tarpuy killapi	29-a de septembro
28 ñiqin tarpuy killapi	28-a de septembro
27 ñiqin tarpuy killapi	27-a de septembro
26 ñiqin tarpuy killapi	26-a de septembro
25 ñiqin tarpuy killapi	25-a de septembro
Chili Santiyayu	Santiago de Ĉilio
23 ñiqin tarpuy killapi	23-a de septembro
22 ñiqin tarpuy killapi	22-a de septembro
24 ñiqin tarpuy killapi	24-a de septembro
21 ñiqin tarpuy killapi	21-a de septembro
20 ñiqin tarpuy killapi	20-a de septembro
18 ñiqin tarpuy killapi	18-a de septembro
17 ñiqin tarpuy killapi	17-a de septembro
19 ñiqin tarpuy killapi	19-a de septembro
16 ñiqin tarpuy killapi	16-a de septembro
Kitu	Kito
30 ñiqin qhapaq raymi killapi	30-a de decembro
Chuqichaka	Sukro
Antoine de Saint-Exupéry	Antoine de Saint-Exupéry
31 ñiqin qhapaq raymi killapi	31-a de decembro
1 ñiqin kantaray killapi	1-a de oktobro
15 ñiqin kantaray killapi	15-a de oktobro
12 ñiqin kantaray killapi	12-a de oktobro
10 ñiqin kantaray killapi	10-a de oktobro
14 ñiqin kantaray killapi	14-a de oktobro
9 ñiqin kantaray killapi	9-a de oktobro
8 ñiqin kantaray killapi	8-a de oktobro
13 ñiqin kantaray killapi	13-a de oktobro
7 ñiqin kantaray killapi	7-a de oktobro
11 ñiqin kantaray killapi	11-a de oktobro
6 ñiqin kantaray killapi	6-a de oktobro
4 ñiqin kantaray killapi	4-a de oktobro
5 ñiqin kantaray killapi	5-a de oktobro
3 ñiqin kantaray killapi	3-a de oktobro
2 ñiqin kantaray killapi	2-a de oktobro
Asunción	Asunciono
Kawra	Hejma kapro
31 ñiqin kantaray killapi	31-a de oktobro
30 ñiqin kantaray killapi	30-a de oktobro
29 ñiqin kantaray killapi	29-a de oktobro
28 ñiqin kantaray killapi	28-a de oktobro
26 ñiqin kantaray killapi	26-a de oktobro
25 ñiqin kantaray killapi	25-a de oktobro
24 ñiqin kantaray killapi	24-a de oktobro
27 ñiqin kantaray killapi	27-a de oktobro
22 ñiqin kantaray killapi	22-a de oktobro
23 ñiqin kantaray killapi	23-a de oktobro
20 ñiqin kantaray killapi	20-a de oktobro
21 ñiqin kantaray killapi	21-a de oktobro
19 ñiqin kantaray killapi	19-a de oktobro
17 ñiqin kantaray killapi	17-a de oktobro
16 ñiqin kantaray killapi	16-a de oktobro
18 ñiqin kantaray killapi	18-a de oktobro
Heidelberg	Heidelberg
Darmstadt	Darmstadt
Kathidral	Katedralo
Qispi kay	Libereco
15 ñiqin ayamarq'a killapi	15-a de novembro
14 ñiqin ayamarq'a killapi	14-a de novembro
13 ñiqin ayamarq'a killapi	13-a de novembro
12 ñiqin ayamarq'a killapi	12-a de novembro
11 ñiqin ayamarq'a killapi	11-a de novembro
10 ñiqin ayamarq'a killapi	10-a de novembro
7 ñiqin ayamarq'a killapi	7-a de novembro
8 ñiqin ayamarq'a killapi	8-a de novembro
9 ñiqin ayamarq'a killapi	9-a de novembro
6 ñiqin ayamarq'a killapi	6-a de novembro
5 ñiqin ayamarq'a killapi	5-a de novembro
4 ñiqin ayamarq'a killapi	4-a de novembro
3 ñiqin ayamarq'a killapi	3-a de novembro
2 ñiqin ayamarq'a killapi	2-a de novembro
1 ñiqin ayamarq'a killapi	1-a de novembro
Paramaribo	Paramaribo
30 ñiqin ayamarq'a killapi	30-a de novembro
29 ñiqin ayamarq'a killapi	29-a de novembro
28 ñiqin ayamarq'a killapi	28-a de novembro
27 ñiqin ayamarq'a killapi	27-a de novembro
26 ñiqin ayamarq'a killapi	26-a de novembro
25 ñiqin ayamarq'a killapi	25-a de novembro
23 ñiqin ayamarq'a killapi	23-a de novembro
24 ñiqin ayamarq'a killapi	24-a de novembro
21 ñiqin ayamarq'a killapi	21-a de novembro
20 ñiqin ayamarq'a killapi	20-a de novembro
22 ñiqin ayamarq'a killapi	22-a de novembro
19 ñiqin ayamarq'a killapi	19-a de novembro
18 ñiqin ayamarq'a killapi	18-a de novembro
17 ñiqin ayamarq'a killapi	17-a de novembro
16 ñiqin ayamarq'a killapi	16-a de novembro
Belmopan	Belmopano
Carolus Magnus	Karolo la Granda
San José (Kustarika)	San-Joseo (Kostariko)
San Salvador	San-Salvadoro
Canberra	Kanbero
Sydney	Sidnejo
Q'umir	Verdo
Melbourne	Melburno
Puka	Ruĝa
Perth	Perto
Nina	Fajro
Pusitrun	Pozitrono
Wayra pacha	Atmosfero (tero)
Tegucigalpa	Tegucigalpo
Winnipeg qucha	Vinipego (lago)
Managua	Managvo
Panama llaqta	Panamurbo
George Orwell	George Orwell
Trento	Trento
Nabus	Brassica rapa
Nilu mayu	Nilo
Chuqichinchay warani	Siriuso
Ancona	Ankono
Perugia	Peruĝo
Qarawasu	Oskaro (fiŝo)
Kungu mayu	Kongo (rivero)
Bari	Bari
Niqir mayu	Niĝero (rivero)
Potenza	Potenco (Italio)
Rabat	Rabato
Aquchinchay	Kometo
Tunis	Tunizo
Tripoli	Tripolo
Antofagasta	Antofagasta (urbo)
Tehran	Teherano
Adis Ababa	Adis-Abebo
Jakarta	Ĝakarto
Ankara	Ankaro
Niamey	Niameo
Kalama	Calama (Ĉilio)
Riyad	Riado
1961	1961
Beograd	Beogrado
Dakar	Dakaro
Wisaw	Bisaŭo
1960	1960
Hawa wat'a	Javo
Accra	Akrao
Dimashq	Damasko
Ransis Wayana	Franca Gviano
Chillán	Chillán
Awqaq sipaskuna mayu	Amazono (rivero)
Abuja	Abuĝo
Amman	Amano
Tübingen	Tübingen
Yaoundé	Jaundeo
Kinshasa	Kinŝaso
Brazzaville	Brazavilo
Bujumbura	Buĵumburo
Kigali	Kigalo
Puriq quyllurcha	Asteroido
Dodoma	Dodomao
Qhupiyapu	Copiapó (urbo)
Nairobi	Najrobo
Kukimpu	Coquimbo (urbo)
Lusaka	Lusako
Catanzaro	Katanzaro
Maputu	Maputo
Kampala	Kampalo
Luanda	Luando
Muruni	Moronio
Galisya	Galegio
Yachay wasi	Lernejo
Yachay suntur	Universitato
Gaborone	Gaberono
Grace Kelly	Grace Kelly
Wikipidiya:Allinmi hamusqaykichik	Vikipedio:Bonvenon al Vikipedio
Kantawriya	Kantabrio
Wasi	Domo
Awstralya allpa pacha	Aŭstralia kontinento
Sinchi kaq	Aparataro
Qillqanancha kamay	Algebro
Yuskadi	Eŭska Aŭtonoma Komunumo
Runap kurkun	Homa anatomio
Nawarra	Navaro
Mayu	Rivero
Osasco	Osasco (San-Paŭlo)
Aragun	Aragono
36 kñ	-36
20 kñ	-20
40 kñ	-40
39 kñ	-39
Urnu ñawch'i	Horna Kabo
37 kñ	-37
22 kñ	-22
38 kñ	-38
Glasgow	Glasgovo
28 kñ	-28
18 kñ	-18
15 kñ	-15
33 kñ	-33
30 kñ	-30
12 kñ	-12
Dong Hoi antanka pampa	Flughaveno Dong Hoi
Ch'usaq pacha	Ekstertero
45 kñ	-45
46 kñ	-46
41 kñ	-41
49 kñ	-49
42 kñ	-42
25 kñ	-25
47 kñ	-47
10 kñ	-10
Michel Platini	Michel Platini
Katiguriya:Wiñay kawsay (Uruwayi)	Kategorio:Historio de Urugvajo
Curitiba	Kuritibo
Sach'a-sach'a	Arbaro
Katiguriya:Wiñay kawsay (Nihun)	Kategorio:Historio de Japanio
Katiguriya:1888	Kategorio:1888
Piyu VIII	Pio la 8-a
Binidiktu XV	Benedikto la 15-a
Franz Beckenbauer	Franz Beckenbauer
Joachim Löw	Joachim Löw
Talka	Talkao
Piruwpa wallqanqan	Blazono de Peruo
Katiguriya:Wiñay kawsay (Hurdanya)	Kategorio:Historio de Jordanio
Katiguriya:1421	Kategorio:1421
Katiguriya:1481	Kategorio:1481
Sean Connery	Sean Connery
Iyobpa qillqasqan	Libro de Ijob
Rimakuykunamanta qillqasqa	Sentencoj de Salomono
Rancagua	Rancagua (Ĉilio)
Khunfuqi	Konfuceo
Marilyn Monroe	Marilyn Monroe
Corbin Bleu	Corbin Bleu
Karnawal	Karnavalo
Katiguriya:Yupana	Kategorio:Matematiko
Katiguriya:Wallpasqa rimay	Kategorio:Konstruitaj lingvoj
Aymara simi	Ajmara lingvo
Pharuy	Ferooj
Mohamed Morsi	Mohamed Mursi
107 kñ	-107
Claude Debussy	Claude Debussy
143 kñ	-143
Barquisimeto	Barquisimeto
Le Corbusier	Le Corbusier
126 kñ	-126
116 kñ	-116
136 kñ	-136
Tapyamach'aqway	Senkruraj amfibioj
Katiguriya:Umalliq (Unduras)	Kategorio:Prezidantoj de Honduro
113 kñ	-113
Q'isa	Nesto
140 kñ	-140
150 kñ	-150
Tunu	Kolono
Katiguriya:Paqarisqa 1888	Kategorio:Naskiĝintoj en 1888
130 kñ	-130
1488	1488
Iwru	Eŭro
Amirikanu dollar	Usona dolaro
Allpapura hatun qucha	Mediteraneo
Larry Page	Larry Page
Piruwpa llaqta takin	Nacia Himno de Peruo
Hangzhou	Hangĝoŭo
Katiguriya:Yachay suntur (Mama llaqta)	Kategorio:Universitatoj laŭ landoj
Kristiyanu iñiy	Kristanismo
1004	1004
Plantilla:Support	Ŝablono:Por
Aoraki Urqu	Aoraki
Seattle (Washington)	Seattle
Berlin pirqa	Berlina muro
Arrus	Rizo
Baltimore (Maryland)	Baltimore (Marilando)
Céline Dion	Céline Dion
Allpa pacha	Kontinento
Plantilla:ALA	Ŝablono:ALA
Adelaide	Adelajdo
Pisqu	Birdoj
Uma llaqta	Ĉefurbo
Munsun (Ispaña)	Monzono
Gujarati simi	Guĝarata lingvo
Purtuyis simi	Portugala lingvo
Killa pacha	Monato
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
Q'aytu kuru	Nematodoj
1949	1949
Almazán	Almazán
Huang Xianfan	Huang Senfan
Qhichwa simi	Keĉua lingvaro
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
1944	1944
1952	1952
Q'ispi umiña	Diamanto
Bill Gates	Bill Gates
Nihun simi	Japana lingvo
Qhawana pampa	Komputila ekrano
Ñit'isqa ñawra phiruru	DVD
Qhapaq p'anqa	Vikipedio:Ĉefpaĝo
1959	1959
1957	1957
Pinchikilla kurur	Induktilo
Saratow	Saratov
1214	1214
1215	1215
Isanka rump'u	Korbopilkado
1216	1216
Sirp'i pukllay	Kriketo
1217	1217
1218	1218
David Bowie	David Bowie
Antawa llallinakuy	Aŭtosporto
1219	1219
Apuwasinyuq pukllaykuna	Olimpiaj ludoj
1220	1220
1221	1221
1222	1222
1223	1223
Iwrasya	Eŭrazio
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
1230	1230
Yangsi mayu	Jangzio
1231	1231
1232	1232
Missouri mayu	Misuro (rivero)
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
Francisco Goya	Francisco de Goya
1238	1238
1239	1239
1240	1240
1241	1241
1242	1242
