Yn Affrick	Afriko
9 Mean Souree	9-a de junio
12 Mean Souree	12-a de junio
6 Mean Souree	6-a de junio
8 Mean Souree	8-a de junio
5 Mean Souree	5-a de junio
3 Mean Souree	3-a de junio
2 Mean Souree	2-a de junio
1 Mean Souree	1-a de junio
4 Mean Souree	4-a de junio
Ringo Starr	Ringo Starr
22 Mee ny Nollick	22-a de decembro
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 Mean Souree	16-a de junio
30 Mean Souree	30-a de junio
29 Mean Souree	29-a de junio
28 Mean Souree	28-a de junio
26 Mean Souree	26-a de junio
25 Mean Souree	25-a de junio
22 Mean Souree	22-a de junio
27 Mean Souree	27-a de junio
24 Mean Souree	24-a de junio
20 Mean Souree	20-a de junio
23 Mean Souree	23-a de junio
19 Mean Souree	19-a de junio
18 Mean Souree	18-a de junio
21 Mean Souree	21-a de junio
17 Mean Souree	17-a de junio
23 Mee ny Nollick	23-a de decembro
Illiam II ny Germaan	Vilhelmo la 2-a (Germana Regno)
15 Jerrey Souree	15-a de julio
13 Jerrey Souree	13-a de julio
12 Jerrey Souree	12-a de julio
10 Jerrey Souree	10-a de julio
9 Jerrey Souree	9-a de julio
14 Jerrey Souree	14-a de julio
8 Jerrey Souree	8-a de julio
7 Jerrey Souree	7-a de julio
6 Jerrey Souree	6-a de julio
5 Jerrey Souree	5-a de julio
2 Jerrey Souree	2-a de julio
4 Jerrey Souree	4-a de julio
3 Jerrey Souree	3-a de julio
1 Jerrey Souree	1-a de julio
11 Jerrey Souree	11-a de julio
24 Mee ny Nollick	24-a de decembro
31 Jerrey Souree	31-a de julio
30 Jerrey Souree	30-a de julio
29 Jerrey Souree	29-a de julio
28 Jerrey Souree	28-a de julio
27 Jerrey Souree	27-a de julio
25 Jerrey Souree	25-a de julio
24 Jerrey Souree	24-a de julio
23 Jerrey Souree	23-a de julio
26 Jerrey Souree	26-a de julio
22 Jerrey Souree	22-a de julio
19 Jerrey Souree	19-a de julio
21 Jerrey Souree	21-a de julio
20 Jerrey Souree	20-a de julio
17 Jerrey Souree	17-a de julio
18 Jerrey Souree	18-a de julio
16 Jerrey Souree	16-a de julio
Soccer	Futbalo
25 Mee ny Nollick	25-a de decembro
1963	1963
26 Mee ny Nollick	26-a de decembro
Yn Deherree	Holokaŭsto
1962	1962
14 Luanistyn	14-a de aŭgusto
15 Luanistyn	15-a de aŭgusto
13 Luanistyn	13-a de aŭgusto
12 Luanistyn	12-a de aŭgusto
11 Luanistyn	11-a de aŭgusto
10 Luanistyn	10-a de aŭgusto
8 Luanistyn	8-a de aŭgusto
7 Luanistyn	7-a de aŭgusto
9 Luanistyn	9-a de aŭgusto
5 Luanistyn	5-a de aŭgusto
4 Luanistyn	4-a de aŭgusto
2 Luanistyn	2-a de aŭgusto
3 Luanistyn	3-a de aŭgusto
6 Luanistyn	6-a de aŭgusto
1 Luanistyn	1-a de aŭgusto
27 Mee ny Nollick	27-a de decembro
Madrid	Madrido
16 Luanistyn	16-a de aŭgusto
29 Luanistyn	29-a de aŭgusto
28 Luanistyn	28-a de aŭgusto
30 Luanistyn	30-a de aŭgusto
25 Luanistyn	25-a de aŭgusto
26 Luanistyn	26-a de aŭgusto
23 Luanistyn	23-a de aŭgusto
27 Luanistyn	27-a de aŭgusto
21 Luanistyn	21-a de aŭgusto
20 Luanistyn	20-a de aŭgusto
24 Luanistyn	24-a de aŭgusto
18 Luanistyn	18-a de aŭgusto
17 Luanistyn	17-a de aŭgusto
22 Luanistyn	22-a de aŭgusto
19 Luanistyn	19-a de aŭgusto
31 Luanistyn	31-a de aŭgusto
Michael Jackson	Michael Jackson
28 Mee ny Nollick	28-a de decembro
Brasília	Braziljo
15 Mean Fouyir	15-a de septembro
14 Mean Fouyir	14-a de septembro
13 Mean Fouyir	13-a de septembro
12 Mean Fouyir	12-a de septembro
8 Mean Fouyir	8-a de septembro
11 Mean Fouyir	11-a de septembro
7 Mean Fouyir	7-a de septembro
10 Mean Fouyir	10-a de septembro
5 Mean Fouyir	5-a de septembro
4 Mean Fouyir	4-a de septembro
9 Mean Fouyir	9-a de septembro
2 Mean Fouyir	2-a de septembro
6 Mean Fouyir	6-a de septembro
1 Mean Fouyir	1-a de septembro
3 Mean Fouyir	3-a de septembro
29 Mee ny Nollick	29-a de decembro
30 Mean Fouyir	30-a de septembro
29 Mean Fouyir	29-a de septembro
28 Mean Fouyir	28-a de septembro
27 Mean Fouyir	27-a de septembro
26 Mean Fouyir	26-a de septembro
25 Mean Fouyir	25-a de septembro
Santiago, y Çhillee	Santiago de Ĉilio
23 Mean Fouyir	23-a de septembro
22 Mean Fouyir	22-a de septembro
24 Mean Fouyir	24-a de septembro
21 Mean Fouyir	21-a de septembro
20 Mean Fouyir	20-a de septembro
18 Mean Fouyir	18-a de septembro
17 Mean Fouyir	17-a de septembro
Pobblaght Hoveidjagh Hoshiallagh ny Belaroosh	Belorusa Soveta Socialisma Respubliko
19 Mean Fouyir	19-a de septembro
16 Mean Fouyir	16-a de septembro
30 Mee ny Nollick	30-a de decembro
31 Mee ny Nollick	31-a de decembro
1 Jerrey Fouyir	1-a de oktobro
15 Jerrey Fouyir	15-a de oktobro
12 Jerrey Fouyir	12-a de oktobro
10 Jerrey Fouyir	10-a de oktobro
14 Jerrey Fouyir	14-a de oktobro
9 Jerrey Fouyir	9-a de oktobro
8 Jerrey Fouyir	8-a de oktobro
13 Jerrey Fouyir	13-a de oktobro
7 Jerrey Fouyir	7-a de oktobro
11 Jerrey Fouyir	11-a de oktobro
6 Jerrey Fouyir	6-a de oktobro
4 Jerrey Fouyir	4-a de oktobro
5 Jerrey Fouyir	5-a de oktobro
3 Jerrey Fouyir	3-a de oktobro
2 Jerrey Fouyir	2-a de oktobro
Asunción	Asunciono
31 Jerrey Fouyir	31-a de oktobro
30 Jerrey Fouyir	30-a de oktobro
29 Jerrey Fouyir	29-a de oktobro
28 Jerrey Fouyir	28-a de oktobro
26 Jerrey Fouyir	26-a de oktobro
25 Jerrey Fouyir	25-a de oktobro
24 Jerrey Fouyir	24-a de oktobro
27 Jerrey Fouyir	27-a de oktobro
22 Jerrey Fouyir	22-a de oktobro
23 Jerrey Fouyir	23-a de oktobro
20 Jerrey Fouyir	20-a de oktobro
21 Jerrey Fouyir	21-a de oktobro
19 Jerrey Fouyir	19-a de oktobro
17 Jerrey Fouyir	17-a de oktobro
16 Jerrey Fouyir	16-a de oktobro
18 Jerrey Fouyir	18-a de oktobro
Darmstadt	Darmstadt
15 Mee Houney	15-a de novembro
14 Mee Houney	14-a de novembro
13 Mee Houney	13-a de novembro
12 Mee Houney	12-a de novembro
11 Mee Houney	11-a de novembro
10 Mee Houney	10-a de novembro
7 Mee Houney	7-a de novembro
8 Mee Houney	8-a de novembro
9 Mee Houney	9-a de novembro
6 Mee Houney	6-a de novembro
5 Mee Houney	5-a de novembro
4 Mee Houney	4-a de novembro
3 Mee Houney	3-a de novembro
2 Mee Houney	2-a de novembro
1 Mee Houney	1-a de novembro
Paramaribo	Paramaribo
30 Mee Houney	30-a de novembro
29 Mee Houney	29-a de novembro
28 Mee Houney	28-a de novembro
27 Mee Houney	27-a de novembro
26 Mee Houney	26-a de novembro
25 Mee Houney	25-a de novembro
23 Mee Houney	23-a de novembro
24 Mee Houney	24-a de novembro
21 Mee Houney	21-a de novembro
20 Mee Houney	20-a de novembro
22 Mee Houney	22-a de novembro
19 Mee Houney	19-a de novembro
18 Mee Houney	18-a de novembro
17 Mee Houney	17-a de novembro
16 Mee Houney	16-a de novembro
Liger-Atlantel	Loire-Atlantique
Sydney	Sidnejo
Yn Austrail Heear	Okcidenta Aŭstralio
Bretyn Yiass Noa	Novsudkimrio
Thalloo yn Twoaie	Norda Teritorio
Thalloo Preeu-valjagh ny h-Austrail	Aŭstralia Ĉefurba Teritorio
Caayr ny Panamaa	Panamurbo
George Orwell	George Orwell
Aodoù-an-Arvor	Côtes-d'Armor
Penn-ar-Bed	Finistère
Hertfordshire	Hertfordshire
Ankara	Ankaro
1961	1961
Trie	Futo
Belgraaid	Beogrado
Ronney:Clowanyn Wikipedia	Kategorio:Vikipedio:Ŝablonoj
1960	1960
Ronney:Ronnaghyn clowan Wikipedia	Kategorio:Ŝablono:laŭ temo
Quentin Tarantino	Quentin Tarantino
Ronney:Clowanyn spoyrt	Kategorio:Ŝablono:Sporto
Beirut	Bejruto
Ronney:Clowanyn çheer	Kategorio:Ŝablono:laŭ lando
Ronney:Clowanyn traa	Kategorio:Ŝablono:laŭ tempo
Lefkosia	Nikozio
Roltageagh	Asteroido
Ronney:Clowanyn çheer-oaylleeaght	Kategorio:Ŝablono:Geografio
Lusaka	Lusako
Yn Ghaleesh, y Spaainey	Galegio
Antananarivo	Antananarivo
Detmold	Detmold
Wikipedia:Sandbox	Vikipedio:Provejo
Wikipedia:Roie-raa	Vikipedio:Bonvenon al Vikipedio
Balley	Taŭno
Glioonag	Tekokomputilo
Algeerey	Algebro
Kempten	Kempten (Algovio)
Yn Çheer Vascagh (boodeeys hene-reiltagh)	Eŭska Aŭtonoma Komunumo
Awin	Rivero
Osasco	Osasco (San-Paŭlo)
Aragón	Aragono
Glaschu	Glasgovo
Geayrag hulfuragh	Sulfata acido
Cruinlagh	Orbito
Purt Aer Dong Hoi	Flughaveno Dong Hoi
Felix Baumgartner	Felix Baumgartner
Rollage vuillagh	Pulsaro
Curitiba	Kuritibo
Ronney:Raaidyn rere çheer	Kategorio:Ŝoseoj laŭ landoj
Zichyújfalu	Zichyújfalu
Ronney:Artiodactyla	Kategorio:Parhufuloj
Ronney:Amsterdam	Kategorio:Amsterdamo
Ronney:Pobblaghtyn Soveidjagh	Kategorio:Respublikoj de Sovetunio
Ronney:Tooneeshee	Kategorio:Personoj de Tunizio
Victorious	Victorious
Ronney:Baljaghtyn ayns Liechtenstein	Kategorio:Komunumoj de Liĥtenŝtejno
Clowan:Caslys-çheerey soiaghey ny Turkee	Ŝablono:Situo sur mapo Turkio
Corbin Bleu	Corbin Bleu
Ronney:Maddaght	Kategorio:Matematiko
Ronney:Kyiv	Kategorio:Kievo
Aymarish	Ajmara lingvo
Ellanyn ny Geyrragh	Ferooj
1488	1488
Troarag	Kulturvario
Euro	Eŭro
Yn Veanvooir	Mediteraneo
Yn Chreestiaght	Kristanismo
Boalley Verleen	Berlina muro
Ushag	Birdoj
Preeu-valley	Ĉefurbo
Monzón	Monzono
Portiugish	Portugala lingvo
Mee	Monato
1948	1948
Eumetasoa	Histuloj
1949	1949
Almazán	Almazán
Huang Xianfan	Huang Senfan
Toshiaght Arree 2009	Februaro de 2009
1956	1956
1200	1200
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
Hippocrates	Hipokrato
1944	1944
1952	1952
Shapaanish	Japana lingvo
DVD	DVD
Ard-ghuillag	Vikipedio:Ĉefpaĝo
1959	1959
1957	1957
Ruggyr	Rugbeo
Yn Oaraishey	Eŭrazio
Yn Udmurt	Udmurtio
Yn Tatarstaan	Tatarstano
Yn Vooir Chaspagh	Kaspio
Traen fo-halloo	Metroo
1266	1266
Albrecht Dürer	Albrecht Dürer
Frida Kahlo	Frida Kahlo
Michelangelo	Mikelanĝelo
Peter Paul Rubens	Petro Paŭlo Rubens
Frank Lloyd Wright	Frank Lloyd Wright
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Charles Dickens	Charles Dickens
Åland	Alando
Kanta-Häme	Kanta-Häme
Kymenlaakso	Kymenlaakso
Yn Laplann, Finnlynn	Laponia gubernio
Pirkanmaa	Pirkanmaa
Österbotten (ard)	Ostrobotnio
Pohjanmaa Hwoaie	Norda Ostrobotnio
Yn Chataloan	Katalunio
Päijät-Häme	Päijät-Häme
Uusimaa	Uusimaa
Finnlynn Chiart	Pura Finnlando
1306	1306
1307	1307
Boodeeys Valencia	Valencilando
1308	1308
1309	1309
1310	1310
1311	1311
1312	1312
1313	1313
1314	1314
Ny h-Ellanyn Balearagh	Balearoj
Murcia (ard)	Murcia Regiono
Andalucía	Andaluzio
Everton F.C.	Everton FC
Novak Đoković	Novak Đoković
Kabul	Kabulo
Fallsoonys	Filozofio
Ronney:Duillagyn er çhionn-scryssey	Kategorio:Tujforigendaj artikoloj
Hebe Camargo	Hebe Camargo
1400	1400
1366	1366
Lippe	Distrikto Lippe
Çheer	Lando
1380	1380
Calais	Calais
Rheynnyn ny Frank	Departementoj de Francio
1538	1538
1540	1540
Ronney:Rollageydys	Kategorio:Astronomio
Irree Magh ny Frank	Franca revolucio de 1789
UTC±00:00	UTC±00:00
Gwened	Vannes
1473	1473
Charon (fo-phlannad)	Karono (luno)
1484	1484
1485	1485
1486	1486
1487	1487
Croitish	Kroata lingvo
UTC+01:00	UTC+01:00
1489	1489
1490	1490
1491	1491
1600	1600
UTC+02:00	UTC+02:00
1584	1584
1608	1608
1711	1711
Unnaneys Rollageydagh Eddyrashoonagh	Internacia Astronomia Unio
1800	1800
1801	1801
James Joyce	James Joyce
1802	1802
1803	1803
1809	1809
20oo eash	20-a jarcento
1813	1813
21oo eash	21-a jarcento
1814	1814
19oo eash	19-a jarcento
1817	1817
1820	1820
1822	1822
1735	1735
1825	1825
1826	1826
18oo eash	18-a jarcento
17oo eash	17-a jarcento
16oo eash	16-a jarcento
15oo eash	15-a jarcento
Cataloanish	Kataluna lingvo
14oo eash	14-a jarcento
Ronney:Rollageyn	Kategorio:Steloj
13oo eash	13-a jarcento
12oo eash	12-a jarcento
11oo eash	11-a jarcento
Anjeeys	Ateismo
Bea-chemmig	Biokemio
Eggoaylleeaght	Ekologio
Politickaght	Politiko
Yn Commeeys Arabagh	Ligo de Arabaj Ŝtatoj
Fliughane-oaylleeaght	Fungoscienco
Reagheydys Chonaant yn Atlantagh Hwoaie	NATO
Reiltys	Registaro
Qin Shi Huang	Qin Shihuangdi
Myn-vioagh-oaylleeaght	Mikrobiologio
Alexander Pushkin	Aleksandr Puŝkin
Ealisaid I Hostyn	Elizabeto la 1-a (Anglio)
Bioag	Organismo
Ada Lovelace	Ada Lovelace
Pobblaght	Respubliko
Johannes Brahms	Johannes Brahms
Antonín Dvořák	Antonín Dvořák
George Frideric Handel	Georg Friedrich Händel
Igor Stravinsky	Igor Stravinski
Pyotr Ilyich Tchaikovsky	Pjotr Iljiĉ Ĉajkovskij
Giuseppe Verdi	Giuseppe Verdi
Yn Ghermaan Natseeagh	Nazia Germanio
Partee Natseeagh	Nacisocialisma Germana Laborista Partio
Jacques Cartier	Jacques Cartier
Ewnyn	Judoj
Yuri Gagarin	Jurij Aleksejeviĉ Gagarin
Sleih-champ Auschwitz	Aŭŝvico (koncentreja komplekso)
Oświęcim	Oświęcim
Joseph Haydn	Joseph Haydn
Keayn y Jiass	Suda Oceano
Cleaysh	Orelo
Stroin	Nazo (organo)
Sooill	Okulo
Keyrrey	Ŝafo
Sheeintagh	Mamuloj
Elefant	Elefanto
Ollanish	Nederlanda lingvo
Margaret Thatcher	Margaret Thatcher
Caayl blaa	Florbrasiko
Lus ny h-oohyn	Melongeno
Phobos (fo-phlannad)	Fobo (luno)
Deimos (fo-phlannad)	Dejmo (luno)
Sniaghtey	Neĝo
1829	1829
1831	1831
Arraghey	Transporto
1836	1836
1837	1837
1750	1750
1751	1751
1674	1674
1841	1841
1845	1845
1758	1758
1846	1846
1849	1849
1850	1850
1765	1765
1853	1853
1857	1857
1861	1861
1862	1862
1697	1697
1865	1865
1869	1869
Rooshish	Rusa lingvo
1870	1870
Leigh	Leĝo (jura)
1873	1873
Çhalse X ny Frank	Karlo la 10-a (Francio)
1789	1789
1877	1877
1790	1790
Arran	Pano
1881	1881
1884	1884
1797	1797
1885	1885
1889	1889
Yn Chrimeea	Krimeo
Swahilish	Svahila lingvo
1892	1892
1893	1893
1894	1894
1895	1895
1896	1896
1897	1897
1898	1898
Çhengaghyn Sheenagh	Ĉina lingvaro
1899	1899
Killag	Ĉelo (biologio)
Hochtaunuskreis	Distrikto Hochtaunus
Romaanish	Rumana lingvo
Bulgeyrish	Bulgara lingvo
Detmold (ard)	Distriktaro Detmoldo
Fliaghey	Pluvo
Malagasish	Malagasa lingvo
Oaylleeaght najooragh	Naturscienco
Franklin D. Roosevelt	Franklin D. Roosevelt
Dowan-oaylleeaght	Terscienco
Winston Churchill	Winston Churchill
Nelson Mandela	Nelson Mandela
10oo eash	10-a jarcento
Proteen	Proteino
Volcaan	Vulkano
Bodjal	Nubo
Sterrym cassee	Tornado (ŝtormo)
9oo eash	9-a jarcento
Towse-oaylleeaght	Geometrio
Grammeydys	Gramatiko
Geay	Vento
Aeraght	Atmosfero (astro)
Tarmaynys	Ekonomiko
Argid cadjin	Valuto
Çhengoaylleeaght	Lingvoscienco
Myn-heean	Fonemo
Corys screeuee	Skribsistemo
Abbyrlhit Arabagh	Araba alfabeto
Hànzì	Ĉina skribo
Abbyrlhit Kyrillagh	Cirila alfabeto
Abbyrlhit Greagagh	Greka alfabeto
Abbyrlhit Romanagh	Latina alfabeto
Ronney:Yn Vulgeyr	Kategorio:Bulgario
Lettyraght	Literaturo
Ronney:Yn Rank	Kategorio:Francio
Ronney:Kiaull	Kategorio:Muziko
Ronney:Lettyraght	Kategorio:Literaturo
Noaskeeal	Romano
Ronney:Feeleeaght	Kategorio:Poezio
Ronney:Shennaghys ny Frank	Kategorio:Historio de Francio
Manga	Mangao
Shynnagh ruy	Ruĝa vulpo
Edjaghys	Eduko
Hugo Chávez	Hugo Chávez
Euronews	Euronews
Bainney	Lakto
Slieau	Monto
Andrew Johnson	Andrew Johnson
Ewdish	Jida lingvo
Miami	Miamo
Yn Dragan	Drako (konstelacio)
Shanghai	Ŝanhajo
Albaanish	Albana lingvo
Bascish	Eŭska lingvo
Aragonish	Aragona lingvo
Armeainish	Armena lingvo
Alsaasish	Alzaca lingvo
Ookraanish	Ukraina lingvo
Yn Shelgeyr Mooar	Oriono (konstelacio)
Parlamaid ny h-Oarpey	Eŭropa Parlamento
Coonseil ny h-Oarpey	Konsilio de Eŭropo
Yn Cheeaght	Granda Ursino (konstelacio)
Eaghtyr Tarmaynagh Oarpagh	Eŭropa Ekonomia Areo
Soolynnish	Sveda lingvo
Danvargish	Dana lingvo
Norlynnish	Norvega lingvo
Sheckish	Ĉeĥa lingvo
Slovackish	Slovaka lingvo
Sloveanish	Slovena lingvo
Ungaarish	Hungara lingvo
Estoinish	Estona lingvo
Latvish	Latva lingvo
Litaanish	Litova lingvo
Belarooshish	Belorusa lingvo
Breneen	Atomo
Greagish	Greka lingvo
Feayn-skeealleydaght	Mitologio
Yernish	Irlanda lingvo
Maltish	Malta lingvo
Craueeaght	Religio
Mandarin	Nordĉina dialektaro
Sigmund Freud	Sigmund Freud
Thaish	Siama lingvo
Yn Ewaghys	Judismo
Ewnish	Hebrea lingvo
Asserbajaanish	Azerbajĝana lingvo
Massadoanish	Makedona lingvo
Serbish	Serba lingvo
Bosnish	Bosnia lingvo
Galeeshish	Galega lingvo
Bretnish	Kimra lingvo
Gaelg ny h-Albey	Skotgaela lingvo
Adam Smith	Adam Smith
Ludwig Wittgenstein	Ludwig Wittgenstein
Shicklaage	Psikologio
Mahommad	Mohamedo
Fiorag	Sciuredoj
Tony Blair	Tony Blair
John Major	John Major
James Callaghan	James Callaghan
Gerald Ford	Gerald Ford
Richard Nixon	Richard Nixon
Çhengey (ronsaghey-kirpey)	Lango (anatomio)
Nearag	Nervo
Mwannal	Kolo
Goolag	Laringo
Lyndon B. Johnson	Lyndon B. Johnson
Olt (ronsaghey-kirpey)	Artiko
Cleeau	Brusto
Mannin	Manksinsulo
Ellan Eeaght	Isle of Wight
Ealisaid II y Reeriaght Unnaneysit	Elizabeto la 2-a (Britio)
John F. Kennedy	John F. Kennedy
B	B
Kiaull chlassicagh	Klasika muziko
Guilckagh (lettyr)	G
Unjin (lettyr)	U
Z (lettyr)	Z
Faarney (lettyr)	F
Juys (lettyr)	J
Abbyrlhit	Alfabeto
Tramman (lettyr)	T
Couyll	C
Renniagh (lettyr)	R
Darragh (lettyr)	D
Alpha	Alfo
Iuar	I
Eboin	E
Hibbin (lettyr)	H
Dwight D. Eisenhower	Dwight D. Eisenhower
Haarlem	Haarlemo
Keirn (lettyr)	K
Lhouan	L
Malpys (lettyr)	M
Neaynin (lettyr)	N
Onnane (lettyr)	O
Pobbyl (lettyr)	P
Quinsh (lettyr)	Q
Shellagh (lettyr)	S
Ronald Reagan	Ronald Reagan
Vervine (lettyr)	V
Wooishlagh (lettyr)	W
X (lettyr)	X
Yiarn (lettyr)	Y
Rafael Nadal	Rafael Nadal
Plasmey (fishig)	Plasmo
Thiollane Vooir Eeaght	Manika Tunelo
Gordon Brown	Gordon Brown
1100	1100
Ronney:Yn Veneswaaley	Kategorio:Venezuelo
Beeal Feirshtey	Belfasto
Cayr Deeth	Cardiff
Taabyl reiltagh ny bunstooghyn	Perioda tabelo
Tórshavn	Tórshavn
Reptilia	Reptilioj
Archaea	Arĥioj
Bacteria	Bakterioj
Billey	Arbo
Protista	Protistoj
Daa-veaghagh	Amfibioj
Chordata	Ĥorduloj
Caashey	Fromaĝo
Smeyr-feeyney	Vinbero
Feill	Viando
Praase	Terpomo
Ard-whaiyl y Reeriaght Unnaneyssit as Nerin Hwoaie	Parlamento de la Unuiĝinta Reĝlando
Çhaghnoaylleeaght	Teknologio
Jeshaght	Maŝino
Jeshaghteyrys	Inĝenierarto
Çhaghteraght	Komunikado
Çhellvane	Telefono
Cultoor	Kulturo
Çhengaghyn yn Unnaneys Oarpagh	Lingvoj de la Eŭropa Unio
Co-vunstoo	Kemia kombinaĵo
Lheeys	Medicino
Sarajevo	Sarajevo
Quaiyl slattyssagh	Leĝdona povo
Windows Vista	Vindozo Vista
Fidel Castro	Fidel Castro
Ronney:Yn Vrasseel	Kategorio:Brazilo
Ronney:Yn Romaan	Kategorio:Rumanio
Bunstoo	Kemia elemento
Co-vreneen	Molekulo
Bieauaghey	Akcelo
Bree	Energio
Forse	Forto
Gamman	Ludo
Ym-hayrn	Gravito
Glout	Maso
Fillym	Filmo
Gas	Gaso
Ushlagh	Likvo
Stooaltane	Solido
Eirinys	Agrikulturo
Cadee	Kotono
Eaddeeyn	Vesto
Bieauid	Vektora rapido
Eaghtyr	Areo
Oarn	Ordinara hordeo
Harry S. Truman	Harry S. Truman
Peintal	Pentrado
Jallooderys	Skulptarto
Daunse	Danco
Pasheydys	Ceramiko
Çhaghnoaylleeaght-fysseree	Informa teknologio
Maria Sharapova	Marija Ŝarapova
Chongqing	Ĉongĉingo
Tianjin	Tjanĝino
Wuhan	Vuhano
Rolley çheeraghyn y theihill	Listo de sendependaj ŝtatoj
Yn Eash Chloaie	Ŝtonepoko
Yn Çhenn Egypt	Antikva Egiptio
John Adams	John Adams
Thomas Jefferson	Thomas Jefferson
James Madison	James Madison
James Monroe	James Monroe
John Quincy Adams	John Quincy Adams
Andrew Jackson	Andrew Jackson
Martin Van Buren	Martin Van Buren
William Henry Harrison	William H. Harrison
John Tyler	John Tyler
James K. Polk	James K. Polk
Zachary Taylor	Zachary Taylor
Kevin Costner	Kevin Costner
Co-haaghey sollysh	Fotosintezo
Darragh (billey)	Kverko
Juys (Pinus)	Pino
1101	1101
Kerrin Tahrir	Tahrir
Kahngyr	Kancero
Britaanish	Bretona lingvo
Yn Vritaan (ard)	Bretonio (franca regiono)
Cryss hraa	Horzono
Nicoteen	Nikotino
Gaelg	Manksa lingvo
Bro-Leon	Lando de Léon
Brattagh ny Britaan	Flago de Bretonio
Naoned	Nanto (Francio)
Brest, y Vritaan	Brest (Francio)
Diwan (scoill)	Diwan
Gorley shymlee	Tuberkulozo
Clowan:Caslys-çheerey soiaghey ny Germaan	Ŝablono:Situo sur mapo Germanio
Clowan:Caslys-çheerey soiaghey ny h-Eeslynn	Ŝablono:Situo sur mapo Islando
Clowan:Caslys-çheerey soiaghey Norlynn	Ŝablono:Situo sur mapo Norvegio
Clowan:Caslys-çheerey soiaghey ny Danvarg	Ŝablono:Situo sur mapo Danio
Clowan:Caslys-çheerey soiaghey ny Soolynn	Ŝablono:Situo sur mapo Svedio
Clowan:Caslys-çheerey soiaghey Finnlynn	Ŝablono:Situo sur mapo Finnlando
Clowan:Caslys-çheerey soiaghey ny h-Estaan	Ŝablono:Situo sur mapo Estonio
Clowan:Caslys-çheerey soiaghey ny Latvey	Ŝablono:Situo sur mapo Latvio
Clowan:Caslys-çheerey soiaghey ny Litaan	Ŝablono:Situo sur mapo Litovio
Stanley, ny Malveenaghyn	Stanlejo
Clowan:Caslys-çheerey soiaghey ny h-Erin	Ŝablono:Situo sur mapo Irlando
Clowan:Caslys-çheerey soiaghey ny Çheerey Injil	Ŝablono:Situo sur mapo Nederlando
Clowan:Caslys-çheerey soiaghey ny Frank	Ŝablono:Situo sur mapo Francio
Clowan:Caslys-çheerey soiaghey Andorra	Ŝablono:Situo sur mapo Andoro
Clowan:Caslys-çheerey soiaghey ny Spaainey	Ŝablono:Situo sur mapo Hispanio
Clowan:Caslys-çheerey soiaghey ny Portiugal	Ŝablono:Situo sur mapo Portugalio
Clowan:Caslys-çheerey soiaghey ny h-Iddaal	Ŝablono:Situo sur mapo Italio
Clowan:Caslys-çheerey soiaghey ny h-Elveeish	Ŝablono:Situo sur mapo Svislando
Ard-obbrinys	Arkitekturo
Clowan:Caslys-çheerey soiaghey ny h-Austeyr	Ŝablono:Situo sur mapo Aŭstrio
Clowan:Caslys-çheerey soiaghey ny Pobblaght Çheck	Ŝablono:Situo sur mapo Ĉeĥio
Clowan:Caslys-çheerey soiaghey ny Slovack	Ŝablono:Situo sur mapo Slovakio
Droghad	Ponto
Clowan:Caslys-çheerey soiaghey ny h-Ungaar	Ŝablono:Situo sur mapo Hungario
Clowan:Caslys-çheerey soiaghey ny Slovean	Ŝablono:Situo sur mapo Slovenio
Clowan:Caslys-çheerey soiaghey ny Serb	Ŝablono:Situo sur mapo Serbio
Clowan:Caslys-çheerey soiaghey Chosovo	Ŝablono:Situo sur mapo Kosovo
Clowan:Caslys-çheerey soiaghey Vontenegro	Ŝablono:Situo sur mapo Montenegro
Clowan:Caslys-çheerey soiaghey Phobblaght ny Massadoan	Ŝablono:Situo sur mapo Makedonio
Clowan:Caslys-çheerey soiaghey ny h-Albaan	Ŝablono:Situo sur mapo Albanio
Clowan:Caslys-çheerey soiaghey ny Greag	Ŝablono:Situo sur mapo Grekio
Clowan:Caslys-çheerey soiaghey ny Bulgeyr	Ŝablono:Situo sur mapo Bulgario
Clowan:Caslys-çheerey soiaghey ny Romaan	Ŝablono:Situo sur mapo Rumanio
Clowan:Caslys-çheerey soiaghey Voldova	Ŝablono:Situo sur mapo Moldavio
Millard Fillmore	Millard Fillmore
Clowan:Caslys-çheerey soiaghey ny h-Ookraan	Ŝablono:Situo sur mapo Ukrainio
Franklin Pierce	Franklin Pierce
Clowan:Caslys-çheerey soiaghey ny Shorshey	Ŝablono:Situo sur mapo Kartvelio
Clowan:Caslys-çheerey soiaghey ny h-Armeain	Ŝablono:Situo sur mapo Armenio
Clowan:Caslys-çheerey soiaghey ny h-Asserbajaan	Ŝablono:Situo sur mapo Azerbajĝano
Clowan:Caslys-çheerey soiaghey ny Kassaghstaan	Ŝablono:Situo sur mapo Kazaĥio
Clowan:Caslys-çheerey soiaghey ny Turkmenistaan	Ŝablono:Situo sur mapo Turkmenio
James Buchanan	James Buchanan
Clowan:Caslys-çheerey soiaghey ny Ceeprey	Ŝablono:Situo sur mapo Kipro
Clowan:Caslys-çheerey soiaghey ny Livaan	Ŝablono:Situo sur mapo Libano
Clowan:Caslys-çheerey soiaghey Israel	Ŝablono:Situo sur mapo Israelo
