Afrik	Afriko
965 (almanak jilyen)	965
755 (almanak jilyen)	755
924 (almanak jilyen)	924
951 (almanak jilyen)	951
932 (almanak jilyen)	932
Welintòn	Velingtono
23 (almanak jilyen)	23
800 (almanak jilyen)	800
120 (almanak jilyen)	120
42 (almanak jilyen)	42
967 (almanak jilyen)	967
989 (almanak jilyen)	989
960 (almanak jilyen)	960
969 (almanak jilyen)	969
957 (almanak jilyen)	957
1124 (almanak jilyen)	1124
971 (almanak jilyen)	971
Nò (rejyon syèl)	Kompasdirektoj
937 (almanak jilyen)	937
992 (almanak jilyen)	992
990 (almanak jilyen)	990
899 (almanak jilyen)	899
975 (almanak jilyen)	975
942 (almanak jilyen)	942
966 (almanak jilyen)	966
1128 (almanak jilyen)	1128
959 (almanak jilyen)	959
973 (almanak jilyen)	973
18 (almanak jilyen)	18
19 (almanak jilyen)	19
16 (almanak jilyen)	16
Las Vegas, Nevada	Lasvegaso
21 (almanak jilyen)	21
26 (almanak jilyen)	26
41 (almanak jilyen)	41
32 (almanak jilyen)	32
33 (almanak jilyen)	33
982 (almanak jilyen)	982
974 (almanak jilyen)	974
976 (almanak jilyen)	976
979 (almanak jilyen)	979
986 (almanak jilyen)	986
919 (almanak jilyen)	919
998 (almanak jilyen)	998
995 (almanak jilyen)	995
977 (almanak jilyen)	977
1125 (almanak jilyen)	1125
La Valèt	La-Valeto
934 (almanak jilyen)	934
10 (nonm)	10 (nombro)
Nonm atomik	Atomnumero
200 (almanak jilyen)	200
876 (almanak jilyen)	876
875 (almanak jilyen)	875
810 (almanak jilyen)	810
929 (almanak jilyen)	929
882 (almanak jilyen)	882
1127 (almanak jilyen)	1127
940 (almanak jilyen)	940
889 (almanak jilyen)	889
Peny	Kombilo
844 (almanak jilyen)	844
912 (almanak jilyen)	912
838 (almanak jilyen)	838
984 (almanak jilyen)	984
874 (almanak jilyen)	874
38 (almanak jilyen)	38
43 (almanak jilyen)	43
127 (almanak jilyen)	127
954 (almanak jilyen)	954
39 (almanak jilyen)	39
24 (almanak jilyen)	24
79 (almanak jilyen)	79
61 (almanak jilyen)	61
104 (almanak jilyen)	104
29 (almanak jilyen)	29
102 (almanak jilyen)	102
866 (almanak jilyen)	866
839 (almanak jilyen)	839
622 (almanak jilyen)	622
918 (almanak jilyen)	918
100 (almanak jilyen)	100
Lila Downs	Lila Downs
961 (almanak jilyen)	961
570 (almanak jilyen)	570
632 (almanak jilyen)	632
946 (almanak jilyen)	946
835 (almanak jilyen)	835
884 (almanak jilyen)	884
859 (almanak jilyen)	859
832 (almanak jilyen)	832
849 (almanak jilyen)	849
877 (almanak jilyen)	877
878 (almanak jilyen)	878
861 (almanak jilyen)	861
869 (almanak jilyen)	869
968 (almanak jilyen)	968
983 (almanak jilyen)	983
964 (almanak jilyen)	964
1121 (almanak jilyen)	1121
1123 (almanak jilyen)	1123
933 (almanak jilyen)	933
915 (almanak jilyen)	915
970 (almanak jilyen)	970
911 (almanak jilyen)	911
993 (almanak jilyen)	993
991 (almanak jilyen)	991
994 (almanak jilyen)	994
898 (almanak jilyen)	898
944 (almanak jilyen)	944
907 (almanak jilyen)	907
943 (almanak jilyen)	943
945 (almanak jilyen)	945
922 (almanak jilyen)	922
905 (almanak jilyen)	905
941 (almanak jilyen)	941
925 (almanak jilyen)	925
928 (almanak jilyen)	928
948 (almanak jilyen)	948
947 (almanak jilyen)	947
949 (almanak jilyen)	949
926 (almanak jilyen)	926
Sezon	Sezono
126 (almanak jilyen)	126
101 (almanak jilyen)	101
105 (almanak jilyen)	105
108 (almanak jilyen)	108
117 (almanak jilyen)	117
115 (almanak jilyen)	115
Chabon	Terkarbo
22 (almanak jilyen)	22
46 (almanak jilyen)	46
25 (almanak jilyen)	25
153 (almanak jilyen)	153
156 (almanak jilyen)	156
Independence, Missouri	Independence (Misurio)
31 (almanak jilyen)	31
825 (almanak jilyen)	825
301 (almanak jilyen)	301
116 (almanak jilyen)	116
886 (almanak jilyen)	886
330 (almanak jilyen)	330
860 (almanak jilyen)	860
842 (almanak jilyen)	842
165 (almanak jilyen)	165
871 (almanak jilyen)	871
893 (almanak jilyen)	893
203 (almanak jilyen)	203
909 (almanak jilyen)	909
222 (almanak jilyen)	222
931 (almanak jilyen)	931
938 (almanak jilyen)	938
917 (almanak jilyen)	917
160 (almanak jilyen)	160
28 (almanak jilyen)	28
85 (almanak jilyen)	85
88 (almanak jilyen)	88
76 (almanak jilyen)	76
54 (almanak jilyen)	54
477 (almanak jilyen)	477
914 (almanak jilyen)	914
920 (almanak jilyen)	920
913 (almanak jilyen)	913
Albany, New York	Albany (Nov-Jorkio)
935 (almanak jilyen)	935
841 (almanak jilyen)	841
820 (almanak jilyen)	820
906 (almanak jilyen)	906
916 (almanak jilyen)	916
885 (almanak jilyen)	885
168 (almanak jilyen)	168
60 (almanak jilyen)	60
47 (almanak jilyen)	47
836 (almanak jilyen)	836
112 (almanak jilyen)	112
854 (almanak jilyen)	854
862 (almanak jilyen)	862
879 (almanak jilyen)	879
887 (almanak jilyen)	887
770 (almanak jilyen)	770
817 (almanak jilyen)	817
864 (almanak jilyen)	864
863 (almanak jilyen)	863
868 (almanak jilyen)	868
855 (almanak jilyen)	855
818 (almanak jilyen)	818
837 (almanak jilyen)	837
845 (almanak jilyen)	845
166 (almanak jilyen)	166
Koukou	Strigoformaj birdoj
Aewopò Cam Ranh	Flughaveno Cam Ranh
Lè (tan)	Horo
Wat	Vato (mezurunuo)
Pwa (legim)	Ĝardena pizo
Vòlt	Volto
Meteyoloji	Meteologio
552 (almanak jilyen)	552
Joul	Ĵulo
Izotòp	Izotopo
Ispayola	Hispaniolo
Harrisburg, Pennsilvani	Harrisburg (Pensilvanio)
Da Lat	Da Lat
Da Nang	Da Nang
Pèsi	Petroselo
Pwa (mezi)	Pezo
Mato	Martelo
Pychillimu	Piĉilemo
Òkide	Orkidacoj
Mouch	Dipteroj
Anjyospèm	Angiospermoj
Phan Thiet	Phan Thiết
Paul Langevin	Paul Langevin
Trenton, New Jersey	Trenton
Masipyal	Marsupiulo
Etwaldemè	Marstelo
Sapen	Abio
Rezistans (kouran)	Elektra rezistanco
Plankton	Planktono
Din	Duno
Rosinyòl	Najtingalo (birdo)
Newark, New Jersey	Newark (Nov-Ĵerzejo)
Koulon	Kulombo (mezurunuo)
Escherichia coli	Escherichia coli
600 (almanak jilyen)	600
400 (almanak jilyen)	400
300 (almanak jilyen)	300
Thomas Young	Thomas Young
Mamifè plasentè	Placentuloj
Vwal	Velo
Sispansyon	Suspensio
Università Niccolò Cusano	Università degli Studi Niccolò Cusano
Jersey City, New Jersey	Jersey City
Bò	Latero
Fetis	Feto
Charles Marie de La Condamine	Charles Marie de La Condamine
Lanni	Aneto
Jiwòf	Kariofilo
Davenport, Iowa	Davenport (Iovao)
Plant vaskilè	Vaskulaj plantoj
Dantis	Dentisto
Afrik disid (zòn)	Suda Afriko
Ewafrazi	Afrik-Eŭrazio
Lotèl	Hotelo
Frè ak sè nan Jezikri	Kristadelfianoj
Chantè	Kantado
Jefferson City, Missouri	Jeffersonurbo (Misurio)
Baton Rouge, Lwizyana	Baton Rouge (Luiziano)
Concord, New Hampshire	Concord (Nov-Hampŝiro)
Lincoln, Nebraska	Lincoln (Nebrasko)
Anapolis (Merilann)	Annapolis (Marilando)
Sèlri	Vera celerio
Chòvsourit	Kiropteroj
36 (almanak jilyen)	36
Cheve	Haro
Springfield, Ilinwa	Springfield (Ilinojo)
Tarnobrzeg	Tarnobrzeg
Frankfort, Kentucky	Frankfort (Kentukio)
Jestasyon	Gravedeco (animaloj)
Inivèsite Èlsinki	Universitato de Helsinko
Nikleyotid	Nukleotido
Twal	Tekstila
Saint Paul, Minnesota	Saint Paul (Minesoto)
Montgomery (Alabama)	Montgomery (Alabamo)
Juneau (Alaska)	Juneau
Chin	Ĉinio
Dansite	Denso
Manbràn selilè	Ĉelmembrano
815 (almanak jilyen)	815
816 (almanak jilyen)	816
822 (almanak jilyen)	822
840 (almanak jilyen)	840
823 (almanak jilyen)	823
811 (almanak jilyen)	811
771 (almanak jilyen)	771
888 (almanak jilyen)	888
768 (almanak jilyen)	768
851 (almanak jilyen)	851
205 (almanak jilyen)	205
159 (almanak jilyen)	159
107 (almanak jilyen)	107
162 (almanak jilyen)	162
103 (almanak jilyen)	103
802 (almanak jilyen)	802
804 (almanak jilyen)	804
119 (almanak jilyen)	119
118 (almanak jilyen)	118
801 (almanak jilyen)	801
807 (almanak jilyen)	807
806 (almanak jilyen)	806
152 (almanak jilyen)	152
240 (almanak jilyen)	240
218 (almanak jilyen)	218
655 (almanak jilyen)	655
496 (almanak jilyen)	496
238 (almanak jilyen)	238
Awondisman	Arondismento
197 (almanak jilyen)	197
451 (almanak jilyen)	451
775 (almanak jilyen)	775
489 (almanak jilyen)	489
784 (almanak jilyen)	784
661 (almanak jilyen)	661
625 (almanak jilyen)	625
653 (almanak jilyen)	653
904 (almanak jilyen)	904
921 (almanak jilyen)	921
923 (almanak jilyen)	923
1126 (almanak jilyen)	1126
668 (almanak jilyen)	668
636 (almanak jilyen)	636
408 (almanak jilyen)	408
464 (almanak jilyen)	464
Makro	Skombro
410 (almanak jilyen)	410
956 (almanak jilyen)	956
952 (almanak jilyen)	952
658 (almanak jilyen)	658
650 (almanak jilyen)	650
518 (almanak jilyen)	518
70 (almanak jilyen)	70
81 (almanak jilyen)	81
69 (almanak jilyen)	69
87 (almanak jilyen)	87
65 (almanak jilyen)	65
66 (almanak jilyen)	66
67 (almanak jilyen)	67
55 (almanak jilyen)	55
34 (almanak jilyen)	34
44 (almanak jilyen)	44
35 (almanak jilyen)	35
64 (almanak jilyen)	64
504 (almanak jilyen)	504
453 (almanak jilyen)	453
161 (almanak jilyen)	161
169 (almanak jilyen)	169
481 (almanak jilyen)	481
151 (almanak jilyen)	151
155 (almanak jilyen)	155
128 (almanak jilyen)	128
129 (almanak jilyen)	129
463 (almanak jilyen)	463
193 (almanak jilyen)	193
674 (almanak jilyen)	674
687 (almanak jilyen)	687
251 (almanak jilyen)	251
337 (almanak jilyen)	337
786 (almanak jilyen)	786
660 (almanak jilyen)	660
50 (almanak jilyen)	50
260 (almanak jilyen)	260
501 (almanak jilyen)	501
45 (almanak jilyen)	45
491 (almanak jilyen)	491
49 (almanak jilyen)	49
Ecser	Ecser
978 (almanak jilyen)	978
Lang silezyen	Silezia lingvo
221 (almanak jilyen)	221
543 (almanak jilyen)	543
536 (almanak jilyen)	536
230 (almanak jilyen)	230
762 (almanak jilyen)	762
610 (almanak jilyen)	610
787 (almanak jilyen)	787
480 (almanak jilyen)	480
209 (almanak jilyen)	209
202 (almanak jilyen)	202
192 (almanak jilyen)	192
681 (almanak jilyen)	681
819 (almanak jilyen)	819
173 (almanak jilyen)	173
867 (almanak jilyen)	867
865 (almanak jilyen)	865
827 (almanak jilyen)	827
824 (almanak jilyen)	824
847 (almanak jilyen)	847
883 (almanak jilyen)	883
829 (almanak jilyen)	829
813 (almanak jilyen)	813
910 (almanak jilyen)	910
850 (almanak jilyen)	850
808 (almanak jilyen)	808
853 (almanak jilyen)	853
872 (almanak jilyen)	872
873 (almanak jilyen)	873
856 (almanak jilyen)	856
858 (almanak jilyen)	858
831 (almanak jilyen)	831
857 (almanak jilyen)	857
828 (almanak jilyen)	828
826 (almanak jilyen)	826
833 (almanak jilyen)	833
848 (almanak jilyen)	848
834 (almanak jilyen)	834
881 (almanak jilyen)	881
852 (almanak jilyen)	852
163 (almanak jilyen)	163
154 (almanak jilyen)	154
201 (almanak jilyen)	201
803 (almanak jilyen)	803
805 (almanak jilyen)	805
52 (almanak jilyen)	52
532 (almanak jilyen)	532
82 (almanak jilyen)	82
84 (almanak jilyen)	84
73 (almanak jilyen)	73
72 (almanak jilyen)	72
62 (almanak jilyen)	62
71 (almanak jilyen)	71
75 (almanak jilyen)	75
74 (almanak jilyen)	74
83 (almanak jilyen)	83
78 (almanak jilyen)	78
77 (almanak jilyen)	77
90 (almanak jilyen)	90
80 (almanak jilyen)	80
627 (almanak jilyen)	627
Е	Je (cirila alfabeto)
456 (almanak jilyen)	456
91 (almanak jilyen)	91
190 (almanak jilyen)	190
109 (almanak jilyen)	109
53 (almanak jilyen)	53
270 (almanak jilyen)	270
688 (almanak jilyen)	688
452 (almanak jilyen)	452
795 (almanak jilyen)	795
465 (almanak jilyen)	465
778 (almanak jilyen)	778
846 (almanak jilyen)	846
830 (almanak jilyen)	830
404 (almanak jilyen)	404
Prezidan	Prezidanto
908 (almanak jilyen)	908
896 (almanak jilyen)	896
897 (almanak jilyen)	897
927 (almanak jilyen)	927
63 (almanak jilyen)	63
555 (almanak jilyen)	555
571 (almanak jilyen)	571
86 (almanak jilyen)	86
401 (almanak jilyen)	401
890 (almanak jilyen)	890
533 (almanak jilyen)	533
264 (almanak jilyen)	264
99 (almanak jilyen)	99
415 (almanak jilyen)	415
483 (almanak jilyen)	483
469 (almanak jilyen)	469
462 (almanak jilyen)	462
459 (almanak jilyen)	459
466 (almanak jilyen)	466
402 (almanak jilyen)	402
761 (almanak jilyen)	761
780 (almanak jilyen)	780
675 (almanak jilyen)	675
689 (almanak jilyen)	689
774 (almanak jilyen)	774
759 (almanak jilyen)	759
758 (almanak jilyen)	758
350 (almanak jilyen)	350
782 (almanak jilyen)	782
760 (almanak jilyen)	760
785 (almanak jilyen)	785
783 (almanak jilyen)	783
767 (almanak jilyen)	767
766 (almanak jilyen)	766
211 (almanak jilyen)	211
232 (almanak jilyen)	232
204 (almanak jilyen)	204
188 (almanak jilyen)	188
98 (almanak jilyen)	98
894 (almanak jilyen)	894
891 (almanak jilyen)	891
602 (almanak jilyen)	602
628 (almanak jilyen)	628
892 (almanak jilyen)	892
601 (almanak jilyen)	601
672 (almanak jilyen)	672
682 (almanak jilyen)	682
821 (almanak jilyen)	821
648 (almanak jilyen)	648
686 (almanak jilyen)	686
664 (almanak jilyen)	664
677 (almanak jilyen)	677
640 (almanak jilyen)	640
110 (almanak jilyen)	110
111 (almanak jilyen)	111
137 (almanak jilyen)	137
138 (almanak jilyen)	138
122 (almanak jilyen)	122
140 (almanak jilyen)	140
809 (almanak jilyen)	809
167 (almanak jilyen)	167
665 (almanak jilyen)	665
776 (almanak jilyen)	776
763 (almanak jilyen)	763
Rudolf Clausius	Rudolf Clausius
769 (almanak jilyen)	769
667 (almanak jilyen)	667
529 (almanak jilyen)	529
777 (almanak jilyen)	777
788 (almanak jilyen)	788
671 (almanak jilyen)	671
772 (almanak jilyen)	772
432 (almanak jilyen)	432
231 (almanak jilyen)	231
237 (almanak jilyen)	237
239 (almanak jilyen)	239
130 (almanak jilyen)	130
226 (almanak jilyen)	226
207 (almanak jilyen)	207
475 (almanak jilyen)	475
454 (almanak jilyen)	454
495 (almanak jilyen)	495
468 (almanak jilyen)	468
461 (almanak jilyen)	461
460 (almanak jilyen)	460
194 (almanak jilyen)	194
210 (almanak jilyen)	210
225 (almanak jilyen)	225
311 (almanak jilyen)	311
220 (almanak jilyen)	220
541 (almanak jilyen)	541
642 (almanak jilyen)	642
313 (almanak jilyen)	313
180 (almanak jilyen)	180
794 (almanak jilyen)	794
587 (almanak jilyen)	587
530 (almanak jilyen)	530
609 (almanak jilyen)	609
497 (almanak jilyen)	497
540 (almanak jilyen)	540
428 (almanak jilyen)	428
548 (almanak jilyen)	548
422 (almanak jilyen)	422
549 (almanak jilyen)	549
457 (almanak jilyen)	457
478 (almanak jilyen)	478
253 (almanak jilyen)	253
467 (almanak jilyen)	467
458 (almanak jilyen)	458
158 (almanak jilyen)	158
157 (almanak jilyen)	157
164 (almanak jilyen)	164
124 (almanak jilyen)	124
113 (almanak jilyen)	113
121 (almanak jilyen)	121
106 (almanak jilyen)	106
551 (almanak jilyen)	551
494 (almanak jilyen)	494
320 (almanak jilyen)	320
242 (almanak jilyen)	242
Ё	Jo (cirila alfabeto)
291 (almanak jilyen)	291
48 (almanak jilyen)	48
97 (almanak jilyen)	97
56 (almanak jilyen)	56
93 (almanak jilyen)	93
57 (almanak jilyen)	57
503 (almanak jilyen)	503
510 (almanak jilyen)	510
509 (almanak jilyen)	509
474 (almanak jilyen)	474
484 (almanak jilyen)	484
576 (almanak jilyen)	576
493 (almanak jilyen)	493
479 (almanak jilyen)	479
287 (almanak jilyen)	287
407 (almanak jilyen)	407
485 (almanak jilyen)	485
547 (almanak jilyen)	547
546 (almanak jilyen)	546
544 (almanak jilyen)	544
537 (almanak jilyen)	537
535 (almanak jilyen)	535
502 (almanak jilyen)	502
527 (almanak jilyen)	527
Yarèn	Jareno
508 (almanak jilyen)	508
525 (almanak jilyen)	525
613 (almanak jilyen)	613
618 (almanak jilyen)	618
617 (almanak jilyen)	617
608 (almanak jilyen)	608
645 (almanak jilyen)	645
621 (almanak jilyen)	621
606 (almanak jilyen)	606
623 (almanak jilyen)	623
604 (almanak jilyen)	604
603 (almanak jilyen)	603
626 (almanak jilyen)	626
619 (almanak jilyen)	619
634 (almanak jilyen)	634
630 (almanak jilyen)	630
614 (almanak jilyen)	614
505 (almanak jilyen)	505
446 (almanak jilyen)	446
791 (almanak jilyen)	791
557 (almanak jilyen)	557
656 (almanak jilyen)	656
657 (almanak jilyen)	657
659 (almanak jilyen)	659
651 (almanak jilyen)	651
676 (almanak jilyen)	676
670 (almanak jilyen)	670
652 (almanak jilyen)	652
673 (almanak jilyen)	673
654 (almanak jilyen)	654
647 (almanak jilyen)	647
812 (almanak jilyen)	812
669 (almanak jilyen)	669
792 (almanak jilyen)	792
649 (almanak jilyen)	649
93 (nonm)	93 (nombro)
895 (almanak jilyen)	895
756 (almanak jilyen)	756
663 (almanak jilyen)	663
779 (almanak jilyen)	779
662 (almanak jilyen)	662
684 (almanak jilyen)	684
773 (almanak jilyen)	773
757 (almanak jilyen)	757
435 (almanak jilyen)	435
790 (almanak jilyen)	790
437 (almanak jilyen)	437
433 (almanak jilyen)	433
764 (almanak jilyen)	764
426 (almanak jilyen)	426
781 (almanak jilyen)	781
425 (almanak jilyen)	425
429 (almanak jilyen)	429
423 (almanak jilyen)	423
765 (almanak jilyen)	765
235 (almanak jilyen)	235
233 (almanak jilyen)	233
223 (almanak jilyen)	223
224 (almanak jilyen)	224
216 (almanak jilyen)	216
219 (almanak jilyen)	219
254 (almanak jilyen)	254
272 (almanak jilyen)	272
208 (almanak jilyen)	208
175 (almanak jilyen)	175
170 (almanak jilyen)	170
171 (almanak jilyen)	171
172 (almanak jilyen)	172
58 (almanak jilyen)	58
59 (almanak jilyen)	59
139 (almanak jilyen)	139
114 (almanak jilyen)	114
134 (almanak jilyen)	134
135 (almanak jilyen)	135
179 (almanak jilyen)	179
142 (almanak jilyen)	142
96 (almanak jilyen)	96
181 (almanak jilyen)	181
146 (almanak jilyen)	146
145 (almanak jilyen)	145
183 (almanak jilyen)	183
182 (almanak jilyen)	182
184 (almanak jilyen)	184
324 (almanak jilyen)	324
589 (almanak jilyen)	589
Jako	Papagoformaj
521 (almanak jilyen)	521
92 (almanak jilyen)	92
597 (almanak jilyen)	597
329 (almanak jilyen)	329
133 (almanak jilyen)	133
413 (almanak jilyen)	413
258 (almanak jilyen)	258
259 (almanak jilyen)	259
196 (almanak jilyen)	196
236 (almanak jilyen)	236
789 (almanak jilyen)	789
332 (almanak jilyen)	332
631 (almanak jilyen)	631
487 (almanak jilyen)	487
638 (almanak jilyen)	638
473 (almanak jilyen)	473
176 (almanak jilyen)	176
143 (almanak jilyen)	143
643 (almanak jilyen)	643
523 (almanak jilyen)	523
215 (almanak jilyen)	215
148 (almanak jilyen)	148
247 (almanak jilyen)	247
424 (almanak jilyen)	424
641 (almanak jilyen)	641
492 (almanak jilyen)	492
639 (almanak jilyen)	639
256 (almanak jilyen)	256
441 (almanak jilyen)	441
131 (almanak jilyen)	131
191 (almanak jilyen)	191
450 (almanak jilyen)	450
612 (almanak jilyen)	612
635 (almanak jilyen)	635
611 (almanak jilyen)	611
534 (almanak jilyen)	534
488 (almanak jilyen)	488
607 (almanak jilyen)	607
524 (almanak jilyen)	524
282 (almanak jilyen)	282
472 (almanak jilyen)	472
471 (almanak jilyen)	471
490 (almanak jilyen)	490
316 (almanak jilyen)	316
Anachi	Anarkio
797 (almanak jilyen)	797
511 (almanak jilyen)	511
295 (almanak jilyen)	295
598 (almanak jilyen)	598
303 (almanak jilyen)	303
250 (almanak jilyen)	250
515 (almanak jilyen)	515
512 (almanak jilyen)	512
418 (almanak jilyen)	418
333 (almanak jilyen)	333
294 (almanak jilyen)	294
217 (almanak jilyen)	217
277 (almanak jilyen)	277
578 (almanak jilyen)	578
312 (almanak jilyen)	312
284 (almanak jilyen)	284
283 (almanak jilyen)	283
241 (almanak jilyen)	241
243 (almanak jilyen)	243
262 (almanak jilyen)	262
498 (almanak jilyen)	498
336 (almanak jilyen)	336
334 (almanak jilyen)	334
266 (almanak jilyen)	266
Bòks	Boksado
261 (almanak jilyen)	261
470 (almanak jilyen)	470
349 (almanak jilyen)	349
271 (almanak jilyen)	271
275 (almanak jilyen)	275
292 (almanak jilyen)	292
296 (almanak jilyen)	296
345 (almanak jilyen)	345
431 (almanak jilyen)	431
304 (almanak jilyen)	304
550 (almanak jilyen)	550
586 (almanak jilyen)	586
588 (almanak jilyen)	588
554 (almanak jilyen)	554
229 (almanak jilyen)	229
583 (almanak jilyen)	583
265 (almanak jilyen)	265
263 (almanak jilyen)	263
585 (almanak jilyen)	585
582 (almanak jilyen)	582
556 (almanak jilyen)	556
420 (almanak jilyen)	420
280 (almanak jilyen)	280
581 (almanak jilyen)	581
558 (almanak jilyen)	558
302 (almanak jilyen)	302
309 (almanak jilyen)	309
353 (almanak jilyen)	353
335 (almanak jilyen)	335
367 (almanak jilyen)	367
344 (almanak jilyen)	344
245 (almanak jilyen)	245
290 (almanak jilyen)	290
449 (almanak jilyen)	449
308 (almanak jilyen)	308
255 (almanak jilyen)	255
439 (almanak jilyen)	439
319 (almanak jilyen)	319
318 (almanak jilyen)	318
299 (almanak jilyen)	299
419 (almanak jilyen)	419
416 (almanak jilyen)	416
338 (almanak jilyen)	338
310 (almanak jilyen)	310
315 (almanak jilyen)	315
359 (almanak jilyen)	359
360 (almanak jilyen)	360
273 (almanak jilyen)	273
286 (almanak jilyen)	286
Kouto	Tranĉilo
288 (almanak jilyen)	288
278 (almanak jilyen)	278
455 (almanak jilyen)	455
577 (almanak jilyen)	577
575 (almanak jilyen)	575
482 (almanak jilyen)	482
486 (almanak jilyen)	486
580 (almanak jilyen)	580
567 (almanak jilyen)	567
564 (almanak jilyen)	564
561 (almanak jilyen)	561
328 (almanak jilyen)	328
325 (almanak jilyen)	325
317 (almanak jilyen)	317
574 (almanak jilyen)	574
566 (almanak jilyen)	566
249 (almanak jilyen)	249
348 (almanak jilyen)	348
442 (almanak jilyen)	442
443 (almanak jilyen)	443
267 (almanak jilyen)	267
244 (almanak jilyen)	244
248 (almanak jilyen)	248
343 (almanak jilyen)	343
562 (almanak jilyen)	562
417 (almanak jilyen)	417
268 (almanak jilyen)	268
590 (almanak jilyen)	590
269 (almanak jilyen)	269
499 (almanak jilyen)	499
409 (almanak jilyen)	409
405 (almanak jilyen)	405
406 (almanak jilyen)	406
403 (almanak jilyen)	403
414 (almanak jilyen)	414
411 (almanak jilyen)	411
412 (almanak jilyen)	412
560 (almanak jilyen)	560
592 (almanak jilyen)	592
Zèb (bèt)	Zebro
276 (almanak jilyen)	276
314 (almanak jilyen)	314
323 (almanak jilyen)	323
366 (almanak jilyen)	366
362 (almanak jilyen)	362
545 (almanak jilyen)	545
531 (almanak jilyen)	531
514 (almanak jilyen)	514
513 (almanak jilyen)	513
539 (almanak jilyen)	539
538 (almanak jilyen)	538
519 (almanak jilyen)	519
516 (almanak jilyen)	516
520 (almanak jilyen)	520
522 (almanak jilyen)	522
528 (almanak jilyen)	528
506 (almanak jilyen)	506
526 (almanak jilyen)	526
507 (almanak jilyen)	507
214 (almanak jilyen)	214
213 (almanak jilyen)	213
212 (almanak jilyen)	212
228 (almanak jilyen)	228
227 (almanak jilyen)	227
149 (almanak jilyen)	149
174 (almanak jilyen)	174
189 (almanak jilyen)	189
199 (almanak jilyen)	199
141 (almanak jilyen)	141
132 (almanak jilyen)	132
125 (almanak jilyen)	125
123 (almanak jilyen)	123
147 (almanak jilyen)	147
144 (almanak jilyen)	144
198 (almanak jilyen)	198
178 (almanak jilyen)	178
177 (almanak jilyen)	177
Abriyon	Embrio
187 (almanak jilyen)	187
195 (almanak jilyen)	195
186 (almanak jilyen)	186
347 (almanak jilyen)	347
620 (almanak jilyen)	620
624 (almanak jilyen)	624
605 (almanak jilyen)	605
629 (almanak jilyen)	629
616 (almanak jilyen)	616
615 (almanak jilyen)	615
644 (almanak jilyen)	644
646 (almanak jilyen)	646
633 (almanak jilyen)	633
Lang kreyòl	Kreola lingvo
637 (almanak jilyen)	637
436 (almanak jilyen)	436
434 (almanak jilyen)	434
293 (almanak jilyen)	293
427 (almanak jilyen)	427
185 (almanak jilyen)	185
321 (almanak jilyen)	321
327 (almanak jilyen)	327
Aksan	Dialekto
430 (almanak jilyen)	430
447 (almanak jilyen)	447
Little Rock, Arkansas	Little Rock (Arkansaso)
569 (almanak jilyen)	569
568 (almanak jilyen)	568
444 (almanak jilyen)	444
796 (almanak jilyen)	796
798 (almanak jilyen)	798
793 (almanak jilyen)	793
685 (almanak jilyen)	685
Hartford, Connecticut	Hartford (Konektikuto)
799 (almanak jilyen)	799
Kreyòl ayisyen	Haitia kreola lingvo
683 (almanak jilyen)	683
274 (almanak jilyen)	274
Dover, Delaware	Dover (Delavaro)
Matematik aplike	Aplika matematiko
579 (almanak jilyen)	579
281 (almanak jilyen)	281
306 (almanak jilyen)	306
438 (almanak jilyen)	438
