An Afraic	Afriko
Cúige Mhurmansk	Murmanska provinco
Baile Átha Cliath	Dublino
Réicivíc	Rejkjaviko
Ella Fitzgerald	Ella Fitzgerald
Taillinn	Talino
Ríge	Rigo
Louis Armstrong	Louis Armstrong
An Bhratasláiv	Bratislavo
Búdaipeist	Budapeŝto
Gdańsk	Gdańsk
Frankfurt	Frankfurto ĉe Majno
Lantanam	Lantano
Próiméitiam	Prometio
Aonad réalteolaíoch	Astronomia unuo
Samairiam	Samario (kemio)
Gadailiniam	Gadolinio
Zinedine Zidane	Zinedine Zidane
Teirbiam	Terbio
Lucsamburg (cathair)	Luksemburgo
Diospróisiam	Disprozio
An Bíobla	Biblio
Hoilmiam	Holmio
Cathair San Mairíne, San Mairíne	San-Marino (urbo)
Eirbiam	Erbio
Phnom Penh	Pnom-Peno
Túiliam	Tulio
Cathair Ho Chi Minh	Ho-Ĉi-Min-urbo
Itéirbiam	Iterbio
Lúitéitiam	Lutecio
Ha Noi	Hanojo
Eaglais Fhíor Íosa	Vera Eklezio de Jesuo
An Béarla	Angla lingvo
Bancác	Bankoko
Andorra la Vella	Andoro Malnova
Taipei	Tajpeo
Aimeiriciam	Americio
Cúige Arkhangelsk	Arĥangelska provinco
Ciúiriam	Kuriumo
Dong Hoi	Dong Hoi
Concepción, an tSile	Koncepciono
Beircéiliam	Berkelio
Calafoirniam	Kaliforniumo
Bologna	Bolonjo
Éinstéiniam	Ejnŝtejnio
Feirmiam	Fermio
Cagliari	Kaljaro
Meindiléiviam	Mendelevio
Cív	Kievo
Nóbailiam	Nobelio
Ontario	Ontario
Láirinciam	Laŭrencio (elemento)
Florent Malouda	Florent Malouda
Poblacht na Cairéile	Karelio (respubliko)
Ottawa	Otavo
William Gallas	William Gallas
Gealacha Iúpatair	Naturaj satelitoj de Jupitero
Manitoba	Manitobo
Alberta	Alberto
Albain Nua	Nov-Skotio
Eireaván	Erevano
Końskowola	Końskowola
Dárasalám	Daresalamo
Cartúm	Ĥartumo
New Brunswick	Nov-Brunsviko
Foirmle a hAon	Formulo 1
An Cholóim Bhriotanach	Brita Kolumbio
Oileán Phrionsa Éadbhard	Insulo de Princo Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskaĉevano
2012	2012
2011	2011
2010	2010
2009	2009
Dé-ocsaíd charbóin	Karbona dioksido
2013	2013
2014	2014
2015	2015
Talamh an Éisc agus Labradar	Novlando kaj Labradoro
2008	2008
Críocha an Iarthuaiscirt	Nordokcidentaj Teritorioj
Yukon	Jukonio
2004	2004
Cúige Vologda	Vologda provinco
2005	2005
2006	2006
Nunavut	Nunavuto
2007	2007
Aonocsaíd charbóin	Karbona monooksido
Linux mint	Linukso Mint
Iqaluit	Ikaluito
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Livias	Tito Livio
Charles de Gaulle	Charles de Gaulle
1902	1902
Flórans	Florenco
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Seneca	Seneko la pli juna
1908	1908
1909	1909
Whitehorse, Yukon	Whitehorse
1992	1992
Yellowknife	Yellowknife
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
Poblacht Choimí	Komiio
1910	1910
1911	1911
1912	1912
SVG	Streka Vari-skala Grafiko
Leipzig	Leipzig
1913	1913
Baile Sheáin	St. John's
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
Nürnberg	Nurenbergo
1999	1999
1917	1917
1918	1918
Bia	Manĝaĵo
Edmonton	Edmontono
Nathair	Serpento
Jacques Chirac	Jacques Chirac
Luas an tsolais	Lumrapido
XML	XML
Regina, Saskatchewan	Regina
Valéry Giscard d'Estaing	Valéry Giscard d’Estaing
Neoidríonó	Neŭtrino
Charlottetown	Ĉarlotaŭno
Victoria, an Cholóim Bhriotanach	Viktorio
Winnipeg	Vinipego
Fredericton	Frederiktono
Halifax, Albain Nua	Halifakso
Cathair Québec	Kebeko
1 Eanáir (Lá Caille)	1-a de januaro
2 Eanáir	2-a de januaro
1920	1920
3 Eanáir	3-a de januaro
1919	1919
Publius Cornelius Tacitus	Tacito (verkisto)
1921	1921
Ceantar Féinrialaitheach na Neinéitseach	Nenecio
1922	1922
4 Eanáir	4-a de januaro
1923	1923
Lance Armstrong	Lance Armstrong
1924	1924
Crios astaróideach	Asteroida zono
Georges Pompidou	Georges Pompidou
Cúige Leningrad	Leningrada provinco
Abhacphláinéad	Nanoplanedo
5 Eanáir	5-a de januaro
Malmö	Malmö
Cúige Pskov	Pskova provinco
6 Eanáir	6-a de januaro
Leictreon	Elektrono
7 Eanáir	7-a de januaro
8 Eanáir	8-a de januaro
9 Eanáir	9-a de januaro
Cúige Novgorod	Novgoroda provinco
10 Eanáir	10-a de januaro
Cúige Nizhny Novgorod	Niĵnij-Novgoroda provinco
11 Eanáir	11-a de januaro
12 Eanáir	12-a de januaro
Buzz Aldrin	Buzz Aldrin
13 Eanáir	13-a de januaro
Birmingham	Birmingham
14 Eanáir	14-a de januaro
15 Eanáir	15-a de januaro
16 Eanáir	16-a de januaro
Tom Hanks	Tom Hanks
17 Eanáir	17-a de januaro
18 Eanáir	18-a de januaro
19 Eanáir	19-a de januaro
20 Eanáir	20-a de januaro
Réabhlóid Thionsclaíoch	Industria revolucio
Beinséin	Benzeno
21 Eanáir	21-a de januaro
22 Eanáir	22-a de januaro
23 Eanáir	23-a de januaro
Impireacht na Róimhe	Romia Imperio
24 Eanáir	24-a de januaro
25 Eanáir	25-a de januaro
Minsc	Minsko
26 Eanáir	26-a de januaro
Microsoft	Microsoft
27 Eanáir	27-a de januaro
28 Eanáir	28-a de januaro
29 Eanáir	29-a de januaro
30 Eanáir	30-a de januaro
31 Eanáir	31-a de januaro
Cúige Tver	Tverja provinco
Prótón	Protono
2 Nollaig	2-a de decembro
1 Nollaig	1-a de decembro
3 Nollaig	3-a de decembro
7 Nollaig	7-a de decembro
5 Nollaig	5-a de decembro
8 Nollaig	8-a de decembro
10 Nollaig	10-a de decembro
6 Nollaig	6-a de decembro
9 Nollaig	9-a de decembro
Pink Floyd	Pink Floyd
4 Nollaig	4-a de decembro
1 Feabhra	1-a de februaro
2 Feabhra	2-a de februaro
3 Feabhra	3-a de februaro
Kurów	Kurów
4 Feabhra	4-a de februaro
5 Feabhra	5-a de februaro
6 Feabhra	6-a de februaro
7 Feabhra	7-a de februaro
8 Feabhra	8-a de februaro
9 Feabhra	9-a de februaro
10 Feabhra	10-a de februaro
Ceimic	Kemio
Led Zeppelin	Led Zeppelin
14 Feabhra	14-a de februaro
13 Feabhra	13-a de februaro
15 Feabhra	15-a de februaro
11 Feabhra	11-a de februaro
12 Feabhra	12-a de februaro
19 Feabhra	19-a de februaro
17 Feabhra	17-a de februaro
16 Feabhra	16-a de februaro
18 Feabhra	18-a de februaro
20 Feabhra	20-a de februaro
Anailís cheimiceach	Analiza kemio
Cúige Smolensk	Smolenska provinco
Neodrón	Neŭtrono
69 (suíomh gnéis)	Sesdeknaŭo (seksa pozicio)
21 Feabhra	21-a de februaro
22 Feabhra	22-a de februaro
23 Feabhra	23-a de februaro
24 Feabhra	24-a de februaro
25 Feabhra	25-a de februaro
26 Feabhra	26-a de februaro
27	27
27 Feabhra	27-a de februaro
28 Feabhra	28-a de februaro
11 Nollaig	11-a de decembro
29 Feabhra	29-a de februaro
12 Nollaig	12-a de decembro
Visual Basic	Visual Basic
13 Nollaig	13-a de decembro
14 Nollaig	14-a de decembro
15 Nollaig	15-a de decembro
2 Márta	2-a de marto
3 Márta	3-a de marto
5 Márta	5-a de marto
1 Márta	1-a de marto
7 Márta	7-a de marto
8 Márta	8-a de marto
4 Márta	4-a de marto
10 Márta	10-a de marto
11 Márta	11-a de marto
6 Márta	6-a de marto
13 Márta	13-a de marto
9 Márta	9-a de marto
12 Márta	12-a de marto
15 Márta	15-a de marto
14 Márta	14-a de marto
C++	C++
Aigéad hidreaclórach	Klorida acido
16 Nollaig	16-a de decembro
17 Nollaig	17-a de decembro
16 Márta	16-a de marto
17 Márta	17-a de marto
18 Márta	18-a de marto
Yaroslavl	Jaroslavl
19 Márta	19-a de marto
1989	1989
1988	1988
20 Márta	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
21 Márta	21-a de marto
1983	1983
22 Márta	22-a de marto
1982	1982
1981	1981
18 Nollaig	18-a de decembro
1980	1980
23 Márta	23-a de marto
Cúige Yaroslavl	Jaroslavla provinco
Mogaidisiú	Mogadiŝo
19 Nollaig	19-a de decembro
24 Márta	24-a de marto
25 Márta	25-a de marto
20 Nollaig	20-a de decembro
26 Márta	26-a de marto
27 Márta	27-a de marto
28 Márta	28-a de marto
29 Márta	29-a de marto
30 Márta	30-a de marto
31 Márta	31-a de marto
Réaltra Andraiméide	Andromeda galaksio
San’a	Sanao
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Cogadh Tríocha Bliain	Tridekjara milito
Réaltra bíseach	Spirala galaksio
Pápa Beinidict XVI	Benedikto la 16-a
15 Aibreán	15-a de aprilo
13 Aibreán	13-a de aprilo
12 Aibreán	12-a de aprilo
14 Aibreán	14-a de aprilo
11 Aibreán	11-a de aprilo
10 Aibreán	10-a de aprilo
8 Aibreán	8-a de aprilo
9 Aibreán	9-a de aprilo
7 Aibreán	7-a de aprilo
6 Aibreán	6-a de aprilo
5 Aibreán	5-a de aprilo
4 Aibreán	4-a de aprilo
3 Aibreán	3-a de aprilo
1 Aibreán	1-a de aprilo
2 Aibreán	2-a de aprilo
Spásteileascóp Hubble	Kosmoteleskopo Hubble
Helmut Kohl	Helmut Kohl
16 Aibreán	16-a de aprilo
17 Aibreán	17-a de aprilo
18 Aibreán	18-a de aprilo
Déocsaíní	Dioksino
19 Aibreán	19-a de aprilo
20 Aibreán	20-a de aprilo
21 Aibreán	21-a de aprilo
22 Aibreán	22-a de aprilo
23 Aibreán	23-a de aprilo
24 Aibreán	24-a de aprilo
Gerhard Schröder	Gerhard Schröder
25 Aibreán	25-a de aprilo
26 Aibreán	26-a de aprilo
27 Aibreán	27-a de aprilo
28 Aibreán	28-a de aprilo
29 Aibreán	29-a de aprilo
30 Aibreán	30-a de aprilo
Saitilít nádúrtha	Natura satelito
Joachim Gauck	Joachim Gauck
Horst Köhler	Horst Köhler
1 Bealtaine	1-a de majo
2 Bealtaine	2-a de majo
3 Bealtaine	3-a de majo
4 Bealtaine	4-a de majo
5 Bealtaine	5-a de majo
Johannes Rau	Johannes Rau
6 Bealtaine	6-a de majo
7 Bealtaine	7-a de majo
8 Bealtaine	8-a de majo
9 Bealtaine	9-a de majo
10 Bealtaine	10-a de majo
11 Bealtaine	11-a de majo
12 Bealtaine	12-a de majo
13 Bealtaine	13-a de majo
14 Bealtaine	14-a de majo
15 Bealtaine	15-a de majo
Roman Herzog	Roman Herzog
Tíotán (gealach)	Titano (luno)
16 Bealtaine	16-a de majo
17 Bealtaine	17-a de majo
18 Bealtaine	18-a de majo
19 Bealtaine	19-a de majo
20 Bealtaine	20-a de majo
21 Bealtaine	21-a de majo
22 Bealtaine	22-a de majo
23 Bealtaine	23-a de majo
24 Bealtaine	24-a de majo
25 Bealtaine	25-a de majo
26 Bealtaine	26-a de majo
27 Bealtaine	27-a de majo
28 Bealtaine	28-a de majo
29 Bealtaine	29-a de majo
30 Bealtaine	30-a de majo
31 Bealtaine	31-a de majo
Cúige Kostroma	Kostroma provinco
Watford	Watford
Paul McCartney	Paul McCartney
21 Nollaig	21-a de decembro
Pápa Pius XII	Pio la 12-a
Società Sportiva Lazio	Società Sportiva Lazio
14 Meitheamh	14-a de junio
15 Meitheamh	15-a de junio
13 Meitheamh	13-a de junio
10 Meitheamh	10-a de junio
7 Meitheamh	7-a de junio
11 Meitheamh	11-a de junio
9 Meitheamh	9-a de junio
12 Meitheamh	12-a de junio
6 Meitheamh	6-a de junio
8 Meitheamh	8-a de junio
5 Meitheamh	5-a de junio
3 Meitheamh	3-a de junio
2 Meitheamh	2-a de junio
1 Meitheamh	1-a de junio
4 Meitheamh	4-a de junio
Ringo Starr	Ringo Starr
Napoli	Napolo
22 Nollaig	22-a de decembro
Società Sportiva Calcio Napoli	SSC Napoli
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 Meitheamh	16-a de junio
Cúige Ivanovo	Ivanova provinco
John Franklin	John Franklin
Palermo	Palermo
30 Meitheamh	30-a de junio
29 Meitheamh	29-a de junio
28 Meitheamh	28-a de junio
26 Meitheamh	26-a de junio
25 Meitheamh	25-a de junio
22 Meitheamh	22-a de junio
27 Meitheamh	27-a de junio
24 Meitheamh	24-a de junio
20 Meitheamh	20-a de junio
23 Meitheamh	23-a de junio
19 Meitheamh	19-a de junio
18 Meitheamh	18-a de junio
21 Meitheamh	21-a de junio
17 Meitheamh	17-a de junio
23 Nollaig	23-a de decembro
Uilliam II na Gearmáine	Vilhelmo la 2-a (Germana Regno)
Bruce Willis	Bruce Willis
Arnold Schwarzenegger	Arnold Schwarzenegger
15 Iúil	15-a de julio
13 Iúil	13-a de julio
12 Iúil	12-a de julio
10 Iúil	10-a de julio
9 Iúil	9-a de julio
14 Iúil	14-a de julio
8 Iúil	8-a de julio
Parma Football Club	Parma FC
7 Iúil	7-a de julio
6 Iúil	6-a de julio
5 Iúil	5-a de julio
2 Iúil	2-a de julio
4 Iúil	4-a de julio
3 Iúil	3-a de julio
1 Iúil	1-a de julio
11 Iúil	11-a de julio
Cúige Vladimir	Vladimira provinco
24 Nollaig	24-a de decembro
Bremerhaven	Bremerhaven
31 Iúil	31-a de julio
30 Iúil	30-a de julio
29 Iúil	29-a de julio
28 Iúil	28-a de julio
27 Iúil	27-a de julio
25 Iúil	25-a de julio
24 Iúil	24-a de julio
23 Iúil	23-a de julio
26 Iúil	26-a de julio
22 Iúil	22-a de julio
19 Iúil	19-a de julio
21 Iúil	21-a de julio
20 Iúil	20-a de julio
17 Iúil	17-a de julio
18 Iúil	18-a de julio
16 Iúil	16-a de julio
Sacar	Futbalo
Associazione Sportiva Roma	AS Roma
25 Nollaig	25-a de decembro
Ryazan	Rjazan
Cúige Ryazan	Rjazanja provinco
1963	1963
Lech Kaczyński	Lech Kaczyński
26 Nollaig	26-a de decembro
Uileloscadh	Holokaŭsto
1962	1962
IPhone	IPhone
Torino Football Club	Torino FC
14 Lúnasa	14-a de aŭgusto
15 Lúnasa	15-a de aŭgusto
13 Lúnasa	13-a de aŭgusto
12 Lúnasa	12-a de aŭgusto
11 Lúnasa	11-a de aŭgusto
10 Lúnasa	10-a de aŭgusto
8 Lúnasa	8-a de aŭgusto
7 Lúnasa	7-a de aŭgusto
9 Lúnasa	9-a de aŭgusto
5 Lúnasa	5-a de aŭgusto
4 Lúnasa	4-a de aŭgusto
2 Lúnasa	2-a de aŭgusto
3 Lúnasa	3-a de aŭgusto
6 Lúnasa	6-a de aŭgusto
1 Lúnasa	1-a de aŭgusto
Udine	Udine
Geronimo	Geronimo
Cúige Thula	Tula provinco
Chemnitz	Chemnitz
IPad	IPad
Udinese	Udinese Calcio
27 Nollaig	27-a de decembro
Maidrid	Madrido
Elton John	Elton John
Cúige Bryansk	Brjanska provinco
Fomhuireán	Submarŝipo
16 Lúnasa	16-a de aŭgusto
Coca-Cola	Koka-kolao
Halle (Saale)	Halle (Saale)
29 Lúnasa	29-a de aŭgusto
28 Lúnasa	28-a de aŭgusto
30 Lúnasa	30-a de aŭgusto
25 Lúnasa	25-a de aŭgusto
26 Lúnasa	26-a de aŭgusto
23 Lúnasa	23-a de aŭgusto
27 Lúnasa	27-a de aŭgusto
21 Lúnasa	21-a de aŭgusto
20 Lúnasa	20-a de aŭgusto
24 Lúnasa	24-a de aŭgusto
18 Lúnasa	18-a de aŭgusto
17 Lúnasa	17-a de aŭgusto
22 Lúnasa	22-a de aŭgusto
19 Lúnasa	19-a de aŭgusto
31 Lúnasa	31-a de aŭgusto
Michael Jackson	Michael Jackson
28 Nollaig	28-a de decembro
Afáise	Afazio
Fliú	Gripo
Bogotá	Bogoto
Cúige Kaluga	Kaluga provinco
Lübeck	Lubeko
Brasília	Braziljo
Marachuan	Mariĥuano
15 Meán Fómhair	15-a de septembro
14 Meán Fómhair	14-a de septembro
13 Meán Fómhair	13-a de septembro
12 Meán Fómhair	12-a de septembro
8 Meán Fómhair	8-a de septembro
11 Meán Fómhair	11-a de septembro
7 Meán Fómhair	7-a de septembro
10 Meán Fómhair	10-a de septembro
5 Meán Fómhair	5-a de septembro
4 Meán Fómhair	4-a de septembro
9 Meán Fómhair	9-a de septembro
2 Meán Fómhair	2-a de septembro
6 Meán Fómhair	6-a de septembro
1 Meán Fómhair	1-a de septembro
3 Meán Fómhair	3-a de septembro
29 Nollaig	29-a de decembro
Líoma	Limo
30 Meán Fómhair	30-a de septembro
29 Meán Fómhair	29-a de septembro
28 Meán Fómhair	28-a de septembro
27 Meán Fómhair	27-a de septembro
26 Meán Fómhair	26-a de septembro
25 Meán Fómhair	25-a de septembro
Santiago de Chile	Santiago de Ĉilio
23 Meán Fómhair	23-a de septembro
22 Meán Fómhair	22-a de septembro
24 Meán Fómhair	24-a de septembro
21 Meán Fómhair	21-a de septembro
20 Meán Fómhair	20-a de septembro
18 Meán Fómhair	18-a de septembro
17 Meán Fómhair	17-a de septembro
19 Meán Fómhair	19-a de septembro
16 Meán Fómhair	16-a de septembro
Quito	Kito
30 Nollaig	30-a de decembro
31 Nollaig	31-a de decembro
1 Deireadh Fómhair	1-a de oktobro
15 Deireadh Fómhair	15-a de oktobro
12 Deireadh Fómhair	12-a de oktobro
10 Deireadh Fómhair	10-a de oktobro
14 Deireadh Fómhair	14-a de oktobro
9 Deireadh Fómhair	9-a de oktobro
8 Deireadh Fómhair	8-a de oktobro
13 Deireadh Fómhair	13-a de oktobro
7 Deireadh Fómhair	7-a de oktobro
11 Deireadh Fómhair	11-a de oktobro
6 Deireadh Fómhair	6-a de oktobro
4 Deireadh Fómhair	4-a de oktobro
5 Deireadh Fómhair	5-a de oktobro
3 Deireadh Fómhair	3-a de oktobro
2 Deireadh Fómhair	2-a de oktobro
Asunción	Asunciono
Gabhar	Hejma kapro
Oldenburg	Oldenburgo
Séipéal Sistíneach	Siksta Kapelo
Pálás Versailles	Kastelo de Versailles
31 Deireadh Fómhair	31-a de oktobro
30 Deireadh Fómhair	30-a de oktobro
29 Deireadh Fómhair	29-a de oktobro
28 Deireadh Fómhair	28-a de oktobro
26 Deireadh Fómhair	26-a de oktobro
25 Deireadh Fómhair	25-a de oktobro
24 Deireadh Fómhair	24-a de oktobro
27 Deireadh Fómhair	27-a de oktobro
22 Deireadh Fómhair	22-a de oktobro
23 Deireadh Fómhair	23-a de oktobro
20 Deireadh Fómhair	20-a de oktobro
21 Deireadh Fómhair	21-a de oktobro
19 Deireadh Fómhair	19-a de oktobro
17 Deireadh Fómhair	17-a de oktobro
16 Deireadh Fómhair	16-a de oktobro
18 Deireadh Fómhair	18-a de oktobro
Darmstadt	Darmstadt
Regensburg	Regensburg
Ardeaglais Notre Dame	Dipatrino de Parizo
15 Samhain	15-a de novembro
14 Samhain	14-a de novembro
13 Samhain	13-a de novembro
12 Samhain	12-a de novembro
11 Samhain	11-a de novembro
10 Samhain	10-a de novembro
7 Samhain	7-a de novembro
8 Samhain	8-a de novembro
9 Samhain	9-a de novembro
6 Samhain	6-a de novembro
5 Samhain	5-a de novembro
4 Samhain	4-a de novembro
3 Samhain	3-a de novembro
2 Samhain	2-a de novembro
1 Samhain	1-a de novembro
Amy Johnson	Amy Johnson
Palas	2 Palaso
Iúnó	3 Junono
Buachaill	Knabo
Wolfsburg	Wolfsburg
30 Samhain	30-a de novembro
29 Samhain	29-a de novembro
28 Samhain	28-a de novembro
27 Samhain	27-a de novembro
26 Samhain	26-a de novembro
25 Samhain	25-a de novembro
23 Samhain	23-a de novembro
24 Samhain	24-a de novembro
21 Samhain	21-a de novembro
20 Samhain	20-a de novembro
22 Samhain	22-a de novembro
19 Samhain	19-a de novembro
18 Samhain	18-a de novembro
17 Samhain	17-a de novembro
16 Samhain	16-a de novembro
Veiste	4 Vesto
Cailín	Knabino
Belmopan	Belmopano
Séarlas Mór	Karolo la Granda
San José, Cósta Ríce	San-Joseo (Kostariko)
Punc-rac	Punko
Cóiméad Shoemaker-Levy 9	Kometo Shoemaker-Levy 9
Canberra	Kanbero
Io (gealach)	Ioo (luno)
Cúige Oryol	Orjola provinco
Sydney	Sidnejo
Glas	Verdo
Callisto (gealach)	Kalisto (luno)
Abhainn Hudson	Hudsono (rivero)
Melbourne	Melburno
Dearg	Ruĝa
Europa (gealach)	Eŭropo (luno)
Jena	Jena
Múón	Muono
Ganymede (gealach)	Ganimedo (luno)
Cúige Kursk	Kurska provinco
Perth	Perto
Tine	Fajro
Fótón	Fotono
Gealacha Galileo	Galilejaj satelitoj
An Astráil Thiar	Okcidenta Aŭstralio
New South Wales	Novsudkimrio
Posatrón	Pozitrono
Atmaisféar an domhain	Atmosfero (tero)
Críoch an Tuaiscirt	Norda Teritorio
Tegucigalpa	Tegucigalpo
Amailtia	Amalteo (luno)
Críoch Phríomhchathair na hAstráile	Aŭstralia Ĉefurba Teritorio
Managua	Managvo
Glúón	Gluono
Enceladus	Encelado (luno)
Titania (gealach)	Titanjo (luno)
Cúige Bhelgorod	Belgoroda provinco
George Orwell	George Orwell
Umbriel	Umbrielo (luno)
Ariel	Arielo (luno)
Miranda	Mirando (luno)
Amelia Earhart	Amelia Earhart
Tríotón	Tritono (luno)
Aosta	Aosto
Zadar	Zadar
Zugspitze	Zugspitze
Trionta	Trento
Penn-ar-Bed	Finistère
An Níl	Nilo
Sirius	Siriuso
Hertfordshire	Hertfordshire
Ancona	Ankono
Voronezh	Voroneĵ
Perugia	Peruĝo
Cúige Voronezh	Voroneĵa provinco
L'Aquila	La-Aglo
Campobasso	Kampobaso
An Congó	Kongo (rivero)
Cúige Lipetsk	Lipecka provinco
Bari	Bari
Hemel Hempstead	Hemel Hempstead
An Nígir (abhainn)	Niĝero (rivero)
Potenza	Potenco (Italio)
Cúige Thambov	Tambova provinco
Rabat	Rabato
Cóiméad	Kometo
Cathair na hAilgéire	Alĝero
Túinis	Tunizo
Cúige Rostov	Rostova provinco
Tripilí	Tripolo
Bliain na Réabhlóidí	Revolucio de 1848
Diobúití (cathair)	Ĝibuto
Antofagasta, an tSile	Antofagasta (urbo)
Teheran	Teherano
Adas Ababa	Adis-Abebo
Iacárta	Ĝakarto
Verbania	Verbania
Ankara	Ankaro
Krasnodar	Krasnodar
Críoch Krasnodar	Krasnodara regiono
Nouakchott	Nuakŝoto
Riyadh	Riado
1961	1961
Béalgrád	Beogrado
Dacár	Dakaro
Conacraí	Konakrio
Adygea	Adigeio
Bissau	Bisaŭo
1960	1960
Iáva	Javo
Accra	Akrao
An Damaisc	Damasko
Guáin na Fraince	Franca Gviano
Quentin Tarrantino	Quentin Tarantino
Ouagadougou	Uagaduguo
An Amasóin	Amazono (rivero)
Abuja	Abuĝo
Amman	Amano
Malabo	Malabo
Cúige Volgograd	Volgograda provinco
Béiriút	Bejruto
Kinshasa	Kinŝaso
Brazzaville	Brazavilo
Bujumbura	Buĵumburo
An Leafcóis	Nikozio
Kigali	Kigalo
Doha	Doho
Astaróideach	Asteroido
Dodoma	Dodomao
Nairobi	Najrobo
Lusaka	Lusako
Catanzaro	Katanzaro
Urú na gréine	Suna eklipso
Maputo	Maputo
Kampala	Kampalo
Luanda	Luando
Moroni (Oileáin Chomóra)	Moronio
An Ghailís	Galegio
Uimhir dhénártha	Duuma sistemo
Scoil	Lernejo
Antananarivo	Antananarivo
Ollscoil	Universitato
Gaborone	Gaberono
Harare	Harareo
Grace Kelly	Grace Kelly
Pretoria	Pretorio
Asturias	Asturio
Ollnóva	Supernovao
Vicipéid:Clár dubh	Vikipedio:Provejo
Cúige na hAstracháine	Astraĥana provinco
An Grúpa Áitiúil	Loka Grupo
Vicipéid:Réamhrá	Vikipedio:Bonvenon al Vikipedio
Cantabria	Kantabrio
Aalen	Aalen
An Chailmíc	Kalmukio
Baile	Taŭno
Ríomhaire glúine	Tekokomputilo
Ailgéabar	Algebro
Tír na mBascach Theas	Eŭska Aŭtonoma Komunumo
Léarscáil	Mapo
Navarra	Navaro
Abhainn	Rivero
Osasco	Osasco (San-Paŭlo)
An Aragóin	Aragono
Woody Guthrie	Woody Guthrie
Hameln	Hameln
36 RC	-36
20 RC	-20
40 RC	-40
Göppingen	Göppingen
39 RC	-39
37 RC	-37
Eschweiler	Eschweiler
22 RC	-22
Amóinia	Amoniako
38 RC	-38
Glaschú	Glasgovo
28 RC	-28
Pión	Piono
18 RC	-18
15 RC	-15
33 RC	-33
Aigéad sulfarach	Sulfata acido
30 RC	-30
Loch Konstanz	Bodenlago
12 RC	-12
Fithis	Orbito
Aerfort Dong Hoi	Flughaveno Dong Hoi
45 RC	-45
46 RC	-46
Dírbheathaisnéis	Aŭtobiografio
Luzern	Lucerno
41 RC	-41
49 RC	-49
42 RC	-42
Neodrónréalta	Neŭtrona stelo
An Fhoraois Dhubh	Nigra Arbaro
25 RC	-25
47 RC	-47
10 RC	-10
Teileascóp	Teleskopo
Aontas Náisiúin Mheiriceá Theas	Komunumo Sudamerika de Nacioj
Miley Cyrus	Miley Cyrus
Tonnta raidió	Radioondo
Margairín	Margarino
Pierre Abélard	Abelardo
Radairéalteolaíocht	Radioastronomio
Alain de Lille	Alano el Lille
Máthairchlár	Ĉeftabulo
Críoch Phrimorsky	Ĉemara Regiono
Pulsár	Pulsaro
Curitiba	Kuritibo
Cath an tSléibhe Bháin	Batalo sur Blanka monto
Iora rua	Rufa sciuro
Pangaea	Pangeo
Catagóir:Nuachtáin spóirt	Kategorio:Sportaj gazetoj
Catagóir:Stair na Tuirce	Kategorio:Historio de Turkio
Foraois	Arbaro
Zichyújfalu	Zichyújfalu
Cruadhiosca	Diskaparato
Emily Dickinson	Emily Dickinson
Pápa Pius VIII	Pio la 8-a
Pápa Beinidict XV	Benedikto la 15-a
Khabarovsk	Ĥabarovsk
Mac siobháin	Gobiedoj
Anna Faris	Anna Faris
Catagóir:Básanna i 1481	Kategorio:Mortintoj en 1481
Catagóir:Amstardam	Kategorio:Amsterdamo
Mitt Romney	Mitt Romney
Catagóir:Daoine a rugadh i 1421	Kategorio:Naskiĝintoj en 1421
Dragan Chomódó	Komoda varano
Cabhlach cogaidh	Mararmeo
Sliabhraon na Cascáide	Kaskada Montaro
Sean Connery	Sean Connery
Anne Frank	Anne Frank
Confúicias	Konfuceo
Sarah Bernhardt	Sarah Bernhardt
Marlene Dietrich	Marlene Dietrich
Marilyn Monroe	Marilyn Monroe
Corbin Bleu	Corbin Bleu
Catagóir:Matamaitic	Kategorio:Matematiko
Catagóir:Stair na Mongóile	Kategorio:Historio de Mongolio
Oileáin Fharó	Ferooj
Catagóir:Stair na hIndia	Kategorio:Historio de Barato
Mohamed Morsi	Mohamed Mursi
Barbra Streisand	Barbra Streisand
Sherlock Holmes	Sherlock Holmes
Mount Saint Helens	Monto Saint Helens
107 RC	-107
An Renaissance	Renesanco
Claude Debussy	Claude Debussy
143 RC	-143
Le Corbusier	Le Corbusier
126 RC	-126
116 RC	-116
136 RC	-136
Caochaileach	Senkruraj amfibioj
113 RC	-113
Nead	Nesto
140 RC	-140
150 RC	-150
Colún	Kolono
Catagóir:Daoine a rugadh i 1888	Kategorio:Naskiĝintoj en 1888
130 RC	-130
1488	1488
Saothróg	Kulturvario
Euro	Eŭro
An Mheánmhuir	Mediteraneo
Cúirt Bhreithiúnais Eorpach	Justica Kortumo de Eŭropaj Komunumoj
Hangzhou	Hangĝoŭo
An Chríostaíocht	Kristanismo
1004	1004
Seattle	Seattle
