Африка	Afriko
Комо (град)	Komo (Italio)
Мастрихт	Maastricht
Арнем	Arnhem
Зима	Vintro
Пролеће	Printempo
Лето	Somero
Јесен	Aŭtuno
Равнодневица	Ekvinokso
Садам Хусеин	Saddam Hussein
Осама бин Ладен	Usama bin Laden
Шпански језик	Hispana lingvo
Фридрих Хајек	Friedrich August von Hayek
Монтевидео	Montevideo
Римуски (Квебек)	Rimouski
Јохан Себастијан Бах	Johann Sebastian Bach
Антонио Вивалди	Antonio Vivaldi
Тољати	Toljatti
Питсбург	Pittsburgh (Pensilvanio)
Опера	Opero
Филаделфија	Filadelfio (Pensilvanio)
Колката	Kolkato
Ченај	Ĉenajo
Делхи	Delhio
Дака	Dako
Бангалор	Bengaluro
Западни Бенгал	Okcident-Bengalo
Пауци	Araneuloj
Арахнида	Araneedoj
Пауколике животиње	Chelicerata
Зглавкари	Artropodoj
Хајдерабад (Индија)	Hajderabado
Исламабад	Islamabado
Трипура	Tripuro
Плод	Frukto
Мајмун	Simio
Новац	Mono
Вирџинија	Virginio (ŝtato)
Западна Вирџинија	Okcidenta Virginio
Materhorn	Materhorno
Лагуми и змајеви	Drakoj kaj Galerioj
Универзитет у Љубљани	Universitato de Ljubljano
Пиран (град)	Piran
Хјурон (језеро)	Lago Hurono
Њујорк (држава)	Nov-Jorkio
Церијум	Cerio
Празеодијум	Prazeodimo
Роуд Ајланд	Rod-Insulo
Неодијум	Neodimo
Инсекти	Insekto
Мериленд	Marilando
Делавер	Delavaro
Владимир Лењин	Lenin
Еуропијум	Eŭropio
Охајо	Ohio
Вергилије	Vergilio
Николо Макијавели	Makiavelo
Пенсилванија	Pensilvanio
Франческо Петрарка	Francesco Petrarca
Ђовани Бокачо	Giovanni Boccaccio
Луиђи Пирандело	Luigi Pirandello
Итерзен	Uetersen
Октавијан Август	Aŭgusto Cezaro
Мајкрософт виндоус	Microsoft Windows
Тиберије	Tiberio
Њу Џерзи	Nov-Ĵerzejo
Калигула	Kaligulo
Гибралтар	Ĝibraltaro
Клаудије	Klaŭdio
Фински језик	Finna lingvo
Нерон	Nerono
Галба	Galbo
Индијана	Indianio
Отон	Oto
Вителије	Vitelio
Нокија (предузеће)	Nokia (kompanio)
Веспазијан	Vespasiano
Аутомобил	Aŭtomobilo
Тит	Tito (imperiestro)
ФК Јувентус	Juventus Football Club
Домицијан	Domiciano
Нерва	Nerva
Трајан	Trajano
Роџер Федерер	Roger Federer
Хадријан	Hadriano
Џорџија	Georgio
Антонин Пије	Antonino Pia
Марко Аурелије	Marko Aŭrelio
КДЕ	KDE
Ванфрид	Wanfried
Комод	Komodo (imperiestro)
Загреб	Zagrebo
Пертинакс	Pertinakso
Раџастан	Raĝastano
Кампанија	Kampanio
Тексас	Teksaso
Дидије Јулијан	Didio Juliano
Септимије Север	Septimo Severo
Молизе	Molizo
Тамил Наду	Tamilnado
Каракала	Karakalo
Апулија	Apulio
Ђенова	Ĝenovo
Базиликата	Basilikato
Северна Каролина	Norda Karolino
Хокеј на трави	Herbohokeo
Јужна Каролина	Suda Karolino
FK Sampdorija	Sampdoria Genova
Калабрија	Kalabrio
Сицилија	Sicilio
Манила	Manilo
Сардинија	Sardio
Фердинанд Маркос	Ferdinand Marcos
Бенигно Акино III	Benigno Aquino la 3-a
Feltre	Feltre
Ешвеге	Eschwege
Лоара	Luaro
Морис Есхер	M. C. Escher
Сена	Sejno
Кронова болест	Crohn-malsano
Давао	Davao (urbo)
Кезон Сити	Kezonurbo
Ле Ман	Le Mans
Бордо	Bordeaux
Коразон Акино	Corazón Aquino
Фелсберг (Хесен)	Felsberg (Hesio)
Буенос Ајрес	Bonaero
Хакер	Kodumulo
Мексико Сити	Meksik-urbo
Токио	Tokio
Ла Паз	La-Pazo
Барселона	Barcelono
Ananas comosus	Ananaso
Мисисипи	Misisipio
Фернандо Магелан	Fernão de Magalhães
Мисисипи (река)	Misisipo (rivero)
Утар Прадеш	Utar-Pradeŝo
Утараханд	Utarakando
Базен	Banejo
Мизорам	Mizoramo
Сиким	Sikimo
Патагонија	Patagonio
Тенеси	Tenesio
Рихард Вагнер	Richard Wagner
Роберт Луис Стивенсон	Robert Louis Stevenson
Нагпур	Nagpur
Абиџан	Abiĝano
Бридерн	Briedern
Абу Даби	Abu-Dabio
Астана	Astano
Нови Мексико	Nov-Meksiko
Рамзес II	Ramseso la 2-a
Атина	Ateno
Минесота	Minesoto
Рамзес III	Ramseso la 3-a
Багдад	Bagdado
Каракас	Karakaso
UTC	UTC
Висконсин	Viskonsino
Пуна	Puneo
Марко Тулије Цицерон	Cicerono
ФК Милан	A.C. Milan
Ајова	Iovao
Небраска	Nebrasko
Гватемала (град)	Gvatemalurbo
Канзас	Kansaso
Хавана	Havano
Дуван (производ)	Tabako
Хинди	Hindia lingvo
Маратхи језик	Marata lingvo
Интернет експлорер	Internet Explorer
Цигара	Cigaro
Цигарета	Cigaredo
Мисури	Misurio
Вајнсберг	Weinsberg
Георг Ом	Georg Ohm
Луизијана	Luiziano
Луиђи Галвани	Luigi Galvani
Нагаланд	Nagalando
Кентаки	Kentukio
Арканзас	Arkansaso
Нил Армстронг	Neil Armstrong
Урду	Urduo
Чарлс Линдберг	Charles Lindbergh
Замбоанга	Zamboanga
Едит Пјаф	Édith Piaf
Осијек	Osijek
Лаба (река)	Elbo (rivero)
Франсоаз Саган	Françoise Sagan
Ријека (град)	Rijeko
Емс	Emso
Оклахома	Oklahomo
Везер (река у Немачкој)	Weser
Дунав	Danubo
Стих	Verso
Сплит	Split
Рур (река)	Ruhr
Жак Брел	Jacques Brel
Мозел	Mozelo
Мајна	Majno (rivero)
Некар	Neckar
Зале	Saale
Хафел	Havel
Шпреја	Spree
Елде (река)	Elde
Северно море	Norda Maro
Скагерак	Skagerrak
Московска област	Moskva provinco
Serž Gensbur	Serge Gainsbourg
Кил	Kilo (urbo)
Шверин	Schwerin
Потсдам	Potsdamo
Хановер	Hanovro
Диселдорф	Duseldorfo
Мајнц	Majenco
Висбаден	Wiesbaden
Дубровник	Dubrovnik
Сарбрикен	Saarbrücken
Минхен	Munkeno
Самарска област	Samara provinco (Rusio)
Ерфурт	Erfurto
Дрезден	Dresdeno
Магдебург	Magdeburgo
Одбојка	Flugpilkado
Инзбрук	Innsbruck
Брегенц	Bregenz
Беч	Vieno
Мадона	Madonna
Копенхаген	Kopenhago
Калињинградска област	Kaliningrada provinco
Макрин	Makrino
Стокхолм	Stokholmo
Томаш Мајевски	Tomasz Majewski
Хелсинки	Helsinko
Мурманска област	Murmanska provinco
Даблин	Dublino
Елагабал	Elagabalo
Мурманск	Murmansko
Рејкјавик	Rejkjaviko
Ела Фицџералд	Ella Fitzgerald
Александар Север	Aleksandro Severo
Талин	Talino
Рига	Rigo
Занзибар	Zanzibaro
Максимин Трачанин	Maximinus Thrax
Луј Армстронг	Louis Armstrong
Братислава	Bratislavo
Будимпешта	Budapeŝto
Гордијан I	Gordiano la 1-a
Шарл Азнавур	Charles Aznavour
Гдањск	Gdańsk
Франкфурт на Мајни	Frankfurto ĉe Majno
Пупијен и Балбин	Pupieno
Вроцлав	Vroclavo
Кочин	Koĉi (Barato)
Лантан	Lantano
Гордијан II	Gordiano la 2-a
Прометијум	Prometio
Астрономска јединица	Astronomia unuo
Гордијан III	Gordiano la 3-a
Сен Тропе	Saint-Tropez
Филип Арабљанин	Filipo la araba
Самаријум	Samario (kemio)
Аћех	Aceho
Калињинград	Kaliningrado
Деције Трајан	Decio
Гадолинијум	Gadolinio
Зинедин Зидан	Zinedine Zidane
Тербијум	Terbio
Католицизам	Katolikismo
Луксембург (град)	Luksemburgo
Диспрозијум	Disprozio
Вадуц	Vaduzo
Библија	Biblio
Холмијум	Holmio
Сан Марино (град)	San-Marino (urbo)
Ербијум	Erbio
Пном Пен	Pnom-Peno
Архангељск	Arĥangelsko
Тулијум	Tulio
Хо Ши Мин (град)	Ho-Ĉi-Min-urbo
Итербијум	Iterbio
Лутецијум	Lutecio
Ханој	Hanojo
Права црква Исусова	Vera Eklezio de Jesuo
Енглески језик	Angla lingvo
Бангкок	Bankoko
Волин (град)	Wolin
Андора ла Веља	Andoro Malnova
Куала Лумпур	Kuala-Lumpuro
Бангка Белитунг	Bangka-Belitungo
Тајпеј	Tajpeo
Америцијум	Americio
Одеса	Odesa
Архангелска област	Arĥangelska provinco
Киријум	Kuriumo
Донг Хој	Dong Hoi
Консепсион (Чиле)	Koncepciono
Берклијум	Berkelio
Дирен	Düren
Калифорнијум	Kaliforniumo
Diplomatija	Diplomatio
Бенгкулу	Bengkuluo
Болоња	Bolonjo
Ајнштајнијум	Ejnŝtejnio
Мемфис Депај	Memphis Depay
Петрозаводск	Petrozavodsk
Фермијум	Fermio
Каљари	Kaljaro
Мендељевијум	Mendelevio
Кијев	Kievo
Нобелијум	Nobelio
Катанија	Katanio
Онтарио	Ontario
Лоренцијум	Laŭrencio (elemento)
Казерта	Kaserto
Флоран Малуда	Florent Malouda
Карелија	Karelio (respubliko)
Франк Рибери	Franck Ribéry
Отава	Otavo
Свемирска трка	Kosmokonkuro
Ерик Абидал	Éric Abidal
Vilijam Galas	William Gallas
Јупитерови природни сателити	Naturaj satelitoj de Jupitero
Џуба	Ĵubo
Манитоба	Manitobo
Алберта	Alberto
Нова Шкотска	Nov-Skotio
Јереван	Erevano
Вологда	Vologda
Коњсковола	Końskowola
Дар ес Салам	Daresalamo
Картум	Ĥartumo
Њу Брансвик	Nov-Brunsviko
Формула 1	Formulo 1
Сатурнови природни сателити	Naturaj satelitoj de Saturno
Британска Колумбија	Brita Kolumbio
Острво Принца Едварда	Insulo de Princo Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Саскачеван	Saskaĉevano
2012	2012
2011	2011
2010	2010
2009	2009
Угљен-диоксид	Karbona dioksido
2013	2013
2014	2014
2015	2015
Њуфаундленд и Лабрадор	Novlando kaj Labradoro
2008	2008
Јаваскрипт	JavaScript
Северозападне територије	Nordokcidentaj Teritorioj
Јукон	Jukonio
2004	2004
Вологодска област	Vologda provinco
2005	2005
Zmajeva kugla	Dragon Ball
2006	2006
Чезаре Павезе	Cesare Pavese
Нунавут	Nunavuto
2007	2007
Угљен-моноксид	Karbona monooksido
Linuks mint	Linukso Mint
Верона	Verono
Икалуит	Ikaluito
1900	1900
1901	1901
Франсоа Митеран	François Mitterrand
Тит Ливије	Tito Livio
Ђузепе Фарина	Giuseppe Farina
Шарл де Гол	Charles de Gaulle
1902	1902
Фиренца	Florenco
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
Џамби	Ĝambio
HTML5	HTML5
Сенека	Seneko la pli juna
1908	1908
1909	1909
Вајтхорс	Whitehorse
1992	1992
Јелоунајф	Yellowknife
1991	1991
1990	1990
1993	1993
Есен	Essen
1994	1994
1995	1995
Хуан Мануел Фанхио	Juan Manuel Fangio
1996	1996
Дејвид Линч	David Lynch
Коми (република)	Komiio
1910	1910
1911	1911
1912	1912
Скалабилна векторска графика	Streka Vari-skala Grafiko
Лајпциг	Leipzig
1913	1913
Roseto degli Abruzzi, Teramo	Roseto degli Abruzzi
Сент Џонс (Њуфаундленд и Лабрадор)	St. John's
1914	1914
1915	1915
Твин Пикс (ТВ серијал)	Twin Peaks
Алберто Аскари	Alberto Ascari
1916	1916
1997	1997
1998	1998
Нирнберг	Nurenbergo
1999	1999
1917	1917
1918	1918
Храна	Manĝaĵo
Едмонтон	Edmontono
Дуизбург	Duisburg
Количина елементарног наелектрисања	Elementa elektra ŝargo
Змије	Serpento
Бохум	Bochum
Мајк Хоторн	Mike Hawthorn
Жак Ширак	Jacques Chirac
Вупертал	Wuppertal
Лампунг	Lampungo
Брзина светлости	Lumrapido
Билефелд	Bielefeld
XML	XML
Регион Антофагаста	Antofagasta (regiono)
Манхајм	Mannheim
Орални секс	Buŝa seksumado
Реџајна	Regina
Валери Жискар Д'Естен	Valéry Giscard d’Estaing
Џек Брабам	Jack Brabham
Неутрино	Neŭtrino
Шарлоттаун	Ĉarlotaŭno
Favikon	Favorikono
Викторија (Британска Колумбија)	Viktorio
Винипег (град)	Vinipego
Тотма	Totjma
Фредериктон	Frederiktono
Северна Суматра	Norda Sumatro
Халифакс	Halifakso
Сиктивкар	Siktivkar
Череповец	Ĉerepoveco
Квебек (град)	Kebeko
UTC-12	UTC-12:00
1. јануар	1-a de januaro
2. јануар	2-a de januaro
UTC-11	UTC-11:00
1920	1920
3. јануар	3-a de januaro
1919	1919
Тацит	Tacito (verkisto)
1921	1921
UTC-10	UTC-10:00
Ненеција	Nenecio
1922	1922
Лунд	Lund
4. јануар	4-a de januaro
1923	1923
Биобио (регион)	Biobío
Ленс Армстронг	Lance Armstrong
1924	1924
Нарјан-Мар	Narjan-Mar
Ријау	Riauo
Главни астероидни појас	Asteroida zono
QRpedia	QRpedia
UTC-9	UTC-09:00
Руска Совјетска Федеративна Социјалистичка Република	Rusia Soveta Federacia Socialisma Respubliko
Жорж Помпиду	Georges Pompidou
Лењинградска област	Leningrada provinco
Gif	GIF
JPEG	JPEG
Ромул и Рем	Romulo kaj Remo
Патуљаста планета	Nanoplanedo
5. јануар	5-a de januaro
Арика	Arica (Ĉilia urbo)
UTC-8	UTC-08:00
Малме	Malmö
UTC-7	UTC-07:00
Псков	Pskovo
Атабаска (река)	Atabasko (rivero)
Псковска област	Pskova provinco
Сизрањ	Sizranj
6. јануар	6-a de januaro
Острва Ријау	Riau-insuloj
Електрон	Elektrono
7. јануар	7-a de januaro
Лангенцен	Langenzenn
8. јануар	8-a de januaro
Велики Новгород	Velikij Novgorod
9. јануар	9-a de januaro
Новгородска област	Novgoroda provinco
10. јануар	10-a de januaro
Нижегородска област	Niĵnij-Novgoroda provinco
11. јануар	11-a de januaro
12. јануар	12-a de januaro
Коламбија (река)	Kolumbio (rivero)
Баз Олдрин	Buzz Aldrin
Публије Корнелије Сципион Африканац	Skipio Afrika
Телемарк (округ)	Telemark
