აფრიკა	Afriko
შლეზვიგ-ჰოლშტაინი	Ŝlesvigo-Holstinio
მეგჰალაია	Meghalajo
მეკლენბურგ-წინა პომერანია	Meklenburgo-Antaŭpomerio
ქვემო საქსონია	Malsupra Saksio
ჩრდილოეთი რაინ-ვესტფალია	Nordrejn-Vestfalio
ჰესენი	Hesio
რაინლანდ-პფალცი	Rejnlando-Palatinato
ზაარლანდი	Sarlando
საქსონია	Saksio
ჯონ ლენონი	John Lennon
ილინოისი	Ilinojso
თიურინგია	Turingio
საქსონია-ანჰალტი	Saksio-Anhalto
ჩრდილოეთი დაკოტა	Norda Dakoto
ბრანდენბურგი (მხარე)	Brandenburgio
ბრემენი (მხარე)	Libera hansa urbo Bremeno
ლომბარდია	Lombardujo
სამხრეთი დაკოტა	Suda Dakoto
მონტანა	Montano
უაიომინგი	Vajomingo
პიემონტი	Piemonto
იერუსალიმი	Jerusalemo
ჯორჯო ნაპოლიტანო	Giorgio Napolitano
აიდაჰო	Idaho
ვალე-დ’აოსტა	Aosta Valo
ვაშინგტონის შტატი	Vaŝingtonio
კარლო აძელიო ჩამპი	Carlo Azeglio Ciampi
ბრიუს სპრინგსტინი	Bruce Springsteen
ნევადა	Nevado
ოსკარ ლუიჯი სკალფარო	Oscar Luigi Scalfaro
დონი (მდინარე)	Don (rivero)
ფრანჩესკო კოსიგა	Francesco Cossiga
ალესანდრო პერტინი	Alessandro Pertini
ჯოვანი ლეონე	Giovanni Leone
ტრენტინო-ალტო-ადიჯე	Trentino-Alto Adige
ჯუზეპე სარაგატი	Giuseppe Saragat
ინდოეთის ოკეანე	Hinda Oceano
ჯოვანი გრონკი	Giovanni Gronchi
ლუიჯი ეინაუდი	Luigi Einaudi
ვენეტო	Veneto
ენრიკო დე ნიკოლა	Enrico de Nicola
კოსოვო	Kosovo
კარიბის ზღვა	Kariba Maro
ფრიული-ვენეცია-ჯულია	Friulo-Venecio Julia
პან გი მუნი	Ban Ki-moon
კოფი ანანი	Kofi Annan
ლიგურია	Ligurio
ბუტროს ბუტროს-გალი	Boutros Boutros-Ghali
ხავიერ პერეს დე კუელიარი	Javier Pérez de Cuéllar
კურტ ვალდჰაიმი	Kurt Waldheim
კოლორადოს შტატი	Koloradio
ემილია-რომანია	Emilio-Romanjo
უ ტანი	U Thant
კოლორადო	Kolorado (rivero)
დაგ ჰამარშელდი	Dag Hammarskjöld
ფრიდერიკ შოპენი	Frédéric Chopin
ტრიუგვე ლი	Trygve Lie
ტოსკანა	Toskanio
ლეონარდ კოენი	Leonard Cohen
მარკე	Markio (Italio)
უმბრია	Umbrio
კატეგორია:ძირითადი კატეგორიები	Kategorio:Ĉio
ლაციო	Latio
დოლომიტის ალპები	Dolomitoj
აბრუცი	Abruco
აპენინის მთები	Apeninoj
ალპები	Alpoj
კარპატები	Karpatoj
გრენობლი	Grenoblo
ბლეზ პასკალი	Blaise Pascal
დორტმუნდი	Dortmund
გენტი	Gento (urbo)
ჩიკაგო	Ĉikago
ბითლზი	The Beatles
მაასტრიხტი	Maastricht
არნემი	Arnhem
ზამთარი	Vintro
გაზაფხული	Printempo
ზაფხული	Somero
შემოდგომა	Aŭtuno
ბუნიაობა	Ekvinokso
სადამ ჰუსეინი	Saddam Hussein
ოსამა ბინ ლადენი	Usama bin Laden
ესპანური ენა	Hispana lingvo
ფრიდრიხ ჰაიეკი	Friedrich August von Hayek
მონტევიდეო	Montevideo
იოჰან სებასტიან ბახი	Johann Sebastian Bach
ანტონიო ვივალდი	Antonio Vivaldi
ტოლიატი	Toljatti
ოპერა	Opero
ფილადელფია	Filadelfio (Pensilvanio)
კოლკატა	Kolkato
ჩენაი	Ĉenajo
დელი	Delhio
დაკა	Dako
ბენგალურუ	Bengaluro
დასავლეთი ბენგალი	Okcident-Bengalo
ობობები	Araneuloj
ობობასნაირნი	Araneedoj
ქელიცერიანები	Chelicerata
ფეხსახსრიანები	Artropodoj
ჰაიდარაბადი	Hajderabado
ისლამაბადი	Islamabado
ტრიპურა	Tripuro
ნაყოფი (მცენარე)	Frukto
ფული	Mono
ვირჯინია	Virginio (ŝtato)
დასავლეთი ვირჯინია	Okcidenta Virginio
მატერჰორნი	Materhorno
ჰურონის ტბა	Lago Hurono
ნიუ-იორკის შტატი	Nov-Jorkio
ცერიუმი	Cerio
პრაზეოდიმიუმი	Prazeodimo
როდ-აილენდი	Rod-Insulo
ნეოდიმიუმი	Neodimo
მწერები	Insekto
მერილენდი	Marilando
დელავერის შტატი	Delavaro
ვლადიმერ ლენინი	Lenin
ევროპიუმი	Eŭropio
ოჰაიო	Ohio
პუბლიუს ვერგილიუს მარონი	Vergilio
ნიკოლო მაკიაველი	Makiavelo
პენსილვანია	Pensilvanio
ფრანჩესკო პეტრარკა	Francesco Petrarca
ჯოვანი ბოკაჩო	Giovanni Boccaccio
უეტერზენი	Uetersen
ოქტავიანე ავგუსტუსი	Aŭgusto Cezaro
Microsoft Windows	Microsoft Windows
ტიბერიუსი	Tiberio
ნიუ-ჯერსი	Nov-Ĵerzejo
კალიგულა	Kaligulo
გიბრალტარი	Ĝibraltaro
კლავდიუსი	Klaŭdio
ფინური ენა	Finna lingvo
ნერონი	Nerono
გალბა	Galbo
ინდიანა	Indianio
ოტონი	Oto
ვიტელიუსი	Vitelio
Nokia	Nokia (kompanio)
ვესპასიანე ფლავიუსი	Vespasiano
ავტომობილი	Aŭtomobilo
ტიტუსი	Tito (imperiestro)
იუვენტუსი (საფეხბურთო კლუბი)	Juventus Football Club
დომიციანე	Domiciano
ნერვა	Nerva
ტრაიანე	Trajano
როჯერ ფედერერი	Roger Federer
ადრიანე	Hadriano
ჯორჯია	Georgio
ანტონინუს პიუსი	Antonino Pia
მარკუს ავრელიუსი	Marko Aŭrelio
კომოდუსი	Komodo (imperiestro)
ზაგრები	Zagrebo
პერტინაქსი	Pertinakso
რაჯასტანი	Raĝastano
კამპანია (იტალია)	Kampanio
ტეხასი	Teksaso
დიდიუს იულიანუსი	Didio Juliano
ლუციუს სეპტიმიუს სევერუსი	Septimo Severo
მოლიზე	Molizo
ტამილნადუ	Tamilnado
კარაკალა	Karakalo
აპულია	Apulio
გენუა	Ĝenovo
ბაზილიკატა	Basilikato
ჩრდილოეთი კაროლინა	Norda Karolino
ბალახის ჰოკეი	Herbohokeo
სამხრეთი კაროლინა	Suda Karolino
სამპდორია (საფეხბურთო კლუბი)	Sampdoria Genova
კალაბრია	Kalabrio
სიცილია	Sicilio
მანილა	Manilo
სარდინია	Sardio
ბენინიო აკინო	Benigno Aquino la 3-a
ლუარა (მდინარე)	Luaro
მორის ეშერი	M. C. Escher
სენა (მდინარე)	Sejno
დავაო	Davao (urbo)
ბრიუსელის ვარდკაჭაჭა	Brusela cikorio
ლე-მანი	Le Mans
ბორდო	Bordeaux
კორასონ აკინო	Corazón Aquino
ბუენოს-აირესი	Bonaero
ჰაკერი	Kodumulo
მეხიკო	Meksik-urbo
ტოკიო	Tokio
ლა-პასი	La-Pazo
ბარსელონა	Barcelono
მისისიპის შტატი	Misisipio
ფერნანდო მაგელანი	Fernão de Magalhães
მისისიპი	Misisipo (rivero)
უტარ-პრადეში	Utar-Pradeŝo
უტარაკჰანდი	Utarakando
მიზორამი	Mizoramo
სიკიმი	Sikimo
პატაგონია	Patagonio
ტენესი	Tenesio
რიხარდ ვაგნერი	Richard Wagner
რობერტ ლუის სტივენსონი	Robert Louis Stevenson
ნაგპური	Nagpur
აბიჯანი	Abiĝano
აბუ-დაბი	Abu-Dabio
ასტანა	Astano
ნიუ-მექსიკო	Nov-Meksiko
რამსეს II	Ramseso la 2-a
ათენი	Ateno
მინესოტა	Minesoto
რამსეს III	Ramseso la 3-a
ბაღდადი	Bagdado
კარაკასი	Karakaso
მსოფლიო კოორდინირებული დრო	UTC
უისკონსინი	Viskonsino
პუნა	Puneo
ციცერონი	Cicerono
მილანი (საფეხბურთო კლუბი)	A.C. Milan
აიოვა	Iovao
ლიონის მეტროპოლიტენი	Metroo de Liono
ნებრასკა	Nebrasko
გვატემალა (ქალაქი)	Gvatemalurbo
კანზასი	Kansaso
ჰავანა	Havano
თამბაქო	Tabako
ჰინდი ენა	Hindia lingvo
მარათული ენა	Marata lingvo
Internet Explorer	Internet Explorer
განეშა	Ganeŝo
მისურის შტატი	Misurio
გეორგ ზიმონ ომი	Georg Ohm
ლუიზიანა	Luiziano
ლუიჯი გალვანი	Luigi Galvani
ნაგალენდი	Nagalando
კენტუკი	Kentukio
არკანზასი	Arkansaso
ნილ არმსტრონგი	Neil Armstrong
ურდუ ენა	Urduo
ედიტ პიაფი	Édith Piaf
ოსიეკი	Osijek
ელბა	Elbo (rivero)
ფრანსუაზ საგანი	Françoise Sagan
რიეკა	Rijeko
ემსი	Emso
ოკლაჰომა	Oklahomo
დუნაი	Danubo
ლექსი	Verso
სპლიტი	Split
რური	Ruhr
მოზელი (მდინარე)	Mozelo
მაინი	Majno (rivero)
ნეკარი	Neckar
