Afraga	Afriko
6 an Cèitean	6-a de majo
7 an Cèitean	7-a de majo
8 an Cèitean	8-a de majo
9 an Cèitean	9-a de majo
10 an Cèitean	10-a de majo
11 an Cèitean	11-a de majo
12 an Cèitean	12-a de majo
13 an Cèitean	13-a de majo
14 an Cèitean	14-a de majo
15 an Cèitean	15-a de majo
16 an Cèitean	16-a de majo
17 an Cèitean	17-a de majo
18 an Cèitean	18-a de majo
19 an Cèitean	19-a de majo
20 an Cèitean	20-a de majo
21 an Cèitean	21-a de majo
22 an Cèitean	22-a de majo
23 an Cèitean	23-a de majo
24 an Cèitean	24-a de majo
25 an Cèitean	25-a de majo
26 an Cèitean	26-a de majo
27 an Cèitean	27-a de majo
28 an Cèitean	28-a de majo
29 an Cèitean	29-a de majo
30 an Cèitean	30-a de majo
31 an Cèitean	31-a de majo
Paul McCartney	Paul McCartney
Pit	Piĉo
21 an Dùbhlachd	21-a de decembro
Pàpa Pius XII	Pio la 12-a
14 an t-Ògmhios	14-a de junio
15 an t-Ògmhios	15-a de junio
13 an t-Ògmhios	13-a de junio
10 an t-Ògmhios	10-a de junio
7 an t-Ògmhios	7-a de junio
11 an t-Ògmhios	11-a de junio
9 an t-Ògmhios	9-a de junio
12 an t-Ògmhios	12-a de junio
6 an t-Ògmhios	6-a de junio
8 an t-Ògmhios	8-a de junio
5 an t-Ògmhios	5-a de junio
3 an t-Ògmhios	3-a de junio
2 an t-Ògmhios	2-a de junio
1 an t-Ògmhios	1-a de junio
4 an t-Ògmhios	4-a de junio
Ringo Starr	Ringo Starr
Napoli	Napolo
22 an Dùbhlachd	22-a de decembro
S.S.C. Napoli	SSC Napoli
George Harrison	George Harrison
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
16 an t-Ògmhios	16-a de junio
30 an t-Ògmhios	30-a de junio
29 an t-Ògmhios	29-a de junio
28 an t-Ògmhios	28-a de junio
26 an t-Ògmhios	26-a de junio
25 an t-Ògmhios	25-a de junio
22 an t-Ògmhios	22-a de junio
27 an t-Ògmhios	27-a de junio
24 an t-Ògmhios	24-a de junio
20 an t-Ògmhios	20-a de junio
23 an t-Ògmhios	23-a de junio
19 an t-Ògmhios	19-a de junio
18 an t-Ògmhios	18-a de junio
21 an t-Ògmhios	21-a de junio
17 an t-Ògmhios	17-a de junio
23 an Dùbhlachd	23-a de decembro
Ceusair Uilleam II	Vilhelmo la 2-a (Germana Regno)
Bruce Willis	Bruce Willis
Arnold Schwarzenegger	Arnold Schwarzenegger
15 an t-Iuchar	15-a de julio
13 an t-Iuchar	13-a de julio
12 an t-Iuchar	12-a de julio
10 an t-Iuchar	10-a de julio
9 an t-Iuchar	9-a de julio
14 an t-Iuchar	14-a de julio
8 an t-Iuchar	8-a de julio
7 an t-Iuchar	7-a de julio
6 an t-Iuchar	6-a de julio
5 an t-Iuchar	5-a de julio
2 an t-Iuchar	2-a de julio
4 an t-Iuchar	4-a de julio
3 an t-Iuchar	3-a de julio
1 an t-Iuchar	1-a de julio
11 an t-Iuchar	11-a de julio
24 an Dùbhlachd	24-a de decembro
Bremerhaven	Bremerhaven
31 an t-Iuchar	31-a de julio
30 an t-Iuchar	30-a de julio
29 an t-Iuchar	29-a de julio
28 an t-Iuchar	28-a de julio
27 an t-Iuchar	27-a de julio
25 an t-Iuchar	25-a de julio
24 an t-Iuchar	24-a de julio
23 an t-Iuchar	23-a de julio
26 an t-Iuchar	26-a de julio
22 an t-Iuchar	22-a de julio
19 an t-Iuchar	19-a de julio
21 an t-Iuchar	21-a de julio
20 an t-Iuchar	20-a de julio
17 an t-Iuchar	17-a de julio
18 an t-Iuchar	18-a de julio
16 an t-Iuchar	16-a de julio
Ball-coise	Futbalo
25 an Dùbhlachd	25-a de decembro
Augsburg	Augsburg
Siena	Sieno
1963	1963
Lech Kaczyński	Lech Kaczyński
Urbino	Urbino
26 an Dùbhlachd	26-a de decembro
Uile-losgadh	Holokaŭsto
1962	1962
Gelsenkirchen	Gelsenkirchen
14 an Lùnastal	14-a de aŭgusto
15 an Lùnastal	15-a de aŭgusto
13 an Lùnastal	13-a de aŭgusto
12 an Lùnastal	12-a de aŭgusto
11 an Lùnastal	11-a de aŭgusto
10 an Lùnastal	10-a de aŭgusto
8 an Lùnastal	8-a de aŭgusto
7 an Lùnastal	7-a de aŭgusto
9 an Lùnastal	9-a de aŭgusto
5 an Lùnastal	5-a de aŭgusto
4 an Lùnastal	4-a de aŭgusto
2 an Lùnastal	2-a de aŭgusto
3 an Lùnastal	3-a de aŭgusto
6 an Lùnastal	6-a de aŭgusto
1 an Lùnastal	1-a de aŭgusto
Chemnitz	Chemnitz
27 an Dùbhlachd	27-a de decembro
Madrid	Madrido
Bàta-tumaidh	Submarŝipo
16 an Lùnastal	16-a de aŭgusto
Halle (Saale)	Halle (Saale)
29 an Lùnastal	29-a de aŭgusto
28 an Lùnastal	28-a de aŭgusto
30 an Lùnastal	30-a de aŭgusto
25 an Lùnastal	25-a de aŭgusto
26 an Lùnastal	26-a de aŭgusto
23 an Lùnastal	23-a de aŭgusto
27 an Lùnastal	27-a de aŭgusto
21 an Lùnastal	21-a de aŭgusto
20 an Lùnastal	20-a de aŭgusto
24 an Lùnastal	24-a de aŭgusto
18 an Lùnastal	18-a de aŭgusto
17 an Lùnastal	17-a de aŭgusto
22 an Lùnastal	22-a de aŭgusto
19 an Lùnastal	19-a de aŭgusto
31 an Lùnastal	31-a de aŭgusto
28 an Dùbhlachd	28-a de decembro
Freiburg im Breisgau	Freiburg
Bogotá	Bogoto
Lübeck	Lubeko
Brasília	Braziljo
15 an t-Sultain	15-a de septembro
14 an t-Sultain	14-a de septembro
13 an t-Sultain	13-a de septembro
12 an t-Sultain	12-a de septembro
8 an t-Sultain	8-a de septembro
11 an t-Sultain	11-a de septembro
7 an t-Sultain	7-a de septembro
10 an t-Sultain	10-a de septembro
5 an t-Sultain	5-a de septembro
4 an t-Sultain	4-a de septembro
9 an t-Sultain	9-a de septembro
2 an t-Sultain	2-a de septembro
6 an t-Sultain	6-a de septembro
1 an t-Sultain	1-a de septembro
3 an t-Sultain	3-a de septembro
Rostock	Rostock
29 an Dùbhlachd	29-a de decembro
Alexander Lukashenko	Aleksandro Lukaŝenko
Lima	Limo
30 an t-Sultain	30-a de septembro
29 an t-Sultain	29-a de septembro
28 an t-Sultain	28-a de septembro
27 an t-Sultain	27-a de septembro
26 an t-Sultain	26-a de septembro
25 an t-Sultain	25-a de septembro
Santiago	Santiago de Ĉilio
23 an t-Sultain	23-a de septembro
22 an t-Sultain	22-a de septembro
24 an t-Sultain	24-a de septembro
21 an t-Sultain	21-a de septembro
20 an t-Sultain	20-a de septembro
18 an t-Sultain	18-a de septembro
17 an t-Sultain	17-a de septembro
19 an t-Sultain	19-a de septembro
16 an t-Sultain	16-a de septembro
Mülheim an der Ruhr	Mülheim
Quito	Kito
30 an Dùbhlachd	30-a de decembro
Sucre	Sukro
31 an Dùbhlachd	31-a de decembro
1 an Dàmhair	1-a de oktobro
15 an Dàmhair	15-a de oktobro
12 an Dàmhair	12-a de oktobro
10 an Dàmhair	10-a de oktobro
14 an Dàmhair	14-a de oktobro
9 an Dàmhair	9-a de oktobro
8 an Dàmhair	8-a de oktobro
13 an Dàmhair	13-a de oktobro
7 an Dàmhair	7-a de oktobro
11 an Dàmhair	11-a de oktobro
6 an Dàmhair	6-a de oktobro
4 an Dàmhair	4-a de oktobro
5 an Dàmhair	5-a de oktobro
3 an Dàmhair	3-a de oktobro
2 an Dàmhair	2-a de oktobro
Asunción	Asunciono
31 an Dàmhair	31-a de oktobro
30 an Dàmhair	30-a de oktobro
29 an Dàmhair	29-a de oktobro
28 an Dàmhair	28-a de oktobro
26 an Dàmhair	26-a de oktobro
25 an Dàmhair	25-a de oktobro
24 an Dàmhair	24-a de oktobro
27 an Dàmhair	27-a de oktobro
22 an Dàmhair	22-a de oktobro
23 an Dàmhair	23-a de oktobro
20 an Dàmhair	20-a de oktobro
21 an Dàmhair	21-a de oktobro
19 an Dàmhair	19-a de oktobro
17 an Dàmhair	17-a de oktobro
16 an Dàmhair	16-a de oktobro
18 an Dàmhair	18-a de oktobro
Heidelberg	Heidelberg
Notre Dame de Paris	Dipatrino de Parizo
15 an t-Samhain	15-a de novembro
14 an t-Samhain	14-a de novembro
13 an t-Samhain	13-a de novembro
12 an t-Samhain	12-a de novembro
11 an t-Samhain	11-a de novembro
10 an t-Samhain	10-a de novembro
7 an t-Samhain	7-a de novembro
8 an t-Samhain	8-a de novembro
9 an t-Samhain	9-a de novembro
6 an t-Samhain	6-a de novembro
5 an t-Samhain	5-a de novembro
4 an t-Samhain	4-a de novembro
3 an t-Samhain	3-a de novembro
2 an t-Samhain	2-a de novembro
1 an t-Samhain	1-a de novembro
Paramaribo	Paramaribo
Ulm	Ulm
30 an t-Samhain	30-a de novembro
29 an t-Samhain	29-a de novembro
28 an t-Samhain	28-a de novembro
27 an t-Samhain	27-a de novembro
26 an t-Samhain	26-a de novembro
25 an t-Samhain	25-a de novembro
23 an t-Samhain	23-a de novembro
24 an t-Samhain	24-a de novembro
21 an t-Samhain	21-a de novembro
20 an t-Samhain	20-a de novembro
22 an t-Samhain	22-a de novembro
19 an t-Samhain	19-a de novembro
18 an t-Samhain	18-a de novembro
17 an t-Samhain	17-a de novembro
16 an t-Samhain	16-a de novembro
Caileag	Knabino
Göttingen	Göttingen
Kathmandu	Katmanduo
Belmopan	Belmopano
Teàrlach Mòr	Karolo la Granda
Pforzheim	Pforzheim
Liger-Atlantel	Loire-Atlantique
San José, Costa Rica	San-Joseo (Kostariko)
Punc	Punko
Ain	Ain
Aisne	Aisne
Vosges (département)	Vosges (departemento)
San Salvador	San-Salvadoro
Allier	Allier
Canberra	Kanbero
Jura (département)	Ĵuraso (franca departemento)
Hautes-Alpes	Hautes-Alpes
Sydney	Sidnejo
Alpes-de-Haute-Provence	Alpes-de-Haute-Provence
Alpes-Maritimes	Alpes-Maritimes
Melbourne	Melburno
Ardèche	Ardèche
Jena	Jena
Ardennes (département)	Ardennes (departemento)
Peairt, Astràilia	Perto
Ariège	Ariège
Hildesheim	Hildesheim
Aube	Aube (departemento)
Teine	Fajro
Astràilia an Iar	Okcidenta Aŭstralio
Aude	Aude
Aveyron	Aveyron
New South Wales	Novsudkimrio
Roinn-a-Tuath	Norda Teritorio
Tegucigalpa	Tegucigalpo
Bouches-du-Rhône	Bouches-du-Rhône
Calvados (département)	Calvados
Cantal	Cantal
Charente	Charente
Managua	Managvo
Charente-Maritime	Charente-Maritime
Cher (département)	Cher (departemento)
Panama (baile)	Panamurbo
Haute-Corse	Haute-Corse
George Orwell	George Orwell
Corse-du-Sud	Corse-du-Sud
Côte-d'Or	Côte-d'Or
Aodoù-an-Arvor	Côtes-d'Armor
Dordogne	Dordogne
Drôme	Drôme
Essonne	Essonne
Eure	Eure
Eure-et-Loir	Eure-et-Loir
Penn-ar-Bed	Finistère
Nile	Nilo
Voronezh	Voroneĵ
Sumatra	Sumatro
Rabat	Rabato
Reul earballach	Kometo
Algiers	Alĝero
Tunis	Tunizo
Tripoli	Tripolo
Djibouti (Baile)	Ĝibuto
Tehran	Teherano
Addis Ababa	Adis-Abebo
Jakarta	Ĝakarto
Ankara	Ankaro
Asmara	Asmaro
N'Djamena	Nĵameno
Niamey	Niameo
Nouakchott	Nuakŝoto
Riyadh	Riado
1961	1961
Bamako	Bamako
Troigh	Futo
Belgrade	Beogrado
Dakar	Dakaro
Banjul	Banĵulo
Conakry	Konakrio
Bissau	Bisaŭo
Roinn-seòrsa:Teamplaid	Kategorio:Vikipedio:Ŝablonoj
Monrovia	Monrovio
Praia	Prajo
1960	1960
Diàbha	Javo
Accra	Akrao
Damascus	Damasko
Yamoussoukro	Jamusukro
Guiana Fhrangach	Franca Gviano
Ouagadougou	Uagaduguo
Freetown	Fritaŭno
Abuja	Abuĝo
Lomé	Lomeo
Porto-Novo	Porto-Novo
Amman	Amano
Yaoundé	Jaundeo
Sulawesi	Sulaveso
Malabo	Malabo
Beirut	Bejruto
Libreville	Librevilo
Muscat	Maskato
Bangui	Bango
Kinshasa	Kinŝaso
Brazzaville	Brazavilo
Gini-Nuadh an Iar	Okcidenta Nov-Gvineo
Worms	Worms
Bujumbura	Buĵumburo
Nicosia	Nikozio
Kigali	Kigalo
Doha	Doho
Dodoma	Dodomao
Nairobi	Najrobo
Lilongwe	Lilongvo
Neumünster	Neumünster
Lusaka	Lusako
Manama	Manamo
Maputo	Maputo
Kampala	Kampalo
Luanda	Luando
Moroni	Moronio
Mbabane	Mbabano
Galicia	Galegio
Maseru	Maseruo
Antananarivo	Antananarivo
Oilthigh	Universitato
Gaborone	Gaberono
Harare	Harareo
Detmold	Detmold
Pretoria	Pretorio
Port Louis	Port-Luiso
São Tomé	Sao-Tomeo
Prionnsachd Asturias	Asturio
Windhoek	Vindhuko
Uicipeid:Tigh-cluiche	Vikipedio:Provejo
Victoria (na h-Eileanan Sheiseall)	Viktorio (Sejŝeloj)
Uicipeid:Ro-ràdh	Vikipedio:Bonvenon al Vikipedio
Cantàbria	Kantabrio
Taigh	Domo
Baile	Taŭno
Bathar-cruaidh	Aparataro
Neuwied	Neuwied
Ailseabra	Algebro
Dùthaich nam Basgach	Eŭska Aŭtonoma Komunumo
Nafarroa	Navaro
Abhainn	Rivero
Osasco	Osasco (San-Paŭlo)
Aragón	Aragono
Euskirchen	Euskirchen
Fàsach Bheag na Gainmhich	Malgranda Sablodezerto
Glaschu	Glasgovo
Greifswald	Greifswald
Reul-chuairt	Orbito
Port Adhair Dong Hoi	Flughaveno Dong Hoi
Fèin-eachdraidh	Aŭtobiografio
Luzern	Lucerno
Curitiba	Kuritibo
Feòrag	Rufa sciuro
Pangaea	Pangeo
Coille	Arbaro
Zichyújfalu	Zichyújfalu
Pàpa Pius VIII	Pio la 8-a
Pàpa Beinidict XV	Benedikto la 15-a
Cabhlach	Mararmeo
Sean Connery	Sean Connery
Gnàth-fhacail	Sentencoj de Salomono
Anne Frank	Anne Frank
Confucius	Konfuceo
Corbin Bleu	Corbin Bleu
Roinn-seòrsa:Matamataig	Kategorio:Matematiko
Na h-Eileanan Fàro	Ferooj
Mohamed Morsi	Mohamed Mursi
Ath-bheòthachadh	Renesanco
Oamaru	Oamaru
Nead	Nesto
1488	1488
Euro	Eŭro
Am Muir Meadhan-thìreach	Mediteraneo
Crìosdaidheachd	Kristanismo
1004	1004
Seattle, Washington	Seattle
Baltimore, Maryland	Baltimore (Marilando)
Mòr-roinn	Kontinento
Adelaide	Adelajdo
Eun	Birdoj
Prìomh-bhaile	Ĉefurbo
Monzón	Monzono
Portagailis	Portugala lingvo
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
1949	1949
Almazán	Almazán
Huang Sianfan	Huang Senfan
Quechua	Keĉua lingvaro
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
1944	1944
1952	1952
Bill Gates	Bill Gates
Seapanais	Japana lingvo
Leabhar-eòlais	Enciklopedio
Prìomh-Dhuilleag	Vikipedio:Ĉefpaĝo
1959	1959
1957	1957
1214	1214
1215	1215
Ball-stèidhe	Basbalo
Ball-basgaid	Korbopilkado
1216	1216
Criogaid	Kriketo
Goilf	Golfo (sporto)
Rugbaidh	Rugbeo
1217	1217
1218	1218
1219	1219
Na h-Olympics	Olimpiaj ludoj
1220	1220
1221	1221
1222	1222
1223	1223
Eoràisia	Eŭrazio
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
1230	1230
1231	1231
1232	1232
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
1238	1238
1239	1239
1240	1240
1241	1241
1242	1242
1243	1243
1244	1244
1245	1245
1246	1246
Beanntan na h-Andes	Andoj
Na Beanntan Creagach	Roka Montaro
Cape Town	Kaburbo
1247	1247
1248	1248
Muir Caspach	Kaspio
1249	1249
1250	1250
Loch Erie	Eria Lago
1251	1251
1252	1252
1253	1253
1254	1254
1255	1255
1256	1256
1257	1257
1258	1258
1259	1259
1260	1260
1261	1261
1262	1262
1263	1263
Loch Baikal	Bajkalo
1264	1264
1265	1265
1266	1266
1267	1267
1268	1268
1269	1269
1270	1270
1271	1271
1272	1272
1273	1273
1274	1274
1275	1275
1276	1276
1277	1277
1278	1278
1279	1279
1280	1280
1281	1281
1282	1282
1283	1283
1284	1284
1285	1285
1286	1286
1287	1287
1288	1288
1289	1289
1290	1290
1291	1291
1292	1292
1293	1293
1294	1294
1295	1295
1296	1296
1297	1297
1298	1298
1299	1299
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Mikelanĝelo
Rembrandt	Rembrandt Harmenszoon van Rijn
Frank Lloyd Wright	Frank Lloyd Wright
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Hans Christian Andersen	Hans Christian Andersen
Cervantes	Miguel de Cervantes
Charles Dickens	Charles Dickens
Åland	Alando
Catalòinia	Katalunio
1306	1306
1307	1307
Co-chomann València	Valencilando
Philippe Pétain	Philippe Pétain
1308	1308
1309	1309
La Rioja (An Spàinn)	Provinco Rioĥo
1310	1310
1311	1311
1312	1312
1313	1313
Castilla y León	Kastilio kaj Leono
1314	1314
1315	1315
1316	1316
1317	1317
Castilla-La Mancha	Kastilio-Manĉo
1318	1318
Na h-Eileanan Balèarach	Balearoj
1319	1319
1320	1320
1321	1321
1322	1322
1323	1323
Murcia (provincia)	Murcia Regiono
1324	1324
1325	1325
Extremadura	Ekstremaduro
1326	1326
Andalusia	Andaluzio
1327	1327
1328	1328
Mecca	Mekko
Che Guevara	Che Guevara
Na h-Eileanan Canàrach	Kanarioj
Mao Zedong	Mao Zedong
Córdoba, An Spàinn	Kordovo (Hispanio)
Ceuta	Ceŭto
Melilla	Melilo
Kabul	Kabulo
Aonadh Rugbaidh	Rugbeo 15
Vukovar	Vukovar
Lhasa	Lasao
Dàirich	Amoro
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Faighean	Vagino
Tamailis	Tamila lingvo
Feallsanachd	Filozofio
1329	1329
Aachener Dom	Katedralo de Akeno
Huntington Beach, Calafòrnia	Huntington Beach
Orange County, Calafòrnia	Kantono Orange (Kalifornio)
James Brown	James Brown
Roinn-seòrsa:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
Buddy Holly	Buddy Holly
1330	1330
1331	1331
1332	1332
1333	1333
1334	1334
Rap	Repo
1335	1335
1336	1336
Dada	Dadaismo
1337	1337
1338	1338
1339	1339
1340	1340
1341	1341
1342	1342
1343	1343
1344	1344
1345	1345
1346	1346
1347	1347
1348	1348
1349	1349
1350	1350
Tì	Teo
Marco Polo	Marko Polo
1351	1351
Hebe Camargo	Hebe Camargo
1400	1400
1401	1401
1352	1352
1402	1402
1353	1353
1403	1403
1354	1354
1404	1404
1355	1355
1405	1405
1500	1500
1406	1406
1356	1356
1501	1501
1407	1407
1357	1357
1502	1502
1408	1408
1358	1358
1503	1503
1359	1359
1409	1409
1504	1504
1360	1360
1410	1410
1505	1505
1506	1506
1411	1411
1361	1361
1507	1507
1412	1412
1362	1362
1413	1413
1508	1508
1363	1363
1509	1509
1414	1414
1510	1510
1415	1415
1364	1364
Co-mhaoineas	Komunismo
1511	1511
1416	1416
1365	1365
1512	1512
1417	1417
1366	1366
Ain-Riaghailteachd	Anarkiismo
1513	1513
1418	1418
1367	1367
1514	1514
1419	1419
Calpachas	Kapitalismo
1368	1368
1515	1515
1420	1420
1369	1369
1516	1516
1421	1421
Libearalas	Liberalismo
1370	1370
Faisisteachas	Faŝismo
Sathara an Iar	Okcidenta Saharo
1371	1371
Dùthaich	Lando
1372	1372
1373	1373
1422	1422
1517	1517
Nàisean	Nacio
1423	1423
1518	1518
1374	1374
1424	1424
1375	1375
1519	1519
1376	1376
1425	1425
1520	1520
1521	1521
1377	1377
1426	1426
1522	1522
1523	1523
1427	1427
1378	1378
1524	1524
1525	1525
1428	1428
1379	1379
1526	1526
1429	1429
1380	1380
1381	1381
1382	1382
1383	1383
1430	1430
1431	1431
Indianapolis, Indiana	Indianapolis
1384	1384
1432	1432
1385	1385
1386	1386
1433	1433
1387	1387
1434	1434
1435	1435
1388	1388
Brabhsair-lìn	TTT-legilo
1436	1436
1389	1389
1437	1437
1390	1390
1438	1438
1391	1391
1439	1439
1392	1392
1440	1440
1393	1393
1394	1394
1395	1395
1441	1441
1396	1396
1397	1397
1442	1442
1527	1527
1528	1528
1398	1398
1443	1443
1444	1444
1529	1529
1399	1399
1445	1445
1530	1530
1446	1446
1531	1531
1447	1447
1532	1532
1448	1448
1533	1533
1449	1449
1534	1534
1450	1450
1535	1535
1451	1451
1536	1536
1452	1452
1537	1537
Département	Departementoj de Francio
1453	1453
1538	1538
1454	1454
1539	1539
1455	1455
1540	1540
Roinn-seòrsa:Reul-eòlas	Kategorio:Astronomio
1541	1541
1456	1456
1457	1457
1542	1542
1458	1458
1543	1543
1459	1459
1544	1544
Jean-Jacques Rousseau	Jean-Jacques Rousseau
1460	1460
1545	1545
1461	1461
1546	1546
Günter Grass	Günter Grass
1462	1462
1547	1547
1463	1463
1548	1548
1464	1464
1549	1549
1465	1465
1550	1550
Belluno	Beluno
1466	1466
1551	1551
1467	1467
1468	1468
1552	1552
1469	1469
1553	1553
1470	1470
1554	1554
Hamstair	Hamstroj
1471	1471
1555	1555
Carcassonne	Karkasuno
Fàsach Sahara	Saharo
1472	1472
1556	1556
Spekulatius	Spekulaco
Gwened	Vannes
1473	1473
1557	1557
1474	1474
1558	1558
1475	1475
1559	1559
1476	1476
1560	1560
1477	1477
1478	1478
1561	1561
1479	1479
1562	1562
1480	1480
1563	1563
1481	1481
1564	1564
1482	1482
1565	1565
Co-ghnèitheachd	Samseksemo
1483	1483
1566	1566
1484	1484
1567	1567
1485	1485
1486	1486
1568	1568
1487	1487
1569	1569
Croatais	Kroata lingvo
1570	1570
Cesena	Cesena
1489	1489
1571	1571
1490	1490
1572	1572
1491	1491
1573	1573
1492	1492
1574	1574
1493	1493
1575	1575
Homer	Homero
1494	1494
1495	1495
1496	1496
1576	1576
1497	1497
1577	1577
1498	1498
1578	1578
1499	1499
1579	1579
1580	1580
1581	1581
1582	1582
1600	1600
1601	1601
1583	1583
1602	1602
1584	1584
1603	1603
1585	1585
1604	1604
1586	1586
1605	1605
1587	1587
1606	1606
1607	1607
1588	1588
1608	1608
1589	1589
1609	1609
1590	1590
1610	1610
1591	1591
1611	1611
1592	1592
1612	1612
1593	1593
1613	1613
1594	1594
1614	1614
1595	1595
1615	1615
1596	1596
1616	1616
1597	1597
1617	1617
1598	1598
1618	1618
1599	1599
1619	1619
1620	1620
1621	1621
1700	1700
1701	1701
1622	1622
1623	1623
1702	1702
1624	1624
1703	1703
1704	1704
1625	1625
1705	1705
1626	1626
1627	1627
1706	1706
Wittenberg	Wittenberg
1628	1628
1707	1707
1708	1708
1629	1629
1630	1630
1709	1709
1631	1631
1710	1710
1632	1632
1711	1711
1633	1633
1712	1712
1634	1634
1713	1713
1800	1800
1801	1801
1714	1714
1635	1635
1802	1802
1715	1715
1636	1636
1803	1803
1637	1637
1716	1716
1638	1638
1804	1804
1717	1717
1639	1639
1805	1805
1718	1718
1640	1640
1719	1719
1806	1806
1641	1641
1720	1720
1807	1807
1642	1642
1721	1721
1808	1808
1643	1643
1722	1722
1809	1809
1644	1644
1723	1723
1810	1810
1645	1645
1724	1724
20mh Linn	20-a jarcento
1811	1811
1646	1646
1725	1725
1812	1812
1647	1647
1726	1726
1813	1813
21mh Linn	21-a jarcento
1648	1648
1727	1727
1814	1814
1649	1649
1728	1728
1815	1815
1650	1650
1729	1729
1816	1816
19mh Linn	19-a jarcento
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
1660	1660
1739	1739
1826	1826
1661	1661
1740	1740
1827	1827
18mh Linn	18-a jarcento
17mh Linn	17-a jarcento
16mh Linn	16-a jarcento
15mh Linn	15-a jarcento
Lugano	Lugano
Catalanais	Kataluna lingvo
14mh Linn	14-a jarcento
Girona	Ĝirono
13mh Linn	13-a jarcento
12na linn	12-a jarcento
11mh Linn	11-a jarcento
Neo-dhiadhaireachd	Ateismo
Stendal	Stendal
Eag-eòlas	Ekologio
Gintinneachd	Genetiko
Poilitigs	Politiko
Deamocrasaidh	Demokratio
Naguib Mahfouz	Naguib Mahfouz
Marie Curie	Marie Curie
Duais Nobel	Nobel-premio
Qin Shi Huang	Qin Shihuangdi
Girona (provincia)	Provinco Ĝirono
An Ear Mheadhanach	Mezoriento
Ban-rìgh Ealasaid I	Elizabeto la 1-a (Anglio)
Rabindranath Tagore	Rabindranath Tagore
Lev Tolstoj	Lev Tolstoj
Aon-adharcach (each)	Unukornulo
Alan Turing	Alan Turing
Boireann-dhligheachas	Feminismo
Marxachas	Marksismo
Sòisealachd	Socialismo
Pàrtaidh phoileatagach	Partio (politiko)
Kilimanjaro	Kilimanĝaro
Antonín Dvořák	Antonín Dvořák
Georg Friedrich Händel	Georg Friedrich Händel
Giacomo Puccini	Giacomo Puccini
Giuseppe Verdi	Giuseppe Verdi
A' Ghearmailt Nàsach	Nazia Germanio
Cristoforo Colombo	Kristoforo Kolumbo
James Cook	James Cook
Ûrij Gagarin	Jurij Aleksejeviĉ Gagarin
Vasco da Gama	Vasco da Gama
An Cuan a Deas	Suda Oceano
Cluas	Orelo
Sròn	Nazo (organo)
Sùil	Okulo
Òran	Kanto
Caora	Ŝafo
Cearban (iasg)	Ŝarko
Càmhal	Kamelo
Mamal	Mamuloj
Ailbhean	Elefanto
Seillean	Abelo
Bathar-bog	Programaro
Duitsis	Nederlanda lingvo
Margaret Thatcher	Margaret Thatcher
Richard Stallman	Richard Stallman
Irène Joliot-Curie	Irène Joliot-Curie
Deimos	Dejmo (luno)
Màthair	Patrino
Sneachd	Neĝo
Athair	Patro
Pàrant	Generinto
Pàiste	Infano
1828	1828
1829	1829
1741	1741
1662	1662
1742	1742
1830	1830
1663	1663
1831	1831
1743	1743
1664	1664
1665	1665
1744	1744
1832	1832
1666	1666
1745	1745
1833	1833
1667	1667
1746	1746
Giùlan	Transporto
1834	1834
1668	1668
1747	1747
1835	1835
1748	1748
1836	1836
1669	1669
1670	1670
1749	1749
1837	1837
Wildebeest	Gnuo
1671	1671
1750	1750
1838	1838
1672	1672
1751	1751
1839	1839
1673	1673
1752	1752
1840	1840
1674	1674
1753	1753
1841	1841
1754	1754
1675	1675
1842	1842
1755	1755
1676	1676
1843	1843
1677	1677
1756	1756
1844	1844
1678	1678
1757	1757
1845	1845
1679	1679
1758	1758
1846	1846
1680	1680
1759	1759
1847	1847
1681	1681
1760	1760
1848	1848
1682	1682
1761	1761
1849	1849
1683	1683
1762	1762
1850	1850
1684	1684
1763	1763
1851	1851
1764	1764
1685	1685
1852	1852
1686	1686
1765	1765
1853	1853
1687	1687
1766	1766
1854	1854
1688	1688
1767	1767
1855	1855
1689	1689
1768	1768
1856	1856
1690	1690
1769	1769
1857	1857
1691	1691
1770	1770
1858	1858
1692	1692
1771	1771
1859	1859
1693	1693
1772	1772
1860	1860
1773	1773
1861	1861
1694	1694
1695	1695
1774	1774
1862	1862
1696	1696
1775	1775
1863	1863
1697	1697
1776	1776
1864	1864
1698	1698
Uisge-polo	Akvopilkado
1865	1865
