Áfríkà	Afriko
Oṣù Kínní 24	24-a de januaro
Oṣù Kínní 25	25-a de januaro
Minsk	Minsko
Oṣù Kínní 26	26-a de januaro
Microsoft	Microsoft
Oṣù Kínní 27	27-a de januaro
28 January	28-a de januaro
Oṣù Kínní 29	29-a de januaro
Oṣù Kínní 30	30-a de januaro
Oṣù Kínní 31	31-a de januaro
Prótọ̀nù	Protono
2 December	2-a de decembro
1 December	1-a de decembro
3 December	3-a de decembro
7 December	7-a de decembro
5 December	5-a de decembro
8 December	8-a de decembro
10 December	10-a de decembro
6 December	6-a de decembro
9 December	9-a de decembro
4 December	4-a de decembro
1 February	1-a de februaro
2 February	2-a de februaro
3 February	3-a de februaro
Kurów	Kurów
4 February	4-a de februaro
5 February	5-a de februaro
6 February	6-a de februaro
7 February	7-a de februaro
8 February	8-a de februaro
9 February	9-a de februaro
10 February	10-a de februaro
Kẹ́místrì	Kemio
14 February	14-a de februaro
13 February	13-a de februaro
15 February	15-a de februaro
11 February	11-a de februaro
12 February	12-a de februaro
Smolensk	Smolensk
19 February	19-a de februaro
17 February	17-a de februaro
16 February	16-a de februaro
18 February	18-a de februaro
20 February	20-a de februaro
21 February	21-a de februaro
22 February	22-a de februaro
23 February	23-a de februaro
24 February	24-a de februaro
25 February	25-a de februaro
26 February	26-a de februaro
27	27
27 February	27-a de februaro
28 February	28-a de februaro
11 December	11-a de decembro
29 February	29-a de februaro
12 December	12-a de decembro
C Sharp	C dieso (programlingvo)
13 December	13-a de decembro
14 December	14-a de decembro
15 December	15-a de decembro
2 March	2-a de marto
3 March	3-a de marto
5 March	5-a de marto
1 March	1-a de marto
7 March	7-a de marto
8 March	8-a de marto
4 March	4-a de marto
10 March	10-a de marto
11 March	11-a de marto
6 March	6-a de marto
13 March	13-a de marto
9 March	9-a de marto
12 March	12-a de marto
15 March	15-a de marto
14 March	14-a de marto
C++	C++
16 December	16-a de decembro
17 December	17-a de decembro
16 March	16-a de marto
17 March	17-a de marto
18 March	18-a de marto
19 March	19-a de marto
1989	1989
1988	1988
20 March	20-a de marto
1987	1987
1986	1986
1985	1985
1984	1984
21 March	21-a de marto
1983	1983
22 March	22-a de marto
1982	1982
1981	1981
18 December	18-a de decembro
1980	1980
23 March	23-a de marto
Mogadishu	Mogadiŝo
19 December	19-a de decembro
24 March	24-a de marto
25 March	25-a de marto
20 December	20-a de decembro
26 March	26-a de marto
27 March	27-a de marto
28 March	28-a de marto
29 March	29-a de marto
30 March	30-a de marto
31 March	31-a de marto
Nassau, Àwọn Bàhámà	Nasaŭo (Bahamoj)
Gáláksì Andromẹ́dà	Andromeda galaksio
Sana'a	Sanao
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Konrad Adenauer	Konrad Adenauer
Pópù Benedict 16k	Benedikto la 16-a
Ludwig Erhard	Ludwig Erhard
15 April	15-a de aprilo
13 April	13-a de aprilo
12 April	12-a de aprilo
14 April	14-a de aprilo
11 April	11-a de aprilo
10 April	10-a de aprilo
8 April	8-a de aprilo
9 April	9-a de aprilo
7 April	7-a de aprilo
6 April	6-a de aprilo
5 April	5-a de aprilo
4 April	4-a de aprilo
3 April	3-a de aprilo
1 April	1-a de aprilo
2 April	2-a de aprilo
Kurt Georg Kiesinger	Kurt Georg Kiesinger
Tẹ́lískópù Òfurufú Hubble	Kosmoteleskopo Hubble
Willy Brandt	Willy Brandt
Helmut Schmidt	Helmut Schmidt
Helmut Kohl	Helmut Kohl
16 April	16-a de aprilo
17 April	17-a de aprilo
18 April	18-a de aprilo
19 April	19-a de aprilo
20 April	20-a de aprilo
21 April	21-a de aprilo
22 April	22-a de aprilo
23 April	23-a de aprilo
24 April	24-a de aprilo
Gerhard Schröder	Gerhard Schröder
25 April	25-a de aprilo
26 April	26-a de aprilo
27 April	27-a de aprilo
28 April	28-a de aprilo
29 April	29-a de aprilo
30 April	30-a de aprilo
Christian Wulff	Christian Wulff
Horst Köhler	Horst Köhler
1 May	1-a de majo
2 May	2-a de majo
3 May	3-a de majo
4 May	4-a de majo
5 May	5-a de majo
Johannes Rau	Johannes Rau
6 May	6-a de majo
7 May	7-a de majo
8 May	8-a de majo
9 May	9-a de majo
10 May	10-a de majo
11 May	11-a de majo
12 May	12-a de majo
13 May	13-a de majo
14 May	14-a de majo
15 May	15-a de majo
Roman Herzog	Roman Herzog
Richard von Weizsäcker	Richard von Weizsäcker
Karl Carstens	Karl Carstens
Walter Scheel	Walter Scheel
Gustav Heinemann	Gustav Heinemann
16 May	16-a de majo
17 May	17-a de majo
18 May	18-a de majo
19 May	19-a de majo
20 May	20-a de majo
21 May	21-a de majo
22 May	22-a de majo
Heinrich Lübke	Heinrich Lübke
23 May	23-a de majo
24 May	24-a de majo
25 May	25-a de majo
26 May	26-a de majo
27 May	27-a de majo
28 May	28-a de majo
29 May	29-a de majo
30 May	30-a de majo
31 May	31-a de majo
Theodor Heuss	Theodor Heuss
21 December	21-a de decembro
Pópù Pius 12k	Pio la 12-a
14 June	14-a de junio
15 June	15-a de junio
13 June	13-a de junio
10 June	10-a de junio
7 June	7-a de junio
11 June	11-a de junio
9 June	9-a de junio
12 June	12-a de junio
6 June	6-a de junio
8 June	8-a de junio
5 June	5-a de junio
3 June	3-a de junio
2 June	2-a de junio
1 June	1-a de junio
4 June	4-a de junio
Naples	Napolo
22 December	22-a de decembro
1968	1968
Friedrich Ebert	Friedrich Ebert
1967	1967
1966	1966
1965	1965
1964	1964
16 June	16-a de junio
30 June	30-a de junio
29 June	29-a de junio
28 June	28-a de junio
26 June	26-a de junio
25 June	25-a de junio
22 June	22-a de junio
27 June	27-a de junio
24 June	24-a de junio
20 June	20-a de junio
Paul von Hindenburg	Paul von Hindenburg
23 June	23-a de junio
19 June	19-a de junio
18 June	18-a de junio
21 June	21-a de junio
17 June	17-a de junio
23 December	23-a de decembro
15 July	15-a de julio
13 July	13-a de julio
12 July	12-a de julio
10 July	10-a de julio
9 July	9-a de julio
14 July	14-a de julio
8 July	8-a de julio
7 July	7-a de julio
6 July	6-a de julio
5 July	5-a de julio
2 July	2-a de julio
4 July	4-a de julio
3 July	3-a de julio
1 July	1-a de julio
11 July	11-a de julio
24 December	24-a de decembro
31 July	31-a de julio
30 July	30-a de julio
29 July	29-a de julio
28 July	28-a de julio
27 July	27-a de julio
25 July	25-a de julio
24 July	24-a de julio
23 July	23-a de julio
26 July	26-a de julio
22 July	22-a de julio
19 July	19-a de julio
21 July	21-a de julio
20 July	20-a de julio
17 July	17-a de julio
18 July	18-a de julio
16 July	16-a de julio
Bọ́ọ̀lù-ẹlẹ́sẹ̀	Futbalo
25 December	25-a de decembro
1963	1963
Lech Kaczyński	Lech Kaczyński
26 December	26-a de decembro
1962	1962
IPhone	IPhone
14 August	14-a de aŭgusto
15 August	15-a de aŭgusto
13 August	13-a de aŭgusto
12 August	12-a de aŭgusto
11 August	11-a de aŭgusto
10 August	10-a de aŭgusto
8 August	8-a de aŭgusto
7 August	7-a de aŭgusto
9 August	9-a de aŭgusto
5 August	5-a de aŭgusto
4 August	4-a de aŭgusto
2 August	2-a de aŭgusto
3 August	3-a de aŭgusto
6 August	6-a de aŭgusto
1 August	1-a de aŭgusto
27 December	27-a de decembro
Madrid	Madrido
16 August	16-a de aŭgusto
Kòká Kolà	Koka-kolao
29 August	29-a de aŭgusto
28 August	28-a de aŭgusto
30 August	30-a de aŭgusto
25 August	25-a de aŭgusto
26 August	26-a de aŭgusto
23 August	23-a de aŭgusto
27 August	27-a de aŭgusto
21 August	21-a de aŭgusto
20 August	20-a de aŭgusto
24 August	24-a de aŭgusto
18 August	18-a de aŭgusto
17 August	17-a de aŭgusto
22 August	22-a de aŭgusto
19 August	19-a de aŭgusto
31 August	31-a de aŭgusto
Michael Jackson	Michael Jackson
28 December	28-a de decembro
Freiburg	Freiburg
Àrùn òtútù	Gripo
Bogotá	Bogoto
Bràsílíà	Braziljo
15 September	15-a de septembro
14 September	14-a de septembro
13 September	13-a de septembro
12 September	12-a de septembro
8 September	8-a de septembro
11 September	11-a de septembro
7 September	7-a de septembro
10 September	10-a de septembro
5 September	5-a de septembro
4 September	4-a de septembro
9 September	9-a de septembro
2 September	2-a de septembro
6 September	6-a de septembro
1 September	1-a de septembro
3 September	3-a de septembro
29 December	29-a de decembro
Alexander Lukashenko	Aleksandro Lukaŝenko
Lima	Limo
30 September	30-a de septembro
29 September	29-a de septembro
28 September	28-a de septembro
27 September	27-a de septembro
26 September	26-a de septembro
25 September	25-a de septembro
Santiago	Santiago de Ĉilio
23 September	23-a de septembro
22 September	22-a de septembro
24 September	24-a de septembro
21 September	21-a de septembro
20 September	20-a de septembro
18 September	18-a de septembro
17 September	17-a de septembro
Orílẹ̀-èdè Olómìnira Sófìẹ̀tì Sósíálístì Bẹ́lárùs	Belorusa Soveta Socialisma Respubliko
19 September	19-a de septembro
16 September	16-a de septembro
Quito	Kito
30 December	30-a de decembro
Sucre	Sukro
31 December	31-a de decembro
1 October	1-a de oktobro
15 October	15-a de oktobro
12 October	12-a de oktobro
10 October	10-a de oktobro
14 October	14-a de oktobro
9 October	9-a de oktobro
8 October	8-a de oktobro
13 October	13-a de oktobro
7 October	7-a de oktobro
11 October	11-a de oktobro
6 October	6-a de oktobro
4 October	4-a de oktobro
5 October	5-a de oktobro
3 October	3-a de oktobro
2 October	2-a de oktobro
Asunción	Asunciono
Ewúrẹ́	Hejma kapro
31 October	31-a de oktobro
30 October	30-a de oktobro
29 October	29-a de oktobro
28 October	28-a de oktobro
26 October	26-a de oktobro
25 October	25-a de oktobro
24 October	24-a de oktobro
27 October	27-a de oktobro
22 October	22-a de oktobro
23 October	23-a de oktobro
20 October	20-a de oktobro
21 October	21-a de oktobro
19 October	19-a de oktobro
17 October	17-a de oktobro
16 October	16-a de oktobro
18 October	18-a de oktobro
Heidelberg	Heidelberg
15 November	15-a de novembro
14 November	14-a de novembro
13 November	13-a de novembro
12 November	12-a de novembro
11 November	11-a de novembro
10 November	10-a de novembro
7 November	7-a de novembro
8 November	8-a de novembro
9 November	9-a de novembro
6 November	6-a de novembro
5 November	5-a de novembro
4 November	4-a de novembro
3 November	3-a de novembro
2 November	2-a de novembro
1 November	1-a de novembro
Paramaribo	Paramaribo
30 November	30-a de novembro
29 November	29-a de novembro
28 November	28-a de novembro
27 November	27-a de novembro
26 November	26-a de novembro
25 November	25-a de novembro
23 November	23-a de novembro
24 November	24-a de novembro
21 November	21-a de novembro
20 November	20-a de novembro
22 November	22-a de novembro
19 November	19-a de novembro
18 November	18-a de novembro
17 November	17-a de novembro
16 November	16-a de novembro
Göttingen	Göttingen
Kathmandu	Katmanduo
Hudson Bay	Hudsona Golfo
Belmopan	Belmopano
Charlemagne	Karolo la Granda
San José, Kóstá Rikà	San-Joseo (Kostariko)
San Salvador	San-Salvadoro
Canberra	Kanbero
Sydney	Sidnejo
Melbourne	Melburno
Iná	Fajro
Ojúọ̀run ayé	Atmosfero (tero)
Tegucigalpa	Tegucigalpo
Managua	Managvo
Ìlú Panamá	Panamurbo
10427 Klinkenberg	10427 Klinkenberg
George Orwell	George Orwell
Nílò	Nilo
Odò Niger	Niĝero (rivero)
Rabat	Rabato
Algiers	Alĝero
Tunis	Tunizo
Tripoli	Tripolo
Ìlú Djibouti	Ĝibuto
Tehran	Teherano
Addis Ababa	Adis-Abebo
Jakarta	Ĝakarto
Ankara	Ankaro
Asmara	Asmaro
N'Djamena	Nĵameno
Niamey	Niameo
Nouakchott	Nuakŝoto
Riyadh	Riado
1961	1961
Bamako	Bamako
Belgrade	Beogrado
Dakar	Dakaro
Banjul	Banĵulo
Conakry	Konakrio
Bissau	Bisaŭo
Ẹ̀ka:Àdàkọ Wikipedia	Kategorio:Vikipedio:Ŝablonoj
Monrovia	Monrovio
Praia	Prajo
1960	1960
Ẹ̀ka:Àdàkọ	Kategorio:Ŝablono:laŭ temo
Aakrá	Akrao
Dàmáskù	Damasko
Yamoussoukro	Jamusukro
Gùyánà Fránsì	Franca Gviano
Ouagadougou	Uagaduguo
Freetown	Fritaŭno
Odò Amasónì	Amazono (rivero)
Abùjá	Abuĝo
Lomé	Lomeo
Porto-Novo	Porto-Novo
Amman	Amano
Tübingen	Tübingen
Yaoundé	Jaundeo
Malabo	Malabo
Beirut	Bejruto
Libreville	Librevilo
Muscat	Maskato
Bangui	Bango
Kinshasa	Kinŝaso
Brazzaville	Brazavilo
Ẹ̀ka:Àwọn àdàkọ orílẹ̀-èdè	Kategorio:Ŝablono:laŭ lando
Bujumbura	Buĵumburo
Nicosia	Nikozio
Kigali	Kigalo
Doha	Doho
Dodoma	Dodomao
Nairobi	Najrobo
Lilongwe	Lilongvo
Lusaka	Lusako
Manama	Manamo
Ìsúlẹ̀ Òòrùn	Suna eklipso
Maputo	Maputo
Kampala	Kampalo
Luanda	Luando
Moroni, Comoros	Moronio
Mbabane	Mbabano
Maseru	Maseruo
Albert 2k ilẹ̀ Mónakò	Alberto la 2-a (Monako)
Albert 2k ilẹ̀ Bẹ́ljíọ̀m	Alberto la 2-a (Belgio)
Antananarivo	Antananarivo
Yunifásítì	Universitato
Gaborone	Gaberono
Harare	Harareo
Grace Kelly	Grace Kelly
Pretoria	Pretorio
Port Louis	Port-Luiso
São Tomé	Sao-Tomeo
Windhoek	Vindhuko
Wikipedia:Àpótí àdánwò	Vikipedio:Provejo
Victoria, Ṣèíhẹ́lẹ́sì	Viktorio (Sejŝeloj)
Austrálíà (orílẹ̀)	Aŭstralia kontinento
Áljẹ́brà	Algebro
Odò	Rivero
Duke Ellington	Duke Ellington
Osasco	Osasco (San-Paŭlo)
36 SK	-36
20 SK	-20
40 SK	-40
39 SK	-39
37 SK	-37
22 SK	-22
Ammonia	Amoniako
38 SK	-38
Fujairah	Fuĵajro
Glasgow	Glasgovo
28 SK	-28
18 SK	-18
15 SK	-15
33 SK	-33
30 SK	-30
12 SK	-12
Pápá Ọkọ̀ Òfurufú Đồng Hới	Flughaveno Dong Hoi
Òfurufú	Ekstertero
45 SK	-45
46 SK	-46
Ìwéìgbésíayéaraẹni	Aŭtobiografio
41 SK	-41
49 SK	-49
42 SK	-42
25 SK	-25
47 SK	-47
10 SK	-10
Tẹ́lískópù	Teleskopo
Ẹ̀ka:Ìtàn ilẹ̀ Benin	Kategorio:Historio de Benino
Peter Abelard	Abelardo
Arusha	Arusha
Àkójọ àwọn èdè gẹ́gẹ́ bíi iye àwọn afisọ̀rọ̀ abínibí	Listo de lingvoj laŭ parolantaro
Kùrìtíbà	Kuritibo
Ẹ̀ka:Àwọn àgbájọ gẹ́gẹ́ bíi orí-ọ̀rọ̀	Kategorio:Organizaĵoj laŭ fakoj
Dọ́là Tufalu	Tuvala dolaro
Ìwọòrùn Áfríkà	Okcidentafriko
Ẹ̀ka:1888	Kategorio:1888
Pópù Pius 8k	Pio la 8-a
Pópù Benedict 15k	Benedikto la 15-a
Ẹ̀ka:Àwọn olóṣèlú Sófìẹ̀tì	Kategorio:Sovetianoj
(10003) 1971 UD1	(10003) 1971 UD1
Àmì ọ̀pá àṣẹ ilẹ̀ Perú	Blazono de Peruo
Sean Connery	Sean Connery
Àsìá ilẹ̀ àwọn Erékùṣù Fàróè	Flago de la Ferooj
Ìwé Jóòbù	Libro de Ijob
Ìwé Òwe	Sentencoj de Salomono
Ariary	Malagasa ariaro
Léònè	Sieraleona leono
Tala	Samoa talao
Shilling Tànsáníà	Tanzania ŝilingo
Escudo Kepu Ferde	Kaboverda eskudo
Dọ́là Fíjì	Fiĝia dolaro
Rajiv Gandhi	Rajiv Gandhi
Franki Djìbútì	Ĝibutia franko
Rupee Ṣèíhẹ́lẹ́sì	Sejŝela rupio
Rupee Sri Lanka	Srilanka rupio
Dọ́là àwọn Erékùsù Sólómọ́nì	Salomona dolaro
Shilling Ùgándà	Uganda ŝilingo
Àdàkọ:Location map Turkey	Ŝablono:Situo sur mapo Turkio
Dinar Tùnísíà	Tunizia dinaro
Shilling Sòmálíà	Somalia ŝilingo
Kọnfukiọsi	Konfuceo
Lari	Lario
Pa'anga	Tonga paangao
Corbin Bleu	Corbin Bleu
Ẹ̀ka:Mathimátíkì	Kategorio:Matematiko
Àwọn Erékùṣù Fàróè	Ferooj
Mohamed Morsi	Mohamed Mursi
Ẹ̀ka:Ìtàn ilẹ̀ Mòrókò	Kategorio:Historio de Maroko
Àsìá ilẹ̀ Kíprù	Flago de Kipro
Barbra Streisand	Barbra Streisand
107 SK	-107
143 SK	-143
Lempira	Hondura lempiro
126 SK	-126
Peso Mẹ́ksíkò	Meksika peso
Franki Kóngò	Konga franko
Porfirio Lobo Sosa	Porfirio Lobo Sosa
Franki Rùwándà	Ruanda franko
116 SK	-116
136 SK	-136
113 SK	-113
140 SK	-140
150 SK	-150
Lilangeni	Svazilanda lilangenio
Ẹ̀ka:Àwọn ọjọ́ìbí ní 1888	Kategorio:Naskiĝintoj en 1888
130 SK	-130
1488	1488
(6427) 1995 FY	(6427) 1995 FY
Euro	Eŭro
Dọ́là Orílẹ̀-èdè Amẹ́ríkà	Usona dolaro
Òkun Mẹditéránì	Mediteraneo
Orin-ìyìn Orílẹ̀-èdè Perú	Nacia Himno de Peruo
Hermann Melville	Herman Melville
Ẹ̀ka:Àwọn yunifásítì ní orílẹ̀-èdè kọ̀ọ̀kan	Kategorio:Universitatoj laŭ landoj
Ẹ̀sìn Krístì	Kristanismo
1004	1004
Seattle	Seattle
Baltimore	Baltimore (Marilando)
Celine Dion	Céline Dion
Orílẹ̀	Kontinento
Èdè Abkhaz	Abĥaza lingvo
Ẹyẹ	Birdoj
Olúìlú	Ĉefurbo
Monzón	Monzono
Àdàkọ:Ẹ̀sìn ìmàle	Ŝablono:Islamo
Èdè Pọtogí	Portugala lingvo
Oṣù	Monato
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
1948	1948
1949	1949
Huang Xianfan	Huang Senfan
1956	1956
1200	1200
1201	1201
1202	1202
1203	1203
1204	1204
1205	1205
1206	1206
1941	1941
1207	1207
1208	1208
1945	1945
1209	1209
1210	1210
1211	1211
1958	1958
1212	1212
1926	1926
1213	1213
1947	1947
1944	1944
1952	1952
Díámọ̀ndì	Diamanto
Bill Gates	Bill Gates
Èdè Japaní	Japana lingvo
DVD	DVD
Ojúewé Àkọ́kọ́	Vikipedio:Ĉefpaĝo
1959	1959
Àdàkọ:Àyọkà dáradára	Ŝablono:Leginda
1957	1957
1214	1214
1215	1215
Bọ́ọ̀lù-alápẹ̀rẹ̀	Korbopilkado
1216	1216
1217	1217
1218	1218
1219	1219
Àwọn Ìdíje Òlímpíkì	Olimpiaj ludoj
1220	1220
1221	1221
1222	1222
1223	1223
Ẹurásíà	Eŭrazio
1224	1224
1225	1225
1226	1226
1227	1227
1228	1228
1229	1229
1230	1230
1231	1231
1232	1232
1233	1233
1234	1234
1235	1235
1236	1236
1237	1237
1238	1238
1239	1239
1240	1240
1241	1241
1242	1242
1243	1243
1244	1244
1245	1245
1246	1246
Himalaya	Himalajo
Cape Town	Kaburbo
Durban	Durbano
1247	1247
1248	1248
1249	1249
1250	1250
1251	1251
1252	1252
1253	1253
1254	1254
1255	1255
1256	1256
1257	1257
1258	1258
1259	1259
1260	1260
1261	1261
1262	1262
1263	1263
1264	1264
1265	1265
1266	1266
1267	1267
1268	1268
1269	1269
1270	1270
1271	1271
1272	1272
1273	1273
1274	1274
1275	1275
1276	1276
1277	1277
1278	1278
1279	1279
1280	1280
1281	1281
1282	1282
1283	1283
1284	1284
1285	1285
1286	1286
1287	1287
1288	1288
1289	1289
1290	1290
1291	1291
1292	1292
1293	1293
1294	1294
1295	1295
1296	1296
1297	1297
1298	1298
1299	1299
Salvador Dalí	Salvador Dalí
Vincent van Gogh	Vincent van Gogh
Hokusai	Katsushika Hokusai
Michelangelo	Mikelanĝelo
Pablo Picasso	Pablo Picasso
Rembrandt	Rembrandt Harmenszoon van Rijn
Eminem	Eminem
1300	1300
1301	1301
1302	1302
1303	1303
1304	1304
1305	1305
Matsuo Bashō	Matsuo Basho
Lord Byron	George Byron
Miguel de Cervantes	Miguel de Cervantes
Anton Chekhov	Anton Ĉeĥov
Charles Dickens	Charles Dickens
Àwọn Erékùṣù Åland	Alando
1306	1306
1307	1307
Philippe Pétain	Philippe Pétain
1308	1308
1309	1309
1310	1310
1311	1311
1312	1312
1313	1313
Adolphe Thiers	Adolphe Thiers
1314	1314
1315	1315
1316	1316
1317	1317
Pierre-Joseph Proudhon	Pierre-Joseph Proudhon
Peter Kropotkin	Petro Kropotkin
1318	1318
1319	1319
1320	1320
1321	1321
1322	1322
1323	1323
1324	1324
1325	1325
1326	1326
Àwọn Erékùṣù Káímàn	Kajmana Insularo
1327	1327
1328	1328
Mẹ́kkà	Mekko
Che Guevara	Che Guevara
Novak Djokovic	Novak Đoković
Àwọn Erékùṣù Kánárì	Kanarioj
Mao Zedong	Mao Zedong
Ceuta	Ceŭto
Melilla	Melilo
Kabul	Kabulo
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Èdè Tàmil	Tamila lingvo
Ìmòye	Filozofio
1329	1329
Chuck Berry	Chuck Berry
Jimi Hendrix	Jimi Hendrix
James Brown	James Brown
Ẹ̀ka:Àwọn ojúewé fún ìparẹ́ kíákíá	Kategorio:Tujforigendaj artikoloj
1330	1330
1331	1331
1332	1332
1333	1333
1334	1334
1335	1335
1336	1336
1337	1337
1338	1338
1339	1339
1340	1340
50 Cent	50 Cent
1341	1341
1342	1342
1343	1343
1344	1344
1345	1345
1346	1346
1347	1347
1348	1348
1349	1349
1350	1350
Snoop Dogg	Snoop Dogg
Marco Polo	Marko Polo
1351	1351
Hebe Camargo	Hebe Camargo
Portland	Portlando (Oregono)
Tupac Shakur	Tupac Shakur
1400	1400
1401	1401
1352	1352
1402	1402
1353	1353
1403	1403
1354	1354
1404	1404
1355	1355
1405	1405
1500	1500
1406	1406
1356	1356
1501	1501
1407	1407
1357	1357
1502	1502
1408	1408
1358	1358
1503	1503
1359	1359
1409	1409
1504	1504
1360	1360
1410	1410
1505	1505
1506	1506
1411	1411
1361	1361
1507	1507
1412	1412
1362	1362
1413	1413
1508	1508
1363	1363
1509	1509
1414	1414
1510	1510
1415	1415
1364	1364
Ìṣekọ́múnístì	Komunismo
1511	1511
1416	1416
1365	1365
1512	1512
1417	1417
1366	1366
Pepi 2k Neferkare	Pepi la 2-a
1513	1513
1418	1418
1367	1367
1514	1514
1419	1419
1368	1368
1515	1515
1420	1420
1369	1369
1516	1516
1421	1421
1370	1370
Apáìwọ̀orùn Sàhárà	Okcidenta Saharo
1371	1371
Orílẹ̀-èdè	Lando
1372	1372
1373	1373
1422	1422
1517	1517
Ìbínibí	Nacio
1423	1423
1518	1518
1374	1374
1424	1424
1375	1375
1519	1519
Joe Biden	Joe Biden
1376	1376
1425	1425
1520	1520
1521	1521
1377	1377
1426	1426
Hillary Rodham Clinton	Hillary Rodham Clinton
1522	1522
1523	1523
1427	1427
1378	1378
1524	1524
1525	1525
1428	1428
1379	1379
1526	1526
1429	1429
1380	1380
1381	1381
1382	1382
1383	1383
1430	1430
1431	1431
Indianapolis	Indianapolis
1384	1384
1432	1432
1385	1385
1386	1386
1433	1433
1387	1387
1434	1434
1435	1435
1388	1388
Web browser	TTT-legilo
1436	1436
1389	1389
1437	1437
1390	1390
1438	1438
1391	1391
1439	1439
1392	1392
1440	1440
1393	1393
1394	1394
1395	1395
1441	1441
1396	1396
1397	1397
1442	1442
1527	1527
1528	1528
1398	1398
1443	1443
1444	1444
1529	1529
1399	1399
1445	1445
Boeing 787	Boeing 787
1530	1530
1446	1446
1531	1531
1447	1447
1532	1532
1448	1448
1533	1533
1449	1449
1534	1534
1450	1450
1535	1535
1451	1451
1536	1536
1452	1452
1537	1537
1453	1453
1538	1538
1454	1454
1539	1539
1455	1455
1540	1540
Ẹ̀ka:Ìtòràwọ̀	Kategorio:Astronomio
Søren Kierkegaard	Søren Kierkegaard
1541	1541
1456	1456
1457	1457
1542	1542
1458	1458
1543	1543
1459	1459
1544	1544
Jean-Jacques Rousseau	Jean-Jacques Rousseau
1460	1460
1545	1545
1461	1461
1546	1546
Ìjídìde Fránsì	Franca revolucio de 1789
Günter Grass	Günter Grass
1462	1462
1547	1547
1463	1463
1548	1548
1464	1464
1549	1549
1465	1465
1550	1550
1466	1466
1551	1551
1467	1467
Ẹ̀ka:Àwọn atòràwọ̀	Kategorio:Astronomoj
1468	1468
1552	1552
1469	1469
1553	1553
1470	1470
1554	1554
1471	1471
1555	1555
Sàhárà	Saharo
1472	1472
1556	1556
1473	1473
1557	1557
1474	1474
1558	1558
1475	1475
1559	1559
1476	1476
1560	1560
1477	1477
1478	1478
1561	1561
1479	1479
1562	1562
1480	1480
1563	1563
1481	1481
1564	1564
1482	1482
1565	1565
1483	1483
1566	1566
1484	1484
1567	1567
1485	1485
1486	1486
1568	1568
1487	1487
1569	1569
Èdè Kroatíà	Kroata lingvo
1570	1570
1489	1489
1571	1571
1490	1490
1572	1572
1491	1491
1573	1573
1492	1492
1574	1574
1493	1493
1575	1575
Homer	Homero
1494	1494
1495	1495
1496	1496
1576	1576
1497	1497
1577	1577
1498	1498
1578	1578
1499	1499
1579	1579
1580	1580
1581	1581
1582	1582
1600	1600
Carl Friedrich Gauss	Carl Friedrich Gauss
1601	1601
1583	1583
1602	1602
1584	1584
1603	1603
1585	1585
1604	1604
1586	1586
1605	1605
1587	1587
1606	1606
1607	1607
1588	1588
1608	1608
1589	1589
1609	1609
1590	1590
1610	1610
1591	1591
1611	1611
1592	1592
1612	1612
1593	1593
1613	1613
1594	1594
1614	1614
1595	1595
1615	1615
1596	1596
1616	1616
1597	1597
1617	1617
1598	1598
1618	1618
1599	1599
1619	1619
1620	1620
1621	1621
1700	1700
1701	1701
1622	1622
1623	1623
1702	1702
1624	1624
1703	1703
1704	1704
1625	1625
1705	1705
1626	1626
1627	1627
1706	1706
1628	1628
1707	1707
1708	1708
1629	1629
1630	1630
1709	1709
1631	1631
1710	1710
1632	1632
1711	1711
1633	1633
1712	1712
1634	1634
1713	1713
1800	1800
1801	1801
1714	1714
1635	1635
James Joyce	James Joyce
1802	1802
1715	1715
1636	1636
1803	1803
1637	1637
1716	1716
1638	1638
1804	1804
1717	1717
1639	1639
1805	1805
1718	1718
1640	1640
1719	1719
1806	1806
1641	1641
1720	1720
1807	1807
1642	1642
1721	1721
1808	1808
1643	1643
1722	1722
1809	1809
1644	1644
1723	1723
1810	1810
1645	1645
1724	1724
Ọ̀rúndún 20k	20-a jarcento
1811	1811
1646	1646
1725	1725
1812	1812
1647	1647
1726	1726
1813	1813
Ọ̀rúndún 21k	21-a jarcento
1648	1648
1727	1727
1814	1814
1649	1649
1728	1728
1815	1815
1650	1650
1729	1729
1816	1816
Ọ̀rúndún 19k	19-a jarcento
1651	1651
1730	1730
1817	1817
1652	1652
1731	1731
1818	1818
1653	1653
1732	1732
1819	1819
1654	1654
1733	1733
1820	1820
1655	1655
1821	1821
1734	1734
1656	1656
1822	1822
1735	1735
1657	1657
1823	1823
1736	1736
1658	1658
1737	1737
1824	1824
1659	1659
1738	1738
1825	1825
1660	1660
1739	1739
1826	1826
1661	1661
1740	1740
1827	1827
Ọ̀rúndún 18k	18-a jarcento
Ọ̀rúndún 17k	17-a jarcento
Ọ̀rúndún 16k	16-a jarcento
Ọ̀rúndún 15k	15-a jarcento
Ọ̀rúndún 14k	14-a jarcento
Ẹ̀ka:Àwọn ìràwọ̀	Kategorio:Steloj
Ọ̀rúndún 13k	13-a jarcento
Ọ̀rúndún 12k	12-a jarcento
Ọ̀rúndún 11k	11-a jarcento
Li Bai	Li Bai
