આફ્રિકા	Afriko
શ્રેણી:હિમાલય	Kategorio:Himalajo
શ્રેણી:ઍન્ટાર્કટીકા	Kategorio:Antarkto
શ્રેણી:મહારાષ્ટ્ર	Kategorio:Maharaŝtro
શ્રેણી:અરુણાચલ પ્રદેશ	Kategorio:Arunaĉal-Pradeŝo
શ્રેણી:આંધ્ર પ્રદેશ	Kategorio:Andra-Pradeŝo
શ્રેણી:આસામ	Kategorio:Asamo
ધ પ્રોડિજિ	The Prodigy
વર્ણવ્યવસ્થા	Varno
શ્રેણી:ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	Kategorio:Barataj ŝtatoj
શ્રેણી:અંગ્રેજી ભાષાના ગાયકો	Kategorio:Anglalingvaj kantistoj
ઢાંચો:Substituted	Ŝablono:Ŝablono ne inkludita
ઢાંચો:Pad	Ŝablono:Pad
ઢાંચો:Coord/prec dec	Ŝablono:Koord/prec dek
ઢાંચો:Str right	Ŝablono:Lin dekst
શ્રેણી:ઉત્તરાખંડ	Kategorio:Utarakando
શ્રેણી:Userboxes	Kategorio:Uzantoskatolo
ઢાંચો:Multicol	Ŝablono:Multkolumna
ઢાંચો:Lang-am	Ŝablono:Lang-am
ઢાંચો:Listen	Ŝablono:Aŭskultu
કેળ	Bananujo
ઢાંચો:Image label begin	Ŝablono:Marko sur bildo komenco
શ્રેણી:ગુજરાતનાં શહેરો અને નગરો	Kategorio:Urboj de Guĝarato
શ્રેણી:અર્થશાસ્ત્રમાં નોબેલ મેળવનારા	Kategorio:Nobel-premiitoj pri ekonomiko
વિકિપીડિયા:સબસ્ટબ	Vikipedio:Ĝermeto
ઢાંચો:Coord/display/title	Ŝablono:Koord/montru/titolo
શ્રેણી:Protected templates	Kategorio:Protektitaj ŝablonoj
ઢાંચો:Unknown	Ŝablono:Ne konata
ઢાંચો:Terminated	Ŝablono:Finita
ઢાંચો:Dropped	Ŝablono:Lasita
ઢાંચો:Free	Ŝablono:Libera
ઢાંચો:Nonfree	Ŝablono:Nelibera
ઢાંચો:Table-experimental	Ŝablono:Tabela-eksperimenta
ઢાંચો:Incorrect	Ŝablono:Malkorekta
ઢાંચો:માહિતીચોકઠું માર્ગ	Ŝablono:Informkesto vojo
ઢાંચો:Infobox file format	Ŝablono:Informkesto dosiera aranĝo
ઢાંચો:User મુસ્લિમ	Ŝablono:Uzanto Muzulmano
ઢાંચો:No result	Ŝablono:Neniu rezulto
ઢાંચો:User UK	Ŝablono:Uzanto Britio
ઢાંચો:Str ≤ len	Ŝablono:Lin ≤ longo
ઢાંચો:S-inc	Ŝablono:S-inc
ઢાંચો:Tls	Ŝablono:Tls
ઢાંચો:Table cell templates	Ŝablono:Jes ne
ઢાંચો:Weather box/colpastel	Ŝablono:Veterkesto/paŝteloj
ઢાંચો:Style/ril	Ŝablono:Style/ril
ઢાંચો:Weather box/colt	Ŝablono:Veterkesto/Kolt
ઢાંચો:Style/yid	Ŝablono:Style/yid
કૃત્રિમ ઉપગ્રહ	Satelito
વીર્ય સ્ખલન	Ejakulo
Module:Yesno	Modulo:Yesno
વિશેષ:તાજાફેરફારો	Specialaĵo:Lastaj ŝanĝoj
Module:TableTools	Modulo:TableTools
Module:List	Modulo:List
Module:HtmlBuilder	Modulo:HtmlBuilder
Module:String	Modulo:String
Module:Coordinates	Modulo:Coordinates
Module:Math	Modulo:Math
Module:InfoboxImage	Modulo:InfoboxImage
