ఆఫ్రికా	Afriko
మార్చి 31	31-a de marto
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
ఏప్రిల్ 15	15-a de aprilo
ఏప్రిల్ 13	13-a de aprilo
ఏప్రిల్ 12	12-a de aprilo
ఏప్రిల్ 14	14-a de aprilo
ఏప్రిల్ 11	11-a de aprilo
ఏప్రిల్ 10	10-a de aprilo
ఏప్రిల్ 8	8-a de aprilo
ఏప్రిల్ 9	9-a de aprilo
ఏప్రిల్ 7	7-a de aprilo
ఏప్రిల్ 6	6-a de aprilo
ఏప్రిల్ 5	5-a de aprilo
ఏప్రిల్ 4	4-a de aprilo
ఏప్రిల్ 3	3-a de aprilo
ఏప్రిల్ 1	1-a de aprilo
ఏప్రిల్ 2	2-a de aprilo
హబుల్ టెలీస్కోపు	Kosmoteleskopo Hubble
ఏప్రిల్ 16	16-a de aprilo
ఏప్రిల్ 17	17-a de aprilo
ఏప్రిల్ 18	18-a de aprilo
ఏప్రిల్ 19	19-a de aprilo
ఏప్రిల్ 20	20-a de aprilo
ఏప్రిల్ 21	21-a de aprilo
ఏప్రిల్ 22	22-a de aprilo
ఏప్రిల్ 23	23-a de aprilo
ఏప్రిల్ 24	24-a de aprilo
ఏప్రిల్ 25	25-a de aprilo
ఏప్రిల్ 26	26-a de aprilo
ఏప్రిల్ 27	27-a de aprilo
ఏప్రిల్ 28	28-a de aprilo
ఏప్రిల్ 29	29-a de aprilo
ఏప్రిల్ 30	30-a de aprilo
ఉపగ్రహం	Natura satelito
మే 1	1-a de majo
మే 2	2-a de majo
మే 3	3-a de majo
మే 4	4-a de majo
మే 5	5-a de majo
మే 6	6-a de majo
మే 7	7-a de majo
మే 8	8-a de majo
మే 9	9-a de majo
మే 10	10-a de majo
మే 11	11-a de majo
మే 12	12-a de majo
మే 13	13-a de majo
మే 14	14-a de majo
మే 15	15-a de majo
మే 16	16-a de majo
మే 17	17-a de majo
మే 18	18-a de majo
మే 19	19-a de majo
మే 20	20-a de majo
మే 21	21-a de majo
మే 22	22-a de majo
మే 23	23-a de majo
మే 24	24-a de majo
మే 25	25-a de majo
మే 26	26-a de majo
మే 27	27-a de majo
మే 28	28-a de majo
మే 29	29-a de majo
మే 30	30-a de majo
మే 31	31-a de majo
డిసెంబర్ 21	21-a de decembro
జూన్ 14	14-a de junio
జూన్ 15	15-a de junio
జూన్ 13	13-a de junio
జూన్ 10	10-a de junio
జూన్ 7	7-a de junio
జూన్ 11	11-a de junio
జూన్ 9	9-a de junio
జూన్ 12	12-a de junio
జూన్ 6	6-a de junio
జూన్ 8	8-a de junio
జూన్ 5	5-a de junio
జూన్ 3	3-a de junio
జూన్ 2	2-a de junio
జూన్ 1	1-a de junio
జూన్ 4	4-a de junio
డిసెంబర్ 22	22-a de decembro
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
జూన్ 16	16-a de junio
జూన్ 30	30-a de junio
జూన్ 29	29-a de junio
జూన్ 28	28-a de junio
జూన్ 26	26-a de junio
జూన్ 25	25-a de junio
జూన్ 22	22-a de junio
జూన్ 27	27-a de junio
జూన్ 24	24-a de junio
జూన్ 20	20-a de junio
జూన్ 23	23-a de junio
జూన్ 19	19-a de junio
జూన్ 18	18-a de junio
జూన్ 21	21-a de junio
జూన్ 17	17-a de junio
డిసెంబర్ 23	23-a de decembro
బ్రూస్ విల్లీస్	Bruce Willis
ఆర్నాల్డ్ స్క్వార్జెనెగర్	Arnold Schwarzenegger
జూలై 15	15-a de julio
జూలై 13	13-a de julio
జూలై 12	12-a de julio
జూలై 10	10-a de julio
జూలై 9	9-a de julio
జూలై 14	14-a de julio
జూలై 8	8-a de julio
జూలై 7	7-a de julio
జూలై 6	6-a de julio
జూలై 5	5-a de julio
జూలై 2	2-a de julio
జూలై 4	4-a de julio
జూలై 3	3-a de julio
జూలై 1	1-a de julio
జూలై 11	11-a de julio
డిసెంబర్ 24	24-a de decembro
జూలై 31	31-a de julio
జూలై 30	30-a de julio
జూలై 29	29-a de julio
జూలై 28	28-a de julio
జూలై 27	27-a de julio
జూలై 25	25-a de julio
జూలై 24	24-a de julio
జూలై 23	23-a de julio
జూలై 26	26-a de julio
జూలై 22	22-a de julio
జూలై 19	19-a de julio
జూలై 21	21-a de julio
జూలై 20	20-a de julio
జూలై 17	17-a de julio
జూలై 18	18-a de julio
జూలై 16	16-a de julio
కాల్బంతి	Futbalo
డిసెంబర్ 25	25-a de decembro
1963	1963
డిసెంబర్ 26	26-a de decembro
1962	1962
ఐఫోన్	IPhone
ఆగష్టు 14	14-a de aŭgusto
ఆగష్టు 15	15-a de aŭgusto
ఆగష్టు 13	13-a de aŭgusto
ఆగష్టు 12	12-a de aŭgusto
ఆగష్టు 11	11-a de aŭgusto
ఆగష్టు 10	10-a de aŭgusto
ఆగష్టు 8	8-a de aŭgusto
ఆగష్టు 7	7-a de aŭgusto
ఆగష్టు 9	9-a de aŭgusto
ఆగష్టు 5	5-a de aŭgusto
ఆగష్టు 4	4-a de aŭgusto
ఆగష్టు 2	2-a de aŭgusto
ఆగష్టు 3	3-a de aŭgusto
ఆగష్టు 6	6-a de aŭgusto
ఆగష్టు 1	1-a de aŭgusto
ఐప్యాడ్	IPad
డిసెంబర్ 27	27-a de decembro
జలాంతర్గామి	Submarŝipo
ఆగష్టు 16	16-a de aŭgusto
ఆగష్టు 29	29-a de aŭgusto
ఆగష్టు 28	28-a de aŭgusto
ఆగష్టు 30	30-a de aŭgusto
ఆగష్టు 25	25-a de aŭgusto
ఆగష్టు 26	26-a de aŭgusto
ఆగష్టు 23	23-a de aŭgusto
ఆగష్టు 27	27-a de aŭgusto
ఆగష్టు 21	21-a de aŭgusto
ఆగష్టు 20	20-a de aŭgusto
ఆగష్టు 24	24-a de aŭgusto
ఆగష్టు 18	18-a de aŭgusto
ఆగష్టు 17	17-a de aŭgusto
ఆగష్టు 22	22-a de aŭgusto
ఆగష్టు 19	19-a de aŭgusto
ఆగష్టు 31	31-a de aŭgusto
మైకల్ జాక్సన్	Michael Jackson
డిసెంబర్ 28	28-a de decembro
అఫాసియా (మెదడు వ్యాధి వల్ల మాట పోవడం)	Afazio
ఫ్లూ	Gripo
సెప్టెంబర్ 15	15-a de septembro
సెప్టెంబర్ 14	14-a de septembro
సెప్టెంబర్ 13	13-a de septembro
సెప్టెంబర్ 12	12-a de septembro
సెప్టెంబర్ 8	8-a de septembro
సెప్టెంబర్ 11	11-a de septembro
సెప్టెంబర్ 7	7-a de septembro
సెప్టెంబర్ 10	10-a de septembro
సెప్టెంబర్ 5	5-a de septembro
సెప్టెంబర్ 4	4-a de septembro
సెప్టెంబర్ 9	9-a de septembro
సెప్టెంబర్‌ 2	2-a de septembro
సెప్టెంబర్ 6	6-a de septembro
సెప్టెంబర్ 1	1-a de septembro
సెప్టెంబర్‌ 3	3-a de septembro
డిసెంబర్ 29	29-a de decembro
సెప్టెంబర్ 30	30-a de septembro
సెప్టెంబర్ 29	29-a de septembro
సెప్టెంబర్ 28	28-a de septembro
సెప్టెంబర్ 27	27-a de septembro
సెప్టెంబర్ 26	26-a de septembro
సెప్టెంబర్ 25	25-a de septembro
సెప్టెంబర్ 23	23-a de septembro
సెప్టెంబర్ 22	22-a de septembro
సెప్టెంబర్ 24	24-a de septembro
సెప్టెంబర్ 21	21-a de septembro
సెప్టెంబర్ 20	20-a de septembro
సెప్టెంబర్ 18	18-a de septembro
సెప్టెంబర్ 17	17-a de septembro
సెప్టెంబర్ 19	19-a de septembro
సెప్టెంబర్ 16	16-a de septembro
డిసెంబర్ 30	30-a de decembro
డిసెంబర్ 31	31-a de decembro
అక్టోబర్ 1	1-a de oktobro
అక్టోబర్ 15	15-a de oktobro
అక్టోబర్ 12	12-a de oktobro
అక్టోబర్ 10	10-a de oktobro
అక్టోబర్ 14	14-a de oktobro
అక్టోబర్ 9	9-a de oktobro
అక్టోబర్ 8	8-a de oktobro
అక్టోబర్ 13	13-a de oktobro
అక్టోబర్ 7	7-a de oktobro
అక్టోబర్ 11	11-a de oktobro
అక్టోబర్ 6	6-a de oktobro
అక్టోబర్ 4	4-a de oktobro
అక్టోబర్ 5	5-a de oktobro
అక్టోబర్ 3	3-a de oktobro
అక్టోబర్ 2	2-a de oktobro
మేక	Hejma kapro
అక్టోబర్ 31	31-a de oktobro
అక్టోబర్ 30	30-a de oktobro
అక్టోబర్ 29	29-a de oktobro
అక్టోబర్ 28	28-a de oktobro
అక్టోబర్ 26	26-a de oktobro
అక్టోబర్ 25	25-a de oktobro
అక్టోబర్ 24	24-a de oktobro
అక్టోబర్ 27	27-a de oktobro
అక్టోబర్ 22	22-a de oktobro
అక్టోబర్ 23	23-a de oktobro
అక్టోబర్ 20	20-a de oktobro
అక్టోబర్ 21	21-a de oktobro
అక్టోబర్ 19	19-a de oktobro
అక్టోబర్ 17	17-a de oktobro
అక్టోబర్ 16	16-a de oktobro
అక్టోబర్ 18	18-a de oktobro
నవంబర్ 15	15-a de novembro
నవంబర్ 14	14-a de novembro
నవంబర్ 13	13-a de novembro
నవంబర్ 12	12-a de novembro
నవంబర్ 11	11-a de novembro
నవంబర్ 10	10-a de novembro
నవంబర్ 7	7-a de novembro
నవంబర్ 8	8-a de novembro
నవంబర్ 9	9-a de novembro
నవంబర్ 6	6-a de novembro
నవంబర్ 5	5-a de novembro
నవంబర్ 4	4-a de novembro
నవంబర్ 3	3-a de novembro
నవంబర్ 2	2-a de novembro
నవంబర్ 1	1-a de novembro
అబ్బాయి	Knabo
నవంబర్ 30	30-a de novembro
నవంబర్ 29	29-a de novembro
నవంబర్ 28	28-a de novembro
నవంబర్ 27	27-a de novembro
నవంబర్ 26	26-a de novembro
నవంబర్ 25	25-a de novembro
నవంబర్ 23	23-a de novembro
నవంబర్ 24	24-a de novembro
నవంబర్ 21	21-a de novembro
నవంబర్ 20	20-a de novembro
నవంబర్ 22	22-a de novembro
నవంబర్ 19	19-a de novembro
నవంబర్ 18	18-a de novembro
నవంబర్ 17	17-a de novembro
నవంబర్ 16	16-a de novembro
అమ్మాయి	Knabino
సిడ్నీ	Sidnejo
మెల్బోర్న్	Melburno
ఎరుపు	Ruĝa
అగ్ని	Fajro
ఫోటాన్	Fotono
భూమి వాతావరణం	Atmosfero (tero)
జార్జ్ ఆర్వెల్	George Orwell
నైలు నది	Nilo
కాంగో నది	Kongo (rivero)
తోకచుక్క	Kometo
టెహరాన్	Teherano
అద్దిస్ అబాబా	Adis-Abebo
జకార్తా	Ĝakarto
అంకారా	Ankaro
1961	1961
అడుగు (కొలమానం)	Futo
1960	1960
జావా (ద్వీపం)	Javo
అమెజాన్ నది	Amazono (rivero)
మస్కట్	Maskato
గ్రహశకలం	Asteroido
సూర్య గ్రహణం	Suna eklipso
పాఠశాల	Lernejo
విశ్వవిద్యాలయం	Universitato
ప్రిటోరియా	Pretorio
టేబుల్ టెన్నిస్	Tabloteniso
సూపర్ నోవా	Supernovao
వికీపీడియా:Sandbox	Vikipedio:Provejo
ఇల్లు	Domo
పట్టణం	Taŭno
ల్యాప్‌టాప్	Tekokomputilo
కంప్యూటర్ హార్డ్‌వేర్	Aparataro
బీజగణితం	Algebro
పటము	Mapo
నది	Rivero
ఓఝస్కు	Osasco (San-Paŭlo)
గ్లాస్గో	Glasgovo
న్యూట్రాన్ తార	Neŭtrona stelo
టెలిస్కోపు	Teleskopo
రేడియో తరంగాలు	Radioondo
పెట్టుబడి	Investado
రేడియో ఖగోళశాస్త్రం	Radioastronomio
మదర్ బోర్డు	Ĉeftabulo
TV ట్యూనర్ కార్డ్	Televida karto
కురితీబా	Kuritibo
అడవి	Arbaro
వర్గం:1888	Kategorio:1888
యుఎస్‌బి ఫ్లాష్ డ్రైవ్ (USB Flash Drive)	USB-poŝmemorilo
జిచిఉజ్ఫాలు	Zichyújfalu
హార్డ్ డిస్క్ డ్రైవ్	Diskaparato
మిట్ రోమ్నీ	Mitt Romney
నౌకాదళం	Mararmeo
పడమటి కనుమలు	Okcidentaj Ghatoj
భారత పర్వత రైల్వేలు	Montaraj fervojoj en Barato
సహకార సంఘాలు	Kooperativo
రాజీవ్ గాంధీ	Rajiv Gandhi
కన్ఫ్యూషియస్	Konfuceo
మార్లిన్ మన్రో	Marilyn Monroe
కర్బిన్ బ్ల్యు	Corbin Bleu
వర్గం:గణిత శాస్త్రము	Kategorio:Matematiko
సూరత్	Surat
వర్గం:భారతదేశ చరిత్ర	Kategorio:Historio de Barato
బాలి	Balio
షెర్లాక్ హోమ్స్	Sherlock Holmes
సాంస్కృతిక పునరుజ్జీవనం	Renesanco
గూడు	Nesto
స్తంభం	Kolono
వర్గం:1888 జననాలు	Kategorio:Naskiĝintoj en 1888
యూరో	Eŭro
మధ్యధరా సముద్రము	Mediteraneo
లారీ పేజ్	Larry Page
క్రైస్తవ మతము	Kristanismo
బెర్లిన్ గోడ	Berlina muro
గంగా నది	Gango
బియ్యము	Rizo
ఖండం	Kontinento
మూస:ALA	Ŝablono:ALA
అడిలైడ్	Adelajdo
పక్షి	Birdoj
రాజధాని	Ĉefurbo
మూస:ఇస్లాం మతము	Ŝablono:Islamo
గుజరాతి భాష	Guĝarata lingvo
నెల	Monato
ముస్తఫా కమాల్ అతాతుర్క్	Mustafa Kemal Atatürk
1948	1948
నెమటోడ	Nematodoj
1949	1949
ఫిబ్రవరి 2008	Februaro de 2008
హువాంగ్ గ్జియాన్ హన్	Huang Senfan
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
హిప్పోక్రేట్స్	Hipokrato
1944	1944
1952	1952
వజ్రం	Diamanto
బిల్ గేట్స్	Bill Gates
కంప్యూటర్ మానిటర్	Komputila ekrano
విజ్ఞాన సర్వస్వము	Enciklopedio
ఫ్లాపీ	Disketo
డీవీడీ	DVD
రాండమ్ ఏక్సెస్ మెమరీ	Ĉefmemoro
